District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A0101,LC1,"5,246 ",83 ,219 ,449 ,674 ,880 ,"1,071 ","1,339 ","1,561 ","1,780 ","1,963 ","2,155 ","2,326 ","2,504 ","2,658 ","2,843 "
A,A0102,LC1,"4,317 ",47 ,123 ,249 ,395 ,605 ,839 ,"1,025 ","1,269 ","1,515 ","1,707 ","1,868 ","2,038 ","2,201 ","2,352 ","2,544 "
A,A0201,LC1,"7,814 ",87 ,299 ,533 ,968 ,"1,379 ","1,764 ","2,118 ","2,419 ","2,724 ","2,953 ","3,283 ","3,597 ","3,890 ","4,244 ","4,723 "
A,A0301,LC1,"7,005 ",68 ,230 ,352 ,501 ,992 ,"1,254 ","1,506 ","1,771 ","2,037 ","2,339 ","2,624 ","2,876 ","3,158 ","3,486 ","4,208 "
A,A0401,LC1,"1,031 ",14 ,33 ,61 ,125 ,179 ,237 ,282 ,336 ,400 ,455 ,505 ,541 ,575 ,595 ,643 
A,A0501,LC1,"8,082 ",107 ,293 ,581 ,975 ,"1,397 ","1,848 ","2,213 ","2,632 ","3,016 ","3,336 ","3,704 ","4,057 ","4,367 ","4,656 ","5,098 "
A,A0601,LC1,"5,910 ",113 ,278 ,518 ,858 ,"1,167 ","1,419 ","1,691 ","1,973 ","2,249 ","2,504 ","2,741 ","2,947 ","3,197 ","3,392 ","3,614 "
A,A0701,LC1,"4,335 ",69 ,228 ,419 ,621 ,840 ,"1,012 ","1,221 ","1,365 ","1,524 ","1,697 ","1,881 ","2,025 ","2,170 ","2,356 ","2,588 "
A,A0801,LC1,"10,885 ",113 ,384 ,809 ,"1,248 ","1,698 ","2,205 ","2,701 ","3,147 ","3,618 ","4,137 ","4,607 ","5,037 ","5,549 ","5,946 ","6,478 "
A,A0901,LC1,"9,589 ",114 ,301 ,641 ,"1,090 ","1,574 ","2,042 ","2,548 ","3,049 ","3,405 ","3,883 ","4,280 ","4,738 ","5,169 ","5,587 ","6,230 "
A,A1001,LC1,"9,549 ",139 ,385 ,708 ,"1,132 ","1,603 ","1,959 ","2,354 ","2,726 ","3,119 ","3,501 ","3,951 ","4,342 ","4,749 ","5,123 ","5,572 "
A,A1101,LC1,"8,489 ",100 ,306 ,596 ,915 ,"1,275 ","1,564 ","1,837 ","2,175 ","2,489 ","2,793 ","3,114 ","3,439 ","3,777 ","4,075 ","4,554 "
A,A1201,LC1,"7,057 ",84 ,294 ,598 ,929 ,"1,282 ","1,635 ","1,932 ","2,354 ","2,588 ","2,811 ","3,100 ","3,386 ","3,676 ","3,954 ","4,201 "
A,A1301,LC1,"5,250 ",88 ,245 ,421 ,631 ,876 ,"1,127 ","1,383 ","1,548 ","1,835 ","2,018 ","2,226 ","2,417 ","2,595 ","2,716 ","2,931 "
