,,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
A0101, 聖公會基恩小學,86,158,189,208,318,353,369,331,235,124,174,298,2843
A0102, 香港公園體育館,34,80,123,162,248,366,420,425,276,154,99,157,2544
A0201, 高主教書院,68,168,248,462,691,823,671,530,339,208,223,292,4723
A0301, 英華女學校,97,164,213,342,579,722,664,514,281,204,182,246,4208
A0401, 德國瑞士國際學校,13,27,21,21,63,91,126,118,86,35,14,28,643
A0501, 聖士提反女子中學附屬小學,107,228,278,350,588,843,842,659,408,249,240,306,5098
A0601, 香港基督教女青年會西環綜合社會服務處,105,184,312,365,405,494,425,356,250,148,193,377,3614
A0701, 明愛莫張瑞勤社區中心,83,143,168,223,305,336,262,252,184,120,190,322,2588
A0801, 士美非路體育館,225,414,504,552,669,839,824,743,493,345,358,512,6478
A0901, 聖雅各福群會寶翠園幼兒中心,168,306,453,615,876,1016,786,716,424,245,251,374,6230
A1001, 石塘咀體育館,187,355,458,464,485,686,664,672,464,341,287,509,5572
A1101, 義務工作發展局義工服務中心,157,291,333,356,388,495,587,603,396,238,258,452,4554
A1201, 上環郵政局,128,244,398,409,429,517,507,482,323,202,199,363,4201
A1301, 英皇書院同學會小學第二校,97,149,189,283,352,452,365,332,217,113,127,255,2931
A1401, 基督教香港崇真會救恩堂,133,251,271,311,399,557,540,407,274,143,171,300,3757
A1501, 西營盤郵政局,112,211,262,276,391,465,441,413,279,155,147,246,3398
B0101, 軒尼詩道官立小學,86,166,232,267,319,389,413,360,247,208,226,386,3299
B0201, 鄧肇堅維多利亞官立中學,103,200,234,216,232,302,371,402,305,198,239,366,3168
B0301, 銅鑼灣郵政局,58,147,200,244,223,285,306,357,275,199,181,339,2814
B0401, 新寧大廈,75,203,330,347,370,428,422,534,438,364,360,557,4428
B0501, 大坑坊眾福利會,61,112,216,337,400,486,408,320,252,192,174,255,3213
B0601, 中華基督教會公理高中書院,66,94,149,205,341,611,614,515,270,159,153,220,3397
B0701, 禮頓山社區會堂,53,99,153,146,337,593,532,459,229,111,106,166,2984
B0801, 黃泥涌體育館,60,162,271,454,532,552,587,536,398,265,296,465,4578
B0901, 嶺南小學 - 利氏堂,35,54,98,111,191,290,346,339,209,126,99,167,2065
B1001, 灣仔郵政局,66,98,174,185,217,340,345,329,246,115,154,256,2525
B1101, 軒尼詩道郵政局,78,182,231,293,324,431,427,398,278,194,203,377,3416
C0101, 太古城中心第3期地下,150,295,297,334,547,871,875,839,455,286,211,330,5490
C0201, 地利亞修女紀念學校,123,285,418,390,614,989,925,997,584,335,291,451,6402
C0301, 韓國國際學校,61,100,148,208,427,617,408,270,154,66,127,210,2796
C0401, 筲箕灣郵政局,106,168,197,222,334,411,378,319,210,128,136,208,2817
C0501, 中華基督教會基灣小學〈愛蝶灣〉,156,392,752,784,686,701,659,626,488,367,462,904,6977
C0601, 筲箕灣官立小學,114,214,315,287,312,386,404,393,348,256,307,540,3876
C0701, 嶺南中學,137,167,183,376,766,1247,880,521,251,162,147,224,5061
C0702, 救世軍韋理夫人紀念學校,33,70,100,172,309,432,336,193,112,55,51,85,1948
C0801, 伊斯蘭脫維善紀念中學,175,326,286,235,370,608,634,433,264,223,262,475,4291
C0901, 福建中學〈小西灣〉,97,158,342,699,894,899,629,399,245,168,197,233,4960
C1001, 東華三院李志雄紀念小學,244,353,332,200,291,530,667,542,294,208,237,483,4381
C1101, 嶺南衡怡紀念中學,176,342,444,762,1203,1275,847,686,528,346,363,599,7571
C1201, 筲箕灣崇真學校,179,438,328,234,292,493,623,551,386,227,284,579,4614
