,,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
A0101, 專業聯合中心,25,55,81,70,107,151,176,222,191,188,75,244,1585
A0102, 香港視覺藝術中心,2,12,10,13,16,23,30,38,45,34,22,42,287
A0201, 高主教書院,37,70,77,114,198,255,386,398,319,234,138,283,2509
A0301, 英華女學校,40,46,81,89,168,210,352,395,283,223,109,226,2222
A0401, 香港公園體育館,7,43,62,89,132,157,208,235,262,250,111,130,1686
A0402, 德國瑞士國際學校,7,23,32,23,31,41,101,110,116,86,42,47,659
A0501, 聖士提反女子中學附屬小學,40,99,105,145,168,222,382,434,380,308,154,311,2748
A0601, 香港基督教女青年會西環綜合社會服務處,92,106,160,208,341,315,411,385,341,298,163,436,3256
A0701, 士美非路體育館,63,138,194,177,245,281,411,439,423,414,223,770,3778
A0801, 堅尼地城社區綜合大樓 (綜合用途室),81,163,164,190,245,259,373,444,429,362,188,465,3363
A0901, 聖雅各福群會寶翠園幼兒中心,94,169,172,233,342,454,609,554,498,397,181,465,4168
A1001, 石塘咀體育館,60,102,127,169,186,180,302,318,325,297,158,421,2645
A1101, 中西區及離島區社會保障辦事處,54,104,175,141,158,219,283,387,371,349,146,421,2808
A1201, 上環郵政局,76,118,139,169,205,211,301,396,382,263,151,283,2694
A1301, 新會商會學校,38,54,41,89,127,132,205,174,146,112,61,152,1331
A1302, 聖公會聖馬太小學,16,32,36,56,64,71,115,120,114,102,44,126,896
A1401, 基督教香港崇真會救恩堂及救恩學校,80,127,156,165,225,244,399,458,358,288,126,354,2980
A1501, 西營盤郵政局,66,132,161,187,192,249,368,453,387,358,171,391,3115
B0101, 軒尼詩道官立小學,33,57,60,85,93,140,168,214,241,215,156,377,1839
B0201, 鄧肇堅維多利亞官立中學,25,78,102,104,143,157,206,259,305,286,141,542,2348
B0401, 灣仔區文娛康樂體育會,14,55,61,72,122,129,171,181,204,243,168,395,1815
B0501, 港灣婦女會,37,76,76,118,194,246,335,331,283,216,134,386,2432
B0601, 中華基督教會公理高中書院,23,67,66,86,149,167,293,330,278,198,92,170,1919
B0701, 禮頓山社區會堂,17,62,67,86,121,176,340,347,315,215,112,199,2057
B0801, 黃泥涌體育館,19,32,80,152,192,229,220,233,243,252,152,404,2208
B0901, 瑪利曼中學,5,20,16,22,35,52,100,111,110,89,27,69,656
B0902, 寶血小學,8,25,37,35,66,84,109,124,129,122,72,141,952
B1001, 灣仔郵政局,34,53,69,79,132,161,225,252,228,251,126,350,1960
B1101, 循道衛理中心,40,83,101,99,151,199,237,298,280,281,160,496,2425
C0101, 東區少年警訊會所,69,123,225,175,307,346,544,544,635,488,184,448,4088
C0201, 地利亞(加拿大)學校,74,138,144,177,295,326,551,517,529,535,245,462,3993
C0301, 西灣河健康中心,58,118,130,185,258,311,477,452,415,266,160,498,3328
C0501, 筲箕灣郵政局,78,116,140,119,148,179,332,318,280,252,128,315,2405
C0601, 愛秩序灣官立小學,29,55,48,135,273,239,206,155,159,162,83,162,1706
C0602, 聖公會主誕堂幼稚園,32,65,89,111,98,110,173,186,238,282,191,559,2134
C0701, 嶺南中學,142,199,171,154,315,498,924,853,506,379,163,364,4668
C0801, 聖公會李福慶中學,100,193,236,200,234,318,546,594,443,403,249,805,4321
C0901, 中華基金中學,84,152,144,224,408,617,810,592,382,275,163,333,4184
C1101, 嶺南衡怡紀念中學,136,164,180,199,348,641,862,680,539,470,307,762,5288
C1301, 文理書院 (香港),75,115,139,147,176,221,348,415,447,412,285,834,3614
C1601, 蒙特梭利國際學校,10,36,37,49,69,68,79,124,110,107,55,107,851
C1602, 勵德邨邨榮樓有蓋停車場,18,72,101,81,138,117,132,183,223,350,224,644,2283
C1901, 銅鑼灣社區中心,40,131,173,169,239,267,321,379,404,433,203,470,3229
C2301, 啓基學校（港島）,54,119,125,150,189,229,325,372,362,282,146,294,2647
C2601, 鰂魚涌社區會堂,77,121,179,229,234,307,443,459,423,410,247,473,3602
C2701, 太古小學,89,126,153,190,307,391,634,618,568,382,178,352,3988
C2801, 基督教康山中英文幼稚園,80,103,111,131,219,273,450,556,379,280,126,464,3172
C2901, 青松興東幼稚園,97,137,109,137,145,145,274,339,340,320,150,309,2502
C2902, 東熹苑逸熹閣B座地下,61,77,99,93,159,225,365,319,293,271,129,403,2494
C3001, 西灣河體育館,85,134,159,207,218,286,466,464,424,340,157,435,3375
C3101, 勵志會梁李秀娛紀念小學,64,78,62,61,59,91,173,187,188,206,102,241,1512
C3102, 筲箕灣街坊福利事務促進會,27,50,51,54,67,83,157,171,128,110,53,133,1084
C3301, 粵南信義會腓力堂興民幼兒學園,35,49,66,87,76,81,115,160,161,188,108,396,1522
C3302, 路德會聖雅各幼稚園,68,116,84,80,80,120,230,271,252,181,106,390,1978
C3401, 天主教明德學校,99,179,138,142,173,231,451,592,463,273,142,453,3336
C3402,,13,18,18,26,42,43,72,72,63,64,33,60,524
C3501, 柴灣母嬰健康院,79,112,138,117,165,231,365,425,311,199,96,259,2497
C3701, 香港中華基督教青年會-柴灣會所,95,161,154,103,119,142,292,450,339,243,194,389,2681
C3702, 道慈佛社楊譚婉芳幼稚園,24,25,35,32,35,115,132,117,78,74,31,93,791
D0301, 鴨脷洲體育館,74,90,77,92,168,326,365,311,225,119,87,260,2194
