票站編號,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
A0101,30,62,74,85,95,147,220,223,218,174,143,221,1692
A0102,1,7,13,11,16,32,39,39,53,47,40,53,351
A0201,56,114,134,119,168,271,312,477,448,358,230,326,3013
A0301,29,99,77,80,151,175,295,333,310,211,174,178,2112
A0302,6,20,19,33,56,64,83,89,79,85,60,99,693
A0401,9,50,71,78,100,149,147,200,236,234,184,149,1607
A0402,6,28,25,21,25,32,61,96,75,75,55,57,556
A0501,43,158,161,171,212,293,321,451,472,380,306,366,3334
A0601,66,150,181,220,334,436,403,451,418,378,273,479,3789
A0701,70,175,215,272,249,331,408,468,431,373,370,748,4110
A0801,83,172,212,236,306,348,360,452,504,415,351,510,3949
A0901,84,194,238,219,333,486,570,672,569,495,378,548,4786
A1001,58,159,186,217,235,235,275,346,408,355,299,496,3269
A1101,45,84,117,123,127,137,170,205,239,259,232,341,2079
A1102,23,52,62,66,52,59,69,102,122,139,83,118,947
A1201,58,107,167,155,214,219,244,276,386,358,266,377,2827
A1301,32,67,55,84,133,167,146,210,165,139,113,181,1492
A1302,12,23,35,43,63,78,82,107,107,117,83,134,884
A1401,66,171,176,200,223,279,303,430,454,352,298,370,3322
A1501,69,147,163,198,256,271,344,440,475,423,318,455,3559
B0101,33,78,123,111,132,190,194,242,292,293,218,469,2375
B0201,31,71,112,128,163,199,173,236,244,266,259,445,2327
B0301,23,50,82,82,110,125,141,178,211,225,186,342,1755
B0501,23,45,43,67,79,117,120,131,154,148,120,154,1201
B0502,22,48,65,83,87,168,97,147,166,236,333,663,2115
B0701,36,94,84,152,212,258,297,361,278,252,197,345,2566
B0801,32,89,95,109,140,275,316,399,365,297,242,247,2606
B0901,33,103,88,107,139,182,276,360,366,341,224,255,2474
B1001,26,43,59,138,182,231,253,247,249,227,228,426,2309
B1101,18,51,42,61,70,128,158,176,192,217,167,197,1477
B1102,3,8,15,12,18,31,35,32,53,39,34,47,327
B1201,26,67,76,103,127,148,182,213,229,198,281,270,1920
B1301,36,71,103,107,126,167,221,240,286,255,242,466,2320
C0101,83,198,221,246,348,411,475,631,582,601,418,473,4687
C0201,43,95,105,120,222,243,258,345,326,276,262,340,2635
C0202,39,103,94,109,163,214,302,325,364,348,253,362,2676
C0301,104,218,205,265,367,403,482,671,583,486,355,675,4814
