,,18-25歲,26-35歲,36-45歲,46-55歲,55-65歲,66歲以上,總數 TOTAL:,泛民%,本土%,獨立%,建制%,非建制%,建制+獨立%
R0701, 佛教覺光法師中學,9.80%,11.63%,12.70%,12.15%,21.16%,32.56%,4032,34.15%,15.54%,12.30%,38.01%,49.69%,50.31%
N1602, International College Hong Kong,5.18%,8.06%,10.94%,21.69%,22.26%,31.86%,521,23.33%,7.03%,8.92%,60.72%,30.36%,69.64%
R1101, 新田圍社區會堂,10.75%,11.42%,13.11%,13.83%,19.49%,31.40%,2242,32.74%,16.84%,13.76%,36.67%,49.58%,50.42%
R1901, 佛教黃允畋中學,8.38%,12.08%,10.66%,15.62%,24.75%,28.51%,4795,33.44%,13.48%,8.67%,44.40%,46.93%,53.07%
R0301, 禾輋社區會堂,13.02%,11.86%,11.67%,15.42%,20.79%,27.23%,4131,35.86%,17.35%,9.49%,37.30%,53.21%,46.79%
R0801, 博康社區會堂,7.12%,18.62%,14.89%,9.65%,25.29%,24.43%,4634,38.49%,15.89%,10.81%,34.81%,54.38%,45.62%
R1701, 隆亨社區中心,11.59%,15.31%,11.71%,11.30%,25.66%,24.42%,3468,35.57%,16.96%,9.76%,37.72%,52.53%,47.47%
R0901, 沙田圍胡素貞博士紀念學校,7.00%,15.64%,13.95%,11.63%,27.93%,23.84%,3741,37.66%,15.25%,12.81%,34.28%,52.91%,47.09%
R1801, 東莞工商總會張煌偉小學,9.00%,14.62%,13.33%,14.13%,25.14%,23.79%,3879,38.08%,15.91%,10.18%,35.83%,53.99%,46.01%
N1102, 蕉徑村公所,7.00%,10.33%,13.99%,24.48%,20.99%,23.21%,629,23.68%,11.36%,12.00%,52.96%,35.04%,64.96%
R0201, 瀝源社區會堂,11.77%,12.57%,14.27%,18.13%,20.17%,23.10%,3000,36.30%,15.76%,12.61%,35.33%,52.06%,47.94%
P0401, 大元社區會堂,13.48%,13.69%,12.97%,12.91%,23.87%,23.09%,3339,31.75%,21.29%,9.38%,37.58%,53.04%,46.96%
P0801, 廣福社區會堂,9.06%,19.83%,8.63%,9.38%,30.25%,22.85%,3081,32.68%,16.86%,6.65%,43.80%,49.54%,50.46%
N1604, 沙頭角中心小學,8.98%,10.07%,8.64%,25.17%,24.35%,22.79%,1470,10.16%,10.16%,4.19%,75.48%,20.33%,79.67%
Q0102, 萬宜漁村公共會堂,7.25%,10.67%,14.77%,23.94%,21.20%,22.16%,731,29.53%,9.34%,11.13%,50.00%,38.87%,61.13%
P0901, 大埔浸信會公立學校,8.13%,17.73%,9.94%,12.09%,31.16%,20.93%,3812,35.26%,14.59%,9.64%,40.52%,49.84%,50.16%
R1001, 秦石社區會堂,9.01%,15.73%,13.90%,15.97%,24.55%,20.84%,4252,41.01%,14.12%,12.89%,31.99%,55.12%,44.88%
N1606, 打鼓嶺社區會堂,8.56%,12.55%,14.07%,23.19%,20.91%,20.72%,526,31.42%,13.60%,11.88%,43.10%,45.02%,54.98%
Q2501, 香港道教聯合會圓玄學院第三中學,10.72%,10.71%,15.85%,22.29%,19.76%,20.66%,5343,33.68%,14.41%,13.06%,38.84%,48.10%,51.90%
