,,18-25歲,26-35歲,36-45歲,46-55歲,55-65歲,66歲以上,總數 TOTAL:
N0101, 香海正覺蓮社佛教馬錦燦紀念英文中學,572,494,665,1268,872,607,4478
N0201, 粉嶺公立學校,145,149,191,328,254,180,1247
N0202, 明愛粉嶺陳震夏中學,223,201,205,395,419,134,1577
N0301, 祥華社區會堂,400,834,490,554,1236,863,4377
N0401, 香海正覺蓮社佛教正覺蓮社學校,794,722,618,1524,1079,624,5361
N0501, 鳳溪廖潤琛紀念學校,892,1028,220,866,1220,499,4725
N0601, 香海正覺蓮社佛教普光學校,349,326,245,769,545,360,2594
N0602, 路德會賽馬會雍盛綜合服務中心,695,489,341,792,778,444,3539
N0701, 聖公會嘉福榮真小學,801,621,376,1124,1190,624,4736
N0801, 粉嶺官立中學,187,348,515,644,395,172,2261
N0802, 聖公會榮真小學,206,186,167,486,365,110,1520
N0901, 香海正覺蓮社佛教正慧小學,589,277,461,731,661,642,3361
N1001, 風采中學 (教育評議會主辦),337,570,498,774,557,239,2975
N1101, 新界喇沙中學,84,90,111,224,190,118,817
N1102, 蕉徑村公所,44,65,88,154,132,146,629
N1103, 古洞公立愛華學校,94,126,171,272,217,152,1032
N1104, 坑頭村公所,89,103,128,286,227,142,975
N1201, 彩園會堂,475,780,484,729,1256,899,4623
N1301, 龍琛路體育館,60,69,103,121,103,94,550
N1302, 聖公會陳融中學,335,379,317,694,570,302,2597
N1303, 香海正覺蓮社佛教陳式宏學校,109,238,128,178,411,214,1278
N1401, 石湖墟公立學校,453,1043,281,703,1376,480,4336
N1501, 鳳溪廖萬石堂中學,499,479,320,872,781,410,3361
N1601, 打鼓嶺嶺英公立學校,33,43,33,52,67,46,274
N1602, International College Hong Kong,27,42,57,113,116,166,521
N1603, 吉澳村公所,0,0,2,8,5,14,29
N1604, 沙頭角中心小學,132,148,127,370,358,335,1470
N1605, 李氏宗祠,1,5,3,3,10,12,34
N1606, 打鼓嶺社區會堂,45,66,74,122,110,109,526
N1701, 天平體育館,349,702,169,550,698,227,2695
N1702, 聯和墟社區會堂,161,183,223,391,286,138,1382
N1801, 從謙學校,56,49,88,131,126,81,531
N1802, 龍山學校,53,69,110,161,152,92,637
N1803, 軍地蔬菜產銷有限責任合作社,45,79,96,167,139,130,656
N1804, 新福事工協會生命導向中心,72,93,112,276,188,113,854
N1805, 和合石村公所,24,26,39,68,51,39,247
P0101, 大埔社區中心 (展覽廳),260,305,315,532,532,476,2420
P0201, 大埔官立中學,480,696,553,1015,1051,403,4198
P0301, 新界婦孺福利會梁省德學校,219,294,245,454,378,186,1776
P0302, 香港紅卍字會大埔卍慈中學,392,414,163,513,555,321,2358
