選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015推算人口
A01,中環,3,-2,-1,-10,-11,-21,-13,-8,9,-16,12,-32,-90,13850
A02,半山東,6,8,22,4,-23,-7,-25,-53,-2,32,19,0,-19,18828
A03,衛城,2,-10,4,-8,-14,6,-31,-42,15,-3,50,-35,-66,18859
A04,山頂,30,-26,11,6,-27,-10,-36,4,0,-14,40,30,8,20324
A05,大學,20,-24,40,-2,24,-5,-12,-22,37,-6,41,44,135,19010
A06,堅摩,12,7,9,28,-28,7,-9,-28,1,14,42,12,67,16920
A07,觀龍,22,-3,22,22,3,45,-34,15,51,7,48,19,217,15188
A08,西環,12,-35,16,59,-29,12,8,-35,-20,13,53,27,81,14789
A09,寶翠,43,1,-1,31,-9,-6,-6,-34,9,-3,62,-29,58,21195
A10,石塘咀,24,-20,-15,13,-10,16,-53,-10,-25,2,52,-28,-54,17176
A11,西營盤,0,4,-11,-22,-11,-15,-25,-11,-36,14,59,-38,-92,14528
A12,上環,16,-8,-9,-7,-25,30,-46,-8,-14,7,50,32,18,17550
A13,東華,-2,-7,6,-9,-12,21,7,-40,-7,-23,34,-10,-42,13051
A14,正街,1,-21,7,-5,-11,-49,5,-14,-1,-10,36,-18,-80,16227
A15,水街,-8,0,-6,-7,-8,9,-42,-17,3,-8,27,-27,-84,15142
B01,軒尼詩,11,-24,2,-3,16,-28,-2,-7,-10,-8,25,-8,-36,13207
B02,愛群,18,4,-31,-6,-4,-9,-2,-29,6,-22,17,-45,-103,14442
B03,鵝頸,15,-16,-7,-17,-29,6,-16,-8,-40,4,-10,-28,-146,13514
B04,維園,12,-7,19,11,-3,28,15,1,-5,-9,56,24,142,14642
B05,天后,-8,-11,12,10,-12,3,22,-6,2,-19,14,36,43,14156
B06,銅鑼灣,8,-14,-10,-14,-4,-7,0,-20,-26,-26,19,-37,-131,13655
B07,大坑,13,-5,26,14,-4,23,8,-31,3,-20,30,-12,45,13637
B08,渣甸山,15,-14,12,-16,2,-7,-10,-13,-4,5,47,29,46,15200
B09,樂活,-3,-2,12,16,5,16,3,7,4,-8,50,13,113,14677
B10,跑馬地,9,8,5,-20,18,-24,5,-25,9,-3,10,-16,-24,14090
B11,司徒拔道,9,-13,-1,6,-12,15,-22,0,-51,-12,43,-15,-53,14203
B12,修頓,1,0,19,-3,-24,4,3,-29,0,-5,15,5,-14,14597
B13,大佛口,-9,-5,-6,-3,-54,3,-56,-26,-24,-20,11,-26,-215,13346
C01,太古城西,29,-8,2,6,16,-8,-3,-27,-4,-15,101,19,108,18269
C02,太古城東,-14,-24,56,-2,9,44,5,-53,-4,-12,91,26,122,19530
C03,鯉景灣,6,0,44,7,-12,26,7,-33,27,0,104,14,190,20803
C04,愛秩序灣,17,-9,29,-22,-29,28,-10,11,38,14,67,34,168,19119
C05,筲箕灣,24,-12,16,32,-2,40,-13,6,13,3,50,-7,150,13250
C06,阿公岩,14,-38,41,-39,-76,11,23,-7,-15,20,60,30,24,19188
C07,杏花邨,35,27,19,7,2,4,-69,-52,85,58,78,8,202,19267
C08,翠灣,22,-16,-31,-10,61,-16,10,-42,22,14,57,1,72,13031
C09,欣藍,13,10,18,17,-49,-66,-47,36,53,18,42,23,68,16981
C10,小西灣,34,-31,-2,40,4,23,-30,-62,-5,22,101,-15,79,13176
C11,景怡,30,20,53,-21,13,-88,-91,41,44,36,57,6,100,15934
C12,環翠,20,-11,34,0,15,5,5,-53,-15,20,90,0,110,14542
C13,翡翠,12,2,4,7,-20,26,-30,-23,15,21,38,9,61,15427
C14,柏架山,-2,-13,-16,-14,-46,-3,-26,-3,9,-31,40,22,-83,14048
C15,寶馬山,6,-10,4,13,-8,32,-37,-37,-2,-7,77,5,36,16991
C16,炮台山,13,-11,1,-24,-21,13,23,-14,1,-38,62,15,20,15917
C17,城市花園,29,-24,-11,12,-15,-27,-37,-18,-46,6,69,2,-60,15679
C18,和富,24,-45,-43,-20,-43,-2,-20,-66,-65,-30,25,-22,-307,21058
C19,堡壘,17,-44,2,3,-27,-3,10,-32,-21,-2,6,11,-80,15583
