選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
M22,天恒,335,136,93,32,19,33,54,83,67,32,32,6,9,931,22520
M11,屏山南,154,67,59,48,78,65,54,62,82,66,66,24,20,845,16337
F09,富昌,200,100,64,35,43,46,65,56,52,47,47,34,35,824,20270
R24,頌安,232,105,72,48,39,62,46,54,50,30,30,19,12,799,20910
Q10,彩健,220,96,82,50,40,51,42,51,33,39,39,23,16,782,19908
R09,乙明,101,72,50,86,81,79,56,46,34,52,52,40,28,777,20609
G12,啓德北,88,57,53,43,66,86,85,62,61,39,39,31,25,735,16562
J34,牛頭角下邨,93,52,51,45,54,74,74,76,52,46,46,25,42,730,17736
Q27,環保南,108,69,52,75,73,80,70,78,46,24,24,12,9,720,16570
J07,佐敦谷,148,74,30,29,52,81,70,72,43,33,33,25,28,718,19358
R14,下城門,195,69,44,35,68,85,63,57,28,19,19,14,12,708,18693
P17,康樂園,125,66,60,67,56,62,56,57,48,30,30,11,29,697,20783
F04,石硤尾,131,61,47,37,47,50,60,66,49,39,39,27,41,694,20852
J11,寶達,216,65,46,44,27,36,38,41,32,43,43,29,26,686,19866
R15,雲城,153,65,69,63,68,78,48,54,29,17,17,8,15,684,20693
S10,石籬北,202,74,43,32,46,38,48,43,34,33,33,19,27,672,21330
Q19,運亨,154,41,40,55,54,74,79,52,23,28,28,13,28,669,21169
N09,清河,218,73,33,28,45,75,53,43,39,18,18,10,14,667,20610
M25,嘉湖北,139,58,68,43,48,53,61,55,38,31,31,19,13,657,23223
P10,大埔滘,126,64,67,50,40,61,48,57,44,29,29,22,16,653,19556
Q15,康景,151,69,71,71,69,52,41,48,22,15,15,13,14,651,20623
T03,逸東邨南,262,109,65,34,22,22,29,27,33,12,12,9,11,647,20124
N10,御太,111,63,73,47,54,57,42,47,34,37,37,26,18,646,17154
H19,慈雲東,210,63,42,54,33,35,38,45,30,24,24,13,33,644,20122
N06,欣盛,219,95,62,41,26,33,22,37,21,24,24,9,26,639,20102
Q09,健明,254,83,54,18,21,51,48,36,23,14,14,9,12,637,16592
Q21,厚德,144,101,95,57,39,21,35,35,19,22,22,12,33,635,18253
P13,林村谷,120,57,67,56,48,50,51,50,44,32,32,16,12,635,21098
S26,青衣南,196,79,39,38,49,44,41,36,39,23,23,17,8,632,19744
M21,逸澤,255,87,53,26,13,37,30,52,33,15,15,6,7,629,19122
R01,沙田市中心,118,62,61,68,65,62,44,45,35,23,23,12,11,629,19821
J06,雙彩,133,57,52,20,38,47,58,51,40,35,35,40,22,628,19162
J25,麗港城,168,64,45,38,44,57,52,64,28,23,23,7,14,627,24598
T02,逸東邨北,262,71,40,21,48,52,41,39,20,10,10,7,5,626,18959
R33,鞍泰,139,44,53,69,75,78,53,44,28,9,9,15,9,625,21661
P12,新富,141,50,57,46,38,72,48,50,44,23,23,14,18,624,16714
M23,宏逸,292,70,47,14,17,26,52,44,15,13,13,7,8,618,20242
R36,碧湖,136,56,51,47,62,54,48,38,43,27,27,14,14,617,16660
N04,華都,182,73,56,72,41,37,46,32,24,14,14,13,7,611,19452
R26,馬鞍山市中心,129,58,49,74,59,53,50,47,27,17,17,5,26,611,18206
M09,十八鄉中,96,46,80,102,76,59,37,34,28,19,19,8,7,611,20104
M24,晴景,183,62,30,33,60,60,52,39,30,17,17,14,10,607,19925
R34,大水坑,129,77,60,50,41,47,34,51,35,22,22,7,23,598,17868
Q26,環保北,92,51,66,71,60,65,57,31,39,22,22,10,10,596,16675
N01,聯和墟,172,55,45,42,48,53,40,33,34,23,23,7,17,592,19439
J17,藍田,156,54,32,33,46,51,48,43,24,25,25,27,27,591,20947
R19,大圍,104,68,67,57,55,48,40,45,21,20,20,14,24,583,20765
P11,運頭塘,123,92,98,45,28,41,29,24,24,22,22,8,21,577,17024
R29,烏溪沙,96,50,50,71,59,68,45,49,37,16,16,8,8,573,16346
G13,啓德南,76,64,40,28,51,50,46,53,32,46,46,20,19,571,14599
R25,錦濤,121,51,51,77,55,54,43,33,28,13,13,7,21,567,20813
M15,天盛,221,76,35,35,31,39,41,36,19,11,11,7,4,566,21328
P18,船灣,141,34,41,51,55,46,32,36,53,30,30,8,8,565,20509
Q12,富君,178,62,49,36,51,57,38,26,13,16,16,8,7,557,19951
J22,油麗,159,51,36,23,34,59,31,40,26,23,23,18,34,557,18285
R37,廣康,131,65,56,28,52,60,32,53,24,18,18,9,10,556,18016
Q24,尚德,269,110,66,22,15,8,10,13,15,6,6,4,7,551,18356
S05,葵涌邨北,183,60,23,24,41,45,61,37,10,23,23,8,13,551,19197
S06,葵涌邨南,152,63,34,28,39,57,25,35,27,21,21,22,21,545,20793
R03,禾輋邨,138,79,60,44,38,37,27,38,19,21,21,10,11,543,18329
H17,正愛,151,77,32,23,40,51,51,35,21,19,19,8,15,542,20150
R27,利安,139,86,69,40,33,39,31,28,27,17,17,5,10,541,16354
Q06,寶怡,101,57,45,50,54,64,49,46,21,23,23,3,5,541,16781
Q20,景林,87,83,90,60,30,26,26,25,30,28,28,16,11,540,17890
R31,耀安,76,50,139,102,25,16,10,28,34,19,19,8,14,540,19370
Q18,欣英,92,68,73,62,42,51,32,40,25,13,13,17,11,539,19431
N13,石湖墟,122,62,46,37,41,37,31,39,31,28,28,18,18,538,19736
S07,石蔭,144,59,44,27,34,48,47,24,24,24,24,15,22,536,21347
N11,上水鄉郊,100,50,56,33,25,47,33,47,38,28,28,11,37,533,21578
Q23,德明,180,88,37,34,30,49,31,35,11,14,14,4,5,532,19323
Q22,富藍,113,57,41,51,48,43,29,38,23,14,14,18,43,532,17572
N16,沙打,98,40,53,33,29,36,44,33,34,37,37,21,33,528,14263
N08,粉嶺南,119,32,47,57,60,43,42,30,30,23,23,11,10,527,15365
L28,富泰,225,68,51,29,31,18,33,20,19,11,11,4,6,526,20436
R16,徑口,124,50,56,58,41,34,39,25,33,18,18,13,17,526,20452
H16,慈雲西,152,89,51,36,19,29,35,29,24,17,17,11,16,525,19020
P16,舊墟及太湖,121,52,60,64,46,43,35,40,26,15,15,3,5,525,15455
P02,大埔中,118,56,56,59,39,39,33,24,29,18,18,12,24,525,14109
K11,荃灣西,127,59,53,43,41,42,43,23,25,23,23,11,11,524,18672
R30,錦英,152,56,50,41,50,36,29,32,14,11,11,17,24,523,17726
