選區編號,選區,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:,選區推算人口
N01,聯和墟,199,373,233,261,256,409,569,699,523,349,349,348,4478,19439
N02,粉嶺市,118,250,169,181,159,237,309,414,366,307,307,166,2824,13501
N03,祥華,112,288,305,529,290,200,231,323,620,616,616,524,4377,17874
N05,華明,147,745,737,291,119,101,225,641,758,462,462,288,4725,17151
N08,粉嶺南,163,230,218,316,317,365,534,596,484,276,276,123,3781,15365
N10,御太,109,228,312,258,241,257,318,456,333,224,224,131,2975,17154
N11,上水鄉郊,113,198,196,188,213,285,428,508,479,287,287,363,3453,21578
N12,彩園,138,337,393,387,266,218,291,438,663,593,593,542,4623,17909
N13,石湖墟,161,343,310,376,261,287,385,608,620,464,464,351,4425,19736
N14,天平西,111,342,550,493,159,122,193,510,781,595,595,229,4336,15062
N15,鳳翠,161,338,284,195,143,177,322,550,486,295,295,267,3361,14972
N16,沙打,77,161,154,150,125,171,322,346,360,306,306,453,2854,14263
N17,天平東,164,346,568,317,167,225,339,602,637,347,347,177,4077,17298
P01,大埔墟,80,180,171,134,146,169,227,305,295,237,237,306,2420,16037
P02,大埔中,130,350,311,385,276,277,388,627,698,353,353,219,4198,14109
P03,頌汀,231,380,401,307,201,207,355,612,555,378,378,297,4134,14946
P04,大元,126,324,239,218,265,168,185,246,361,436,436,402,3339,14379
P05,富亨,130,678,720,261,134,114,161,613,781,418,418,304,4572,16576
P06,怡富,171,346,467,746,368,304,405,535,812,644,644,417,5630,16606
P07,富明新,128,319,357,341,185,181,249,541,659,464,464,361,4022,14282
P08,廣福及寶湖,116,274,254,441,195,146,173,309,485,562,562,416,3736,13459
P09,宏福,77,233,280,396,242,137,159,302,586,602,602,427,3812,12744
P11,運頭塘,207,643,513,391,219,228,363,743,713,554,554,475,5372,17024
P12,新富,170,370,313,284,329,337,566,863,581,432,432,299,4793,16714
P13,林村谷,96,211,194,232,269,352,375,497,425,324,324,211,3365,21098
P14,寶雅,118,513,549,336,154,127,180,445,690,481,481,280,4121,14902
P16,舊墟及太湖,143,343,280,350,325,329,491,719,454,291,291,189,4053,15455
P17,康樂園,138,316,266,208,232,291,419,787,647,419,419,181,4096,20783
P19,西貢北,77,133,97,129,160,245,400,480,397,259,259,110,2616,15475
Q01,西貢市中心,111,236,256,257,272,349,443,648,616,421,421,494,4436,11755
Q02,白沙灣,64,142,141,159,195,293,376,455,383,247,247,200,2820,18728
Q04,坑口東,56,97,104,127,124,213,284,342,299,214,214,111,2114,15821
Q05,坑口西,40,90,88,93,132,182,196,287,259,180,180,123,1778,15591
Q06,寶怡,133,173,229,273,372,582,432,432,407,302,302,314,3918,16781
Q07,維景,61,117,124,238,596,872,698,569,352,249,249,174,4246,15002
Q08,都善,87,138,144,153,292,402,435,374,278,218,218,180,2845,15314
Q09,健明,261,371,217,135,108,247,290,411,400,283,283,160,3081,16592
Q10,彩健,275,488,371,224,376,398,372,477,484,349,349,235,4274,19908
Q11,澳唐,120,221,229,312,620,752,574,466,367,300,300,235,4413,18262
Q12,富君,204,279,194,300,442,729,765,629,435,354,354,272,4863,19951
Q13,軍寶,65,122,126,330,521,633,477,434,253,167,167,134,3388,13726
Q14,南安,174,360,255,268,385,593,703,825,588,384,384,344,5193,17506
Q15,康景,88,192,169,163,173,140,211,418,405,266,266,219,2620,20623
Q16,翠林,103,293,595,494,196,127,119,337,782,530,530,341,4257,16311
Q17,寶林,146,426,712,524,247,225,268,568,835,563,563,460,5303,16722
