選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015選區推算人口
A01,中環,96,170,197,244,286,355,422,484,506,400,387,694,4241,13850
A02,半山東,151,307,307,374,442,610,631,843,876,700,501,864,6606,18828
A03,衛城,152,346,290,336,489,660,698,929,867,681,540,795,6783,18859
A04,山頂,111,255,261,274,285,431,463,710,694,615,532,684,5315,20324
A05,大學,196,429,444,442,595,684,756,961,1019,875,695,1146,8242,19010
A06,堅摩,174,376,387,498,640,772,699,791,730,624,483,902,7076,16920
A07,觀龍,198,426,509,610,616,709,744,922,876,723,668,1421,8422,15188
A08,西環,187,377,470,581,614,742,632,795,831,732,601,1025,7587,14789
A09,寶翠,274,521,545,602,767,957,1060,1214,1050,913,699,1155,9757,21195
A10,石塘咀,193,425,474,599,606,690,608,756,832,783,688,1222,7876,17176
A11,西營盤,164,386,437,498,561,580,546,667,757,775,638,1192,7201,14528
A12,上環,148,377,416,469,529,604,575,647,745,657,544,955,6666,17550
A13,東華,115,262,270,353,424,534,484,586,567,435,387,708,5125,13051
A14,正街,153,357,396,468,478,526,565,763,835,652,498,866,6557,16227
A15,水街,176,386,435,502,585,591,613,812,828,698,586,938,7150,15142
B01,軒尼詩,96,221,308,290,382,387,425,467,512,478,415,929,4910,13207
B02,愛群,132,252,291,401,432,505,472,517,605,574,535,1166,5882,14442
B03,鵝頸,96,195,220,299,363,434,381,439,454,522,452,968,4823,13514
B04,維園,124,296,312,417,550,573,525,629,605,590,656,1135,6412,14642
B05,天后,110,282,341,440,477,657,541,607,674,716,777,1703,7325,14156
B06,銅鑼灣,81,166,211,285,407,437,431,428,461,491,500,1139,5037,13655
B07,大坑,111,230,233,337,439,584,619,670,622,525,413,957,5740,13637
B08,渣甸山,149,311,277,277,347,529,589,828,800,635,485,812,6039,15200
B09,樂活,125,313,254,287,330,433,545,706,688,616,474,650,5421,14677
B10,跑馬地,75,146,169,300,467,559,568,525,527,516,477,997,5326,14090
B11,司徒拔道,92,194,202,223,288,418,447,549,562,578,533,944,5030,14203
B12,修頓,95,223,244,268,350,420,431,473,483,511,412,802,4712,14597
B13,大佛口,75,189,235,266,325,449,403,494,543,483,432,903,4797,13346
C01,太古城西,224,435,490,531,647,747,810,1047,1024,1071,814,1084,8924,18269
C02,太古城東,209,473,496,528,733,892,895,1104,1156,1134,943,1459,10022,19530
