編號,投票站名稱,投票站地址,檢視禁止拉票區,選區編號,選區名稱
A0101,專業聯合中心,香港中環皇后大道中99號中環中心地下1室,地圖,A01,中環
A0102,香港視覺藝術中心,香港中區堅尼地道7A號4樓,地圖,,
A0201,高主教書院,香港羅便臣道2號,地圖,A02,半山東
A0301,香港真光幼稚園(堅道),香港堅道75號地下至2樓,地圖,A03,衛城
A0302,食物環境衞生署食物安全中心(醫院道辦事處),香港醫院道4號,地圖,,
A0401,香港公園體育館,香港中環紅棉路29號,地圖,A04,山頂
A0402,德瑞國際學校山頂校舍,香港山頂僑福道22號德瑞國際學校山頂校舍中座,地圖,,
A0501,西營盤社區綜合大樓社區會堂,香港西營盤高街2號西營盤社區綜合大樓3樓,地圖,A05,大學
A0601,香港基督教女青年會西環綜合社會服務處,香港西環域多利道9-15號百年大樓第1期A座2樓,地圖,A06,堅摩
A0701,士美非路體育館,香港堅尼地城士美菲路12號K士美非路市政大廈4樓,地圖,A07,觀龍
A0801,堅尼地城社區綜合大樓(綜合用途室),香港堅尼地城石山街12號2樓,地圖,A08,西環
A0901,聖雅各福群會寶翠園幼稚園幼兒中心,香港西環卑路乍街8號西寶城商場2樓平台,地圖,A09,寶翠
A1001,石塘咀體育館,香港皇后大道西470號石塘咀市政大廈5樓,地圖,A10,石塘咀
A1101,中西區及離島區社會保障辦事處,香港德輔道西246號東慈商業中心3樓,地圖,A11,西營盤
A1102,中山紀念公園體育館,香港西營盤東邊街北18號,地圖,,
A1201,上環郵政局,香港上環德輔道中322-324號香港電訊CSL中心1樓,地圖,A12,上環
A1301,新會商會學校,香港上環居賢坊1號,地圖,A13,東華
A1302,聖公會聖馬太小學,香港上環新街12-20號,地圖,,
A1401,基督教香港崇真會救恩堂及救恩學校,香港西營盤第三街96號地下,地圖,A14,正街
A1501,李陞小學,香港西營盤高街119號,地圖,A15,水街
B0101,軒尼詩道官立小學,香港灣仔譚臣道169號,地圖,B01,軒尼詩
B0201,鄧肇堅維多利亞官立中學,香港灣仔愛群道5號,地圖,B02,愛群
B0301,德瑞國際學校灣仔校舍(前灣仔學校),香港灣仔愛群道30號,地圖,B03,鵝頸
B0501,蒙特梭利國際學校,香港天后天后廟道62號,地圖,B05,天后
B0502,勵德邨邨榮樓有蓋停車場,香港大坑勵德邨道34號勵德邨,地圖,,
B0701,港灣婦女會,香港銅鑼灣摩頓台,地圖,B07,大坑
B0801,中華基督教會公理高中書院,香港銅鑼灣大坑徑17號,地圖,B08,渣甸山
B0901,禮頓山社區會堂,香港跑馬地黃泥涌道133號,地圖,B09,樂活
B1001,黃泥涌體育館,香港跑馬地毓秀街2號黃泥涌市政大廈6樓,地圖,B10,跑馬地
B1101,瑪利曼中學,香港跑馬地藍塘道123號,地圖,B11,司徒拔道
B1102,香港青少年服務處成和青少年中心,香港跑馬地桂成里20號誠和閣地下,地圖,,
B1201,灣仔活動中心,香港灣仔皇后大道東258號灣仔街市地下低層,地圖,B12,修頓
B1301,循道衛理中心,香港灣仔軒尼詩道22號2樓,地圖,B13,大佛口
C0101,東區少年警訊會所,香港太古城太裕路5號興安閣平台512-513號,地圖,C01,太古城西
C0201,聖安娜中英文幼稚園,香港鰂魚涌太古城太榮路2號南海閣平台,地圖,C02,太古城東
C0202,太古城郵政局,香港太古城太豐路1-3號金星閣地下G1020至1022號,地圖,,
C0301,西灣河健康中心,香港西灣河太康街28號地下,地圖,C03,鯉景灣
C0401,中華基督教會基灣小學(愛蝶灣),香港筲箕灣愛信道39號,地圖,C04,愛秩序灣
C0501,筲箕灣郵政局,香港筲箕灣寶文街1號峻峰花園地下,地圖,C05,筲箕灣
C0601,愛秩序灣官立小學,香港筲箕灣愛禮街1號,地圖,C06,阿公岩
C0602,筲箕灣官立小學,香港筲箕灣筲箕灣東大街19號,地圖,,
C0701,嶺南中學,香港杏花邨盛康里6號,地圖,C07,杏花邨
C0801,聖公會李福慶中學,香港柴灣翠灣街翠灣邨,地圖,C08,翠灣
C1001,小西灣社區會堂,香港柴灣小西灣道15號小西灣綜合大樓地下,地圖,C10,小西灣
C1101,培僑小學,香港柴灣小西灣富怡道12號,地圖,C11,景怡
C1201,救世軍中原慈善基金學校,香港柴灣華廈街9號,地圖,C12,環翠
C1301,文理書院(香港),香港柴灣萃文道4號,地圖,C13,翡翠
C2101,啟基學校(港島),香港北角馬寶道82號,地圖,C21,丹拿
C2301,北角官立小學,香港鰂魚涌英皇道888號,地圖,C23,鰂魚涌
C2401,鰂魚涌社區會堂,香港鰂魚涌基利路1號鰂魚涌社區綜合大樓地下,地圖,C24,南豐
C2501,佛教中華康山學校,香港鰂魚涌康愉街2號,地圖,C25,康怡
C2601,太古小學,香港鰂魚涌英皇道1100號,地圖,C26,康山
C2701,青松興東幼稚園,香港筲箕灣興東邨興祖樓地下,地圖,C27,興東
C2702,伊斯蘭徐錦享紀念幼稚園,香港筲箕灣東熹苑景熹閣地下,地圖,,
C2801,西灣河體育館,香港西灣河筲箕灣道111號2樓,地圖,C28,西灣河
C2901,勵志會梁李秀娛紀念小學,香港筲箕灣耀興道25號,地圖,C29,下耀東
C2902,筲箕灣街坊福利事務促進會有限公司,香港筲箕灣南安街103號,地圖,,
C3101,粵南信義會腓力堂興民幼兒學園,香港柴灣興民邨社區中心第3層,地圖,C31,興民
C3102,路德會聖雅各幼稚園,香港柴灣興華(一)邨卓華樓地下,地圖,,
C3201,天主教明德學校,香港柴灣祥民道11號,地圖,C32,樂康
C3202,循道愛華村服務中心社會福利部－愛華青少年綜合服務隊(愛華服務處),香港柴灣柴灣道100號4樓,地圖,,
C3301,柴灣母嬰健康院,香港柴灣柴灣道233號新翠花園第6座政府大樓2樓,地圖,C33,翠德
C3401,漁灣社區會堂,香港柴灣柴灣道365號漁灣邨,地圖,C34,漁灣
C3501,香港中華基督教青年會－柴灣會所,香港柴灣小西灣邨瑞樂樓地下1-10號,地圖,C35,佳曉
C3502,道慈佛社楊譚婉芳幼稚園,香港小西灣佳翠苑顯翠閣地下,地圖,,
