Code,Name,Sex,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,source_file
R01,沙田市中心 Sha Tin Town Centre,M,162.0,367.0,326.0,378.0,449.0,459.0,495.0,693.0,668.0,419.0,295.0,390.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R01,沙田市中心 Sha Tin Town Centre,F,157.0,373.0,322.0,324.0,367.0,394.0,371.0,531.0,623.0,463.0,319.0,393.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R02,瀝源 Lek Yuen,M,143.0,317.0,280.0,215.0,256.0,324.0,347.0,347.0,391.0,361.0,357.0,734.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R02,瀝源 Lek Yuen,F,138.0,340.0,341.0,272.0,281.0,330.0,267.0,334.0,421.0,345.0,294.0,658.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R03,禾輋邨 Wo Che Estate,M,197.0,502.0,422.0,302.0,327.0,350.0,365.0,547.0,558.0,644.0,721.0,1100.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R03,禾輋邨 Wo Che Estate,F,191.0,490.0,463.0,315.0,376.0,439.0,321.0,453.0,506.0,438.0,506.0,1018.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R04,第一城 City One,M,123.0,318.0,373.0,349.0,357.0,379.0,409.0,635.0,706.0,438.0,254.0,413.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R04,第一城 City One,F,149.0,372.0,343.0,320.0,339.0,333.0,316.0,479.0,611.0,495.0,318.0,325.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R05,愉城 Yue Shing,M,114.0,232.0,291.0,392.0,382.0,360.0,437.0,559.0,603.0,491.0,259.0,434.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R05,愉城 Yue Shing,F,119.0,284.0,281.0,351.0,360.0,277.0,340.0,442.0,532.0,437.0,317.0,370.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R06,王屋 Wong Uk,M,117.0,281.0,293.0,305.0,396.0,379.0,380.0,505.0,540.0,365.0,288.0,347.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R06,王屋 Wong Uk,F,125.0,272.0,319.0,344.0,345.0,344.0,264.0,389.0,511.0,422.0,310.0,387.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R07,沙角 Sha Kok,M,102.0,331.0,293.0,250.0,341.0,384.0,324.0,428.0,447.0,628.0,773.0,1068.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
R07,沙角 Sha Kok,F,121.0,366.0,328.0,265.0,368.0,354.0,226.0,308.0,396.0,369.0,537.0,1108.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_R.csv.xlsx
