票站編號,票站,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,兩次選舉投票人數相差,2016票站獲分派選民人數,2015票站獲分派選民人數
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,76,111,-33,-25,-71,15,90,69,-122,-190,-164,-379,-623,10164.0,10165.0
N0201,粉嶺公立學校,15,39,16,3,-5,26,13,52,-4,-21,-25,-68,41,3181.0,3182.0
N0202,明愛粉嶺陳震夏中學,23,52,36,42,40,40,7,-7,72,118,16,-12,427,2999.0,2999.0
N0301,祥華社區會堂,-8,25,-33,38,-18,-46,-48,-78,-232,-174,-121,-237,-932,11423.0,11424.0
N0501,鳳溪廖潤琛紀念學校,38,512,501,37,-172,-250,-201,80,184,-18,-165,-359,187,11578.0,11567.0
N0801,粉嶺官立中學,27,29,35,46,54,19,18,5,59,56,23,2,373,3907.0,3905.0
N0802,聖公會榮真小學,39,46,51,11,10,21,24,106,62,46,9,8,433,2657.0,2657.0
N1001,風采中學 (教育評議會主辦),36,65,63,64,-4,2,6,-30,-99,-38,-37,-106,-78,7221.0,7223.0
N1101,新界喇沙中學,-8,-8,-14,-44,-54,-49,-53,-65,-65,-96,-59,-126,-641,2747.0,2753.0
N1102,蕉徑村公所,2,-12,-20,-28,-32,-42,-28,-45,-35,-34,-24,-200,-498,1797.0,1797.0
N1103,古洞公立愛華學校,-7,-32,-34,-30,-41,-37,-29,-82,-95,-96,-95,-148,-726,3213.0,3208.0
N1104,坑頭村公所,3,-4,-8,-18,-26,-14,8,19,-12,-36,-46,-81,-215,2015.0,2014.0
N1201,彩園會堂,42,75,95,98,89,73,52,22,18,-9,-123,-321,111,11002.0,11005.0
N1301,龍琛路體育館,3,10,9,1,3,5,6,8,7,-5,0,-5,42,1609.0,1609.0
N1302,聖公會陳融中學,17,30,2,38,0,11,-4,1,-17,-25,-11,-15,27,5117.0,5118.0
N1303,香海正覺蓮社佛教陳式宏學校,3,14,43,63,-8,-37,-64,-24,51,77,7,-71,54,2625.0,2623.0
N1401,石湖墟公立學校,2,109,314,239,-132,-229,-233,-51,208,115,-125,-418,-201,10233.0,10231.0
N1501,鳳溪廖萬石堂中學,61,125,69,-37,-123,-143,-68,38,-38,-143,-201,-325,-785,8296.0,8297.0
N1601,打鼓嶺嶺英公立學校,4,-16,-13,-19,-20,-12,-14,-30,-27,-22,-17,-46,-232,1309.0,1309.0
N1602,International College Hong Kong,-3,-7,6,-21,-14,-26,-30,-55,-48,-25,-37,-101,-361,2085.0,2087.0
N1603,吉澳村公所,0,0,0,0,0,-1,0,-3,-2,-2,2,-11,-17,105.0,105.0
N1604,沙頭角中心小學,-14,-26,-26,-49,-85,-108,-76,-66,-81,-78,-7,-11,-627,3442.0,3438.0
N1605,李氏宗祠,0,0,0,-2,-1,0,-2,-1,-1,-2,-1,-2,-12,72.0,72.0
N1606,打鼓嶺社區會堂,-1,-2,-1,-1,-12,-3,3,-19,-23,-14,-19,-15,-107,1475.0,1475.0
N1701,天平體育館,10,29,113,26,6,6,-19,-53,-47,-28,-9,-44,-10,6617.0,6621.0
N1702,聯和墟社區會堂,45,20,21,25,3,41,77,39,25,-32,-27,-118,119,2645.0,2645.0
P0101,大埔社區中心 (展覽廳),38,59,66,33,40,28,38,75,50,18,18,-58,405,6216.0,6215.0
P0201,大埔官立中學,14,87,42,69,40,39,26,47,80,11,12,-18,449,7544.0,7544.0
P0301,新界婦孺福利會梁省德學校,28,34,57,33,23,15,51,42,23,1,-4,-5,298,3342.0,3342.0
P0302,香港紅卍字會大埔卍慈中學,86,40,55,31,-5,0,-5,-2,-36,-2,-27,-68,67,5456.0,5455.0
P0401,大元社區會堂,41,95,61,19,47,0,-11,-14,-12,-40,-73,-170,-57,8662.0,8660.0
P0501,富亨鄰里社區中心,12,19,18,2,7,-26,-43,-170,-98,-130,-87,-110,-606,11399.0,11397.0
P0701,香港道教聯合會圓玄學院第二中學,15,55,30,46,-8,-11,-25,-10,-74,-51,-71,-180,-284,8982.0,8985.0
P0801,廣福社區會堂,33,88,63,134,21,5,9,1,-87,-36,-43,-76,112,7465.0,7462.0
P0802,大埔崇德黃建常紀念學校,13,31,1,8,9,15,7,39,11,3,5,-3,139,1170.0,1170.0
P0901,大埔浸信會公立學校,-6,78,58,62,32,-3,-6,0,-16,-64,31,-100,66,8433.0,8433.0
P1101,運頭塘鄰里社區中心,44,211,142,95,25,39,23,65,-8,-31,-25,-91,489,11580.0,11583.0
P1201,羅定邦中學,14,69,56,45,5,-2,70,63,-21,16,-63,-101,151,7393.0,7392.0
P1301,南華莆村崇真堂,4,-1,6,-3,2,-14,-2,-16,-2,7,3,-6,-22,642.0,641.0
P1302,獅子會林村青年中心,5,20,3,34,-23,-25,-44,-81,-84,-50,-47,-129,-421,5873.0,5873.0
P1401,大埔官立小學,5,72,-7,9,-23,-15,-68,-270,-210,-102,-76,-214,-899,10432.0,10434.0
P1601,太和鄰里社區中心,0,55,70,24,36,15,-23,11,15,12,6,-71,150,7479.0,7482.0
P1702,九龍坑公立育賢學校,4,16,-8,0,-4,-14,-12,8,-2,5,0,-25,-32,1696.0,1699.0
P1703,康樂園服務處會議室,-1,24,21,17,16,22,37,45,36,69,23,19,328,1844.0,1845.0
P1901,香港浸信會神學院,23,49,11,21,22,24,70,118,98,31,22,-42,447,5369.0,5371.0
