,,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
A0101,聖公會基恩小學,32,75,75,87,125,161,212,194,205,98,103,250,1617
A0102,香港公園體育館,1,3,6,15,16,15,30,28,23,19,12,30,198
A0201,高主教書院,44,54,97,153,229,347,439,292,204,182,229,220,2490
A0301,英華女學校,34,51,72,100,168,297,346,291,210,111,96,177,1953
A0401,聖若瑟書院,13,42,47,61,78,143,217,213,194,79,50,71,1208
A0402,德國瑞士國際學校,3,14,18,18,34,59,65,96,84,39,13,17,460
A0501,聖嘉勒小學,52,99,114,140,194,338,489,340,306,161,154,211,2598
A0601,香港基督教女青年會西環綜合社會服務處,75,118,155,256,284,347,333,365,241,153,181,392,2900
A0701,堅尼地城社區綜合大樓(綜合用途室),97,146,146,189,230,332,351,352,373,181,277,581,3255
A0901,聖雅各福群會寶翠園幼兒中心,111,163,210,269,435,578,583,539,407,202,211,366,4074
A1001,石塘咀體育館,75,116,136,166,195,258,326,342,315,177,217,341,2664
A1101,義務工作發展局義工服務中心,80,180,151,175,207,288,379,406,364,187,217,412,3046
A1201,上環郵政局,62,130,167,227,192,254,352,360,274,152,149,280,2599
A1301,英皇書院同學會小學第二校,20,30,56,99,107,146,152,122,111,55,54,109,1061
A1302,聖公會聖馬太小學,16,28,36,41,49,85,95,95,84,34,38,80,681
A1401,基督教香港崇真會救恩堂及救恩學校,74,141,164,195,256,365,501,392,334,147,160,380,3109
A1501,西營盤郵政局,53,127,148,135,205,304,337,311,295,162,129,251,2457
B0101,軒尼詩道官立小學,42,64,83,104,145,166,211,226,229,135,159,331,1895
B0201,賽馬會匡智學校,45,69,87,95,103,139,210,223,225,153,177,363,1889
B0301,銅鑼灣郵政局,33,56,98,112,132,149,193,258,250,162,153,349,1945
B0401,聖保祿學校(小學部),43,42,50,84,116,197,278,235,218,86,83,125,1557
B0501,灣仔區文娛康樂體育會,33,50,82,135,208,231,280,235,210,119,155,279,2017
B0601,中華基督教會公理高中書院,29,28,36,70,102,183,265,221,203,72,69,111,1389
B0701,禮頓山社區會堂,11,40,55,45,69,195,228,243,168,78,56,108,1296
B0801,黃泥涌體育館,19,70,102,147,193,216,211,242,239,125,152,328,2044
B0901,聖公會聖雅各小學,4,20,24,25,42,75,95,87,101,30,31,61,595
B0902,瑪利曼中學,12,28,32,33,48,82,102,94,109,37,38,67,682
B1001,灣仔郵政局,32,60,78,109,118,180,241,231,263,117,122,272,1823
B1101,循道衛理中心,59,117,122,145,198,252,335,305,314,172,192,383,2594
C0101,鰂魚涌社區會堂,57,99,116,140,201,353,383,445,376,157,159,224,2710
C0201,地利亞修女紀念學校(太古城),61,113,162,174,209,376,463,500,480,208,182,310,3238
C0301,韓國國際學校,61,102,144,178,261,457,456,371,281,156,180,361,3008
C0401,筲箕灣郵政局,53,84,73,106,127,264,283,222,201,106,122,238,1879
