District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A0101,LC1,"4,806 ",57 ,148 ,311 ,509 ,692 ,860 ,"1,011 ","1,154 ","1,307 ","1,459 ","1,605 ","1,750 ","1,903 ","2,042 ","2,154 "
A,A0102,LC1,845 ,5 ,22 ,32 ,57 ,89 ,115 ,145 ,169 ,202 ,244 ,282 ,312 ,339 ,358 ,383 
A,A0201,LC1,"7,465 ",57 ,159 ,406 ,675 ,980 ,"1,250 ","1,475 ","1,712 ","2,014 ","2,275 ","2,558 ","2,811 ","3,094 ","3,375 ","3,842 "
A,A0301,LC1,"7,036 ",90 ,247 ,485 ,755 ,"1,074 ","1,353 ","1,563 ","1,840 ","2,091 ","2,347 ","2,605 ","2,869 ","3,148 ","3,416 ","3,817 "
A,A0401,LC1,"3,648 ",27 ,83 ,153 ,251 ,382 ,518 ,620 ,756 ,911 ,"1,059 ","1,216 ","1,331 ","1,491 ","1,601 ","1,793 "
A,A0402,LC1,"1,149 ",20 ,43 ,63 ,117 ,161 ,210 ,248 ,287 ,343 ,393 ,447 ,509 ,535 ,574 ,645 
A,A0501,LC1,"8,345 ",86 ,254 ,477 ,763 ,980 ,"1,383 ","1,717 ","1,992 ","2,311 ","2,589 ","2,859 ","3,274 ","3,567 ","3,926 ","4,495 "
A,A0601,LC1,"6,634 ",67 ,241 ,473 ,737 ,"1,009 ","1,247 ","1,525 ","1,752 ","1,972 ","2,173 ","2,415 ","2,657 ","2,936 ","3,256 ","3,630 "
A,A0701,LC1,"7,450 ",120 ,321 ,555 ,840 ,"1,097 ","1,322 ","1,579 ","1,791 ","2,028 ","2,315 ","2,616 ","2,905 ","3,195 ","3,524 ","3,889 "
A,A0801,LC1,"7,958 ",76 ,281 ,563 ,862 ,"1,187 ","1,457 ","1,770 ","2,016 ","2,282 ","2,544 ","2,861 ","3,120 ","3,445 ","3,759 ","4,137 "
A,A0901,LC1,"10,022 ",90 ,266 ,612 ,892 ,"1,327 ","1,687 ","2,082 ","2,498 ","2,891 ","3,275 ","3,642 ","3,992 ","4,381 ","4,780 ","5,349 "
A,A1001,LC1,"11,259 ",118 ,354 ,665 ,"1,011 ","1,400 ","1,759 ","2,065 ","2,396 ","2,782 ","3,158 ","3,583 ","3,989 ","4,436 ","4,898 ","5,538 "
A,A1101,LC1,"5,429 ",85 ,217 ,334 ,551 ,767 ,936 ,"1,072 ","1,264 ","1,428 ","1,596 ","1,812 ","2,027 ","2,199 ","2,367 ","2,583 "
A,A1201,LC1,"7,306 ",79 ,269 ,476 ,789 ,"1,080 ","1,331 ","1,627 ","1,913 ","2,222 ","2,484 ","2,718 ","2,977 ","3,242 ","3,453 ","3,708 "
A,A1301,LC1,"3,366 ",14 ,86 ,170 ,320 ,447 ,583 ,698 ,797 ,923 ,"1,030 ","1,110 ","1,234 ","1,358 ","1,467 ","1,606 "
A,A1302,LC1,"1,997 ",14 ,53 ,96 ,170 ,224 ,268 ,312 ,362 ,420 ,487 ,539 ,595 ,663 ,721 ,770 
A,A1401,LC1,"7,166 ",105 ,289 ,519 ,806 ,"1,105 ","1,379 ","1,657 ","1,879 ","2,128 ","2,382 ","2,640 ","2,867 ","3,123 ","3,350 ","3,723 "
A,A1501,LC1,"6,047 ",89 ,258 ,442 ,709 ,950 ,"1,140 ","1,401 ","1,622 ","1,836 ","2,040 ","2,273 ","2,488 ","2,712 ","2,959 ","3,253 "
B,B0101,LC1,"6,153 ",75 ,218 ,398 ,575 ,907 ,"1,113 ","1,228 ","1,456 ","1,624 ","1,823 ","2,013 ","2,201 ","2,432 ","2,590 ","2,812 "
B,B0201,LC1,"5,794 ",37 ,231 ,386 ,638 ,840 ,"1,016 ","1,194 ","1,387 ","1,605 ","1,781 ","1,988 ","2,146 ","2,313 ","2,475 ","2,646 "
B,B0301,LC1,"5,485 ",59 ,134 ,272 ,421 ,566 ,783 ,971 ,"1,169 ","1,337 ","1,492 ","1,652 ","1,802 ","1,943 ","2,062 ","2,263 "
B,B0401,LC1,"7,928 ",78 ,214 ,422 ,668 ,911 ,"1,116 ","1,293 ","1,515 ","1,755 ","1,999 ","2,206 ","2,440 ","2,634 ","2,829 ","3,136 "
B,B0501,LC1,"5,734 ",79 ,213 ,403 ,733 ,993 ,"1,217 ","1,419 ","1,596 ","1,815 ","1,908 ","2,141 ","2,332 ","2,505 ","2,701 ","2,931 "
B,B0601,LC1,"5,212 ",48 ,159 ,302 ,458 ,674 ,887 ,"1,072 ","1,278 ","1,521 ","1,698 ","1,863 ","2,106 ","2,298 ","2,505 ","2,925 "
B,B0701,LC1,"5,292 ",74 ,182 ,267 ,489 ,675 ,899 ,"1,114 ","1,334 ","1,578 ","1,754 ","1,925 ","2,143 ","2,321 ","2,583 ","2,879 "
B,B0801,LC1,"5,909 ",51 ,157 ,318 ,514 ,755 ,945 ,"1,133 ","1,323 ","1,522 ","1,762 ","1,993 ","2,201 ","2,396 ","2,576 ","2,880 "
B,B0901,LC1,"2,314 ",38 ,119 ,146 ,218 ,326 ,406 ,484 ,560 ,678 ,753 ,806 ,895 ,968 ,"1,067 ","1,164 "
B,B0902,LC1,"2,931 ",28 ,84 ,159 ,263 ,400 ,487 ,559 ,691 ,813 ,908 ,"1,017 ","1,108 ","1,243 ","1,346 ","1,457 "
B,B1001,LC1,"4,847 ",50 ,164 ,283 ,502 ,705 ,901 ,"1,091 ","1,272 ","1,463 ","1,604 ","1,766 ","1,926 ","2,127 ","2,255 ","2,482 "
B,B1101,LC1,"5,838 ",11 ,23 ,31 ,62 ,93 ,112 ,142 ,"1,571 ","1,780 ","1,957 ","2,129 ","2,309 ","2,487 ","2,677 ","2,863 "
C,C0101,LC1,"6,529 ",58 ,195 ,435 ,685 ,942 ,"1,224 ","1,502 ","1,831 ","2,119 ","2,338 ","2,645 ","2,907 ","3,178 ","3,459 ","3,879 "
C,C0201,LC1,"4,564 ",47 ,168 ,325 ,537 ,740 ,933 ,"1,161 ","1,354 ","1,567 ","1,771 ","1,941 ","2,149 ","2,364 ","2,607 ","2,879 "
C,C0202,LC1,"7,243 ",72 ,227 ,445 ,707 ,"1,006 ","1,296 ","1,579 ","1,910 ","2,254 ","2,497 ","2,797 ","3,069 ","3,343 ","3,670 ","4,163 "
C,C0301,LC1,"5,723 ",74 ,233 ,442 ,693 ,950 ,"1,223 ","1,440 ","1,706 ","1,949 ","2,201 ","2,530 ","2,743 ","3,000 ","3,249 ","3,640 "
C,C0401,LC1,"5,638 ",50 ,199 ,331 ,512 ,682 ,885 ,"1,076 ","1,231 ","1,420 ","1,604 ","1,821 ","2,040 ","2,222 ","2,454 ","2,699 "
C,C0501,LC1,"13,982 ",124 ,450 ,904 ,"1,449 ","1,919 ","2,343 ","2,771 ","3,172 ","3,688 ","4,210 ","4,729 ","5,173 ","5,645 ","6,175 ","6,866 "
C,C0601,LC1,"7,702 ",127 ,254 ,502 ,761 ,968 ,"1,172 ","1,375 ","1,574 ","1,799 ","2,049 ","2,254 ","2,500 ","2,696 ","2,911 ","3,156 "
C,C0701,LC1,"9,968 ",74 ,309 ,611 ,"1,062 ","1,547 ","1,919 ","2,281 ","2,723 ","3,114 ","3,531 ","4,010 ","4,434 ","4,770 ","5,356 ","6,202 "
C,C0801,LC1,"8,076 ",89 ,296 ,528 ,807 ,"1,056 ","1,275 ","1,499 ","1,691 ","1,917 ","2,226 ","2,534 ","2,814 ","3,132 ","3,439 ","3,904 "
C,C0901,LC1,"8,413 ",89 ,277 ,500 ,795 ,"1,158 ","1,461 ","1,778 ","2,055 ","2,416 ","2,774 ","3,103 ","3,434 ","3,754 ","4,160 ","4,811 "
C,C1001,LC1,"10,577 ",122 ,309 ,704 ,968 ,"1,260 ","1,532 ","1,832 ","2,081 ","2,434 ","2,784 ","3,202 ","3,564 ","3,888 ","4,291 ","4,878 "
C,C1101,LC1,"10,670 ",98 ,313 ,597 ,"1,005 ","1,366 ","1,709 ","2,058 ","2,386 ","2,758 ","3,161 ","3,557 ","4,003 ","4,343 ","4,849 ","5,499 "
C,C1201,LC1,"9,252 ",99 ,288 ,514 ,839 ,"1,120 ","1,348 ","1,620 ","1,866 ","2,200 ","2,511 ","2,880 ","3,139 ","3,390 ","3,667 ","4,007 "
C,C1301,LC1,"7,455 ",115 ,367 ,561 ,856 ,"1,095 ","1,271 ","1,520 ","1,720 ","1,955 ","2,205 ","2,431 ","2,682 ","2,874 ","3,093 ","3,296 "
C,C1401,LC1,"11,079 ",7 ,22 ,50 ,70 ,93 ,399 ,"2,194 ","2,529 ","2,900 ","3,254 ","3,585 ","4,028 ","4,397 ","4,733 ","5,136 "
