"District 
Code","Constituency
Code",Polling Station Code,No. of Electors*,"Main
CS?","Small 
PS?",08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A01,A0101,"4,375 ",N,N,32 ,91 ,196 ,331 ,497 ,621 ,747 ,873 ,"1,023 ","1,125 ","1,236 ","1,317 ","1,391 ","1,511 ","1,585 "
A,A01,A0102,839 ,Y,N,9 ,14 ,27 ,42 ,74 ,92 ,114 ,138 ,169 ,181 ,201 ,227 ,237 ,271 ,287 
A,A02,A0201,"7,038 ",Y,N,47 ,137 ,289 ,477 ,682 ,843 ,"1,009 ","1,191 ","1,372 ","1,548 ","1,758 ","1,948 ","2,094 ","2,279 ","2,509 "
A,A03,A0301,"6,831 ",Y,N,51 ,123 ,244 ,381 ,555 ,682 ,863 ,"1,005 ","1,181 ","1,341 ","1,500 ","1,675 ","1,790 ","1,975 ","2,222 "
A,A04,A0401,"3,812 ",Y,N,27 ,96 ,174 ,274 ,397 ,526 ,660 ,784 ,965 ,"1,103 ","1,208 ","1,370 ","1,446 ","1,568 ","1,686 "
A,A04,A0402,"1,171 ",N,N,20 ,52 ,72 ,121 ,175 ,239 ,276 ,314 ,373 ,401 ,463 ,532 ,575 ,614 ,659 
A,A05,A0501,"8,122 ",Y,N,43 ,139 ,271 ,472 ,693 ,890 ,"1,076 ","1,268 ","1,441 ","1,653 ","1,845 ","2,045 ","2,238 ","2,467 ","2,748 "
A,A06,A0601,"6,795 ",Y,N,119 ,288 ,513 ,772 ,"1,035 ","1,252 ","1,506 ","1,703 ","1,917 ","2,172 ","2,369 ","2,604 ","2,838 ","3,057 ","3,256 "
A,A07,A0701,"7,605 ",Y,N,117 ,387 ,666 ,"1,031 ","1,378 ","1,566 ","1,819 ","2,069 ","2,314 ","2,549 ","2,869 ","3,076 ","3,331 ","3,551 ","3,778 "
A,A08,A0801,"7,633 ",Y,N,62 ,244 ,503 ,796 ,"1,070 ","1,278 ","1,513 ","1,760 ","2,014 ","2,270 ","2,496 ","2,666 ","2,893 ","3,120 ","3,363 "
A,A09,A0901,"9,668 ",Y,N,69 ,216 ,475 ,797 ,"1,118 ","1,375 ","1,704 ","2,039 ","2,334 ","2,587 ","2,906 ","3,201 ","3,501 ","3,821 ","4,168 "
A,A10,A1001,"7,869 ",Y,N,64 ,190 ,385 ,573 ,753 ,914 ,"1,098 ","1,286 ","1,521 ","1,736 ","1,956 ","2,109 ","2,281 ","2,469 ","2,645 "
A,A11,A1101,"7,701 ",Y,N,84 ,240 ,464 ,704 ,947 ,"1,146 ","1,331 ","1,527 ","1,747 ","1,944 ","2,133 ","2,325 ","2,488 ","2,664 ","2,808 "
A,A12,A1201,"7,357 ",Y,N,65 ,207 ,397 ,595 ,909 ,"1,141 ","1,389 ","1,618 ","1,753 ","1,902 ","2,104 ","2,245 ","2,389 ","2,551 ","2,694 "
A,A13,A1301,"3,288 ",N,N,34 ,115 ,211 ,319 ,453 ,666 ,803 ,833 ,861 ,945 ,"1,041 ","1,127 ","1,177 ","1,250 ","1,331 "
A,A13,A1302,"2,021 ",Y,N,32 ,96 ,170 ,236 ,307 ,381 ,448 ,518 ,563 ,618 ,683 ,744 ,797 ,861 ,896 
A,A14,A1401,"6,965 ",Y,N,73 ,234 ,464 ,723 ,946 ,"1,120 ","1,328 ","1,526 ","1,743 ","1,921 ","2,198 ","2,385 ","2,555 ","2,791 ","2,980 "
A,A15,A1501,"7,671 ",Y,N,91 ,268 ,609 ,760 ,"1,022 ","1,220 ","1,430 ","1,655 ","1,908 ","2,122 ","2,327 ","2,527 ","2,725 ","2,912 ","3,115 "
B,B01,B0101,"5,229 ",Y,N,40 ,132 ,275 ,439 ,606 ,748 ,882 ,988 ,"1,139 ","1,268 ","1,383 ","1,472 ","1,593 ","1,735 ","1,839 "
B,B02,B0201,"6,389 ",Y,N,76 ,237 ,449 ,698 ,889 ,"1,041 ","1,215 ","1,384 ","1,582 ","1,705 ","1,837 ","1,968 ","2,096 ","2,239 ","2,348 "
B,B04,B0401,"5,816 ",Y,N,50 ,135 ,266 ,431 ,616 ,737 ,864 ,"1,006 ","1,148 ","1,280 ","1,394 ","1,493 ","1,608 ","1,715 ","1,815 "
B,B05,B0501,"6,024 ",Y,N,61 ,190 ,344 ,528 ,743 ,925 ,"1,156 ","1,316 ","1,491 ","1,664 ","1,858 ","1,989 ","2,127 ","2,260 ","2,432 "
B,B06,B0601,"5,778 ",Y,N,28 ,85 ,183 ,277 ,412 ,535 ,676 ,824 ,963 ,"1,120 ","1,281 ","1,435 ","1,571 ","1,715 ","1,919 "
B,B07,B0701,"5,201 ",Y,N,45 ,142 ,264 ,378 ,550 ,677 ,830 ,"1,009 ","1,187 ","1,291 ","1,461 ","1,578 ","1,746 ","1,928 ","2,057 "
B,B08,B0801,"5,600 ",Y,N,57 ,157 ,296 ,467 ,671 ,833 ,"1,017 ","1,155 ","1,329 ","1,472 ","1,630 ","1,767 ","1,931 ","2,066 ","2,208 "
B,B09,B0901,"2,304 ",Y,N,9 ,30 ,56 ,124 ,171 ,226 ,292 ,343 ,419 ,462 ,500 ,543 ,573 ,626 ,656 
B,B09,B0902,"2,855 ",N,N,20 ,59 ,116 ,180 ,239 ,301 ,363 ,411 ,506 ,579 ,654 ,713 ,785 ,837 ,952 
B,B10,B1001,"4,910 ",Y,N,67 ,197 ,317 ,558 ,733 ,875 ,"1,021 ","1,169 ","1,296 ","1,407 ","1,528 ","1,638 ","1,749 ","1,866 ","1,960 "
B,B11,B1101,"5,567 ",Y,N,102 ,274 ,459 ,695 ,927 ,"1,106 ","1,302 ","1,469 ","1,663 ","1,786 ","1,913 ","2,048 ","2,192 ","2,312 ","2,425 "
C,C01,C0101,"8,596 ",Y,N,98 ,256 ,503 ,818 ,"1,122 ","1,416 ","1,774 ","2,077 ","2,401 ","2,730 ","3,002 ","3,250 ","3,501 ","3,781 ","4,088 "
C,C02,C0201,"9,933 ",Y,N,78 ,294 ,460 ,707 ,"1,072 ","1,297 ","1,607 ","1,880 ","2,177 ","2,480 ","2,799 ","3,042 ","3,363 ","3,636 ","3,993 "
C,C03,C0301,"9,264 ",Y,N,60 ,261 ,483 ,713 ,972 ,"1,174 ","1,403 ","1,618 ","1,878 ","2,115 ","2,362 ","2,579 ","2,788 ","3,051 ","3,328 "
C,C05,C0501,"6,428 ",Y,N,71 ,218 ,401 ,577 ,780 ,962 ,"1,150 ","1,317 ","1,498 ","1,647 ","1,808 ","1,940 ","2,103 ","2,276 ","2,405 "
C,C06,C0601,"5,479 ",Y,N,25 ,90 ,192 ,320 ,458 ,560 ,683 ,809 ,931 ,"1,053 ","1,181 ","1,299 ","1,424 ","1,570 ","1,706 "
C,C06,C0602,"6,646 ",N,N,73 ,201 ,404 ,597 ,757 ,890 ,"1,050 ","1,191 ","1,355 ","1,496 ","1,649 ","1,774 ","1,892 ","2,034 ","2,134 "
C,C07,C0701,"10,116 ",Y,N,63 ,228 ,543 ,901 ,"1,222 ","1,535 ","1,836 ","2,162 ","2,484 ","2,839 ","3,147 ","3,441 ","3,732 ","4,163 ","4,668 "
C,C08,C0801,"8,646 ",Y,N,158 ,430 ,803 ,"1,166 ","1,483 ","1,787 ","2,099 ","2,321 ","2,610 ","2,937 ","3,238 ","3,521 ","3,780 ","4,020 ","4,321 "
C,C09,C0901,"8,670 ",Y,N,117 ,275 ,544 ,936 ,"1,264 ","1,548 ","1,857 ","2,176 ","2,452 ","2,763 ","3,021 ","3,313 ","3,599 ","3,913 ","4,184 "
C,C11,C1101,"11,060 ",Y,N,116 ,394 ,783 ,"1,201 ","1,625 ","1,981 ","2,390 ","2,744 ","3,090 ","3,446 ","3,825 ","4,209 ","4,541 ","4,892 ","5,288 "
