District Code,Polling Station Code,"Geographical
Constituency",No. of Electors*,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
A,A0101,LC1,"3,929 ",39 ,186 ,463 ,463 ,597 ,743 ,854 ,"1,022 ","1,191 ","1,350 ","1,470 ","1,583 ","1,693 ","1,809 ","1,911 "
A,A0102,LC1,"4,589 ",35 ,114 ,233 ,392 ,570 ,737 ,889 ,"1,082 ","1,297 ","1,464 ","1,662 ","1,867 ","2,056 ","2,263 ","2,455 "
A,A0201,LC1,"9,486 ",104 ,310 ,627 ,"1,026 ","1,413 ","1,881 ","2,228 ","2,654 ","2,985 ","3,386 ","3,783 ","4,098 ","4,461 ","4,883 ","5,521 "
A,A0401,LC1,"1,296 ",16 ,54 ,102 ,158 ,208 ,259 ,314 ,366 ,448 ,498 ,561 ,618 ,668 ,707 ,766 
A,A0501,LC1,"10,286 ",115 ,368 ,736 ,"1,090 ","1,666 ","2,051 ","2,375 ","2,829 ","3,262 ","3,641 ","4,052 ","4,545 ","4,979 ","5,439 ","6,094 "
A,A0601,LC1,"6,580 ",139 ,311 ,552 ,824 ,"1,124 ","1,393 ","1,712 ","1,959 ","2,280 ","2,516 ","2,813 ","3,069 ","3,351 ","3,665 ","3,985 "
A,A0701,LC1,"7,921 ",99 ,360 ,672 ,"1,050 ","1,352 ","1,660 ","1,660 ","2,268 ","2,597 ","2,909 ","3,259 ","3,575 ","3,883 ","4,199 ","4,579 "
A,A0801,LC1,"8,952 ",113 ,375 ,733 ,"1,188 ","1,575 ","1,957 ","2,305 ","2,672 ","3,044 ","3,396 ","3,805 ","4,191 ","4,582 ","4,938 ","5,347 "
A,A0901,LC1,"8,365 ",112 ,338 ,645 ,"1,001 ","1,351 ","1,734 ","2,127 ","2,479 ","2,819 ","3,110 ","3,426 ","3,771 ","4,131 ","4,518 ","4,901 "
A,A1001,LC1,"10,702 ",111 ,346 ,709 ,"1,089 ","1,513 ","1,879 ","2,258 ","2,605 ","3,013 ","3,442 ","3,870 ","4,348 ","4,756 ","5,146 ","5,685 "
A,A1101,LC1,"2,609 ",25 ,120 ,200 ,265 ,340 ,440 ,545 ,630 ,710 ,815 ,930 ,"1,020 ","1,127 ","1,235 ","1,332 "
A,A1102,LC1,"2,423 ",41 ,99 ,174 ,252 ,333 ,410 ,500 ,569 ,640 ,720 ,785 ,879 ,979 ,"1,086 ","1,200 "
A,A1201,LC1,"5,511 ",56 ,189 ,371 ,573 ,828 ,"1,059 ","1,274 ","1,525 ","1,796 ","2,012 ","2,208 ","2,432 ","2,616 ","2,800 ","2,988 "
A,A1301,LC1,"2,551 ",22 ,88 ,196 ,309 ,449 ,563 ,665 ,744 ,836 ,917 ,987 ,"1,091 ","1,156 ","1,225 ","1,313 "
A,A1302,LC1,"4,443 ",34 ,132 ,320 ,464 ,723 ,838 ,"1,023 ","1,151 ","1,334 ","1,509 ","1,704 ","1,842 ","2,050 ","2,212 ","2,358 "
A,A1401,LC1,"6,610 ",121 ,273 ,570 ,861 ,"1,203 ","1,454 ","1,731 ","1,982 ","2,200 ","2,468 ","2,711 ","2,956 ","3,215 ","3,474 ","3,734 "
A,A1501,LC1,"5,842 ",93 ,260 ,438 ,734 ,"1,000 ","1,220 ","1,470 ","1,701 ","1,907 ","2,122 ","2,399 ","2,605 ","2,842 ","3,086 ","3,356 "
B,B0101,LC1,"7,029 ",107 ,308 ,500 ,810 ,"1,104 ","1,318 ","1,628 ","1,880 ","2,149 ","2,413 ","2,622 ","2,812 ","3,064 ","3,267 ","3,477 "
B,B0201,LC1,"5,144 ",47 ,47 ,426 ,594 ,777 ,"1,014 ","1,210 ","1,396 ","1,571 ","1,773 ","1,964 ","2,145 ","2,326 ","2,497 ","2,641 "
B,B0301,LC1,"6,922 ",108 ,274 ,486 ,486 ,"1,013 ","1,314 ","1,555 ","1,849 ","2,100 ","2,369 ","2,565 ","2,803 ","3,017 ","3,247 ","3,427 "
B,B0401,LC1,"6,910 ",84 ,249 ,474 ,695 ,978 ,"1,212 ","1,459 ","1,710 ","1,928 ","2,164 ","2,398 ","2,599 ","2,800 ","2,966 ","3,186 "
B,B0501,LC1,"5,141 ",53 ,172 ,379 ,644 ,857 ,"1,106 ","1,310 ","1,543 ","1,727 ","1,958 ","2,126 ","2,344 ","2,543 ","2,709 ","2,972 "
B,B0601,LC1,"5,215 ",49 ,178 ,341 ,558 ,810 ,"1,020 ","1,202 ","1,489 ","1,698 ","1,973 ","2,106 ","2,367 ","2,522 ","2,763 ","3,192 "
B,B0701,LC1,"5,012 ",40 ,155 ,155 ,494 ,712 ,958 ,"1,194 ","1,469 ","1,690 ","1,875 ","2,051 ","2,204 ","2,442 ","2,699 ","2,996 "
B,B0801,LC1,"5,174 ",41 ,160 ,359 ,562 ,848 ,"1,012 ","1,231 ","1,428 ","1,656 ","1,851 ","2,051 ","2,250 ","2,420 ","2,602 ","2,878 "
B,B0901,LC1,"1,614 ",32 ,59 ,118 ,195 ,265 ,313 ,353 ,440 ,501 ,546 ,613 ,655 ,703 ,767 ,837 
B,B0902,LC1,"1,099 ",21 ,43 ,88 ,133 ,188 ,233 ,275 ,323 ,383 ,414 ,455 ,509 ,555 ,623 ,665 
B,B1001,LC1,"3,132 ",59 ,136 ,273 ,404 ,588 ,702 ,859 ,993 ,"1,124 ","1,216 ","1,328 ","1,446 ","1,539 ","1,658 ","1,757 "
B,B1101,LC1,"5,152 ",119 ,268 ,446 ,685 ,918 ,"1,138 ","1,366 ","1,540 ","1,766 ","1,966 ","2,148 ","2,317 ","2,497 ","2,684 ","2,847 "
C,C0101,LC1,"4,162 ",68 ,211 ,401 ,580 ,802 ,984 ,"1,159 ","1,380 ","1,638 ","1,809 ","1,993 ","2,147 ","2,325 ","2,561 ","2,786 "
C,C0201,LC1,"4,577 ",61 ,208 ,385 ,593 ,826 ,"1,070 ","1,259 ","1,527 ","1,772 ","1,973 ","2,148 ","2,358 ","2,545 ","2,751 ","3,065 "
C,C0202,LC1,"9,437 ",113 ,336 ,670 ,"1,105 ","1,639 ","2,130 ","2,564 ","3,042 ","3,473 ","3,936 ","4,224 ","4,656 ","5,043 ","5,496 ","6,038 "
C,C0301,LC1,"5,947 ",64 ,236 ,519 ,813 ,"1,116 ","1,361 ","1,682 ","1,954 ","2,257 ","2,524 ","2,788 ","3,055 ","3,314 ","3,646 ","4,053 "
C,C0401,LC1,"10,884 ",195 ,504 ,927 ,"1,404 ","1,822 ","2,168 ","2,553 ","2,927 ","3,307 ","3,743 ","4,151 ","4,536 ","4,946 ","5,367 ","5,753 "
C,C0501,LC1,"5,368 ",114 ,259 ,397 ,602 ,813 ,"1,018 ","1,237 ","1,487 ","1,650 ","1,856 ","2,074 ","2,251 ","2,443 ","2,634 ","2,875 "
C,C0601,LC1,"5,443 ",61 ,153 ,302 ,481 ,654 ,837 ,"1,044 ","1,297 ","1,479 ","1,662 ","1,887 ","2,099 ","2,315 ","2,594 ","2,911 "
C,C0602,LC1,"6,542 ",124 ,279 ,531 ,776 ,"1,005 ","1,190 ","1,403 ","1,611 ","1,809 ","2,036 ","2,264 ","2,434 ","2,669 ","2,897 ","3,135 "
C,C0701,LC1,"9,957 ",94 ,329 ,835 ,835 ,835 ,"1,953 ","1,953 ","1,953 ","3,609 ","3,947 ","4,335 ","4,779 ","5,295 ","6,234 ","6,877 "
C,C0801,LC1,"8,131 ",108 ,322 ,580 ,917 ,"1,198 ","1,466 ","1,764 ","1,992 ","2,218 ","2,515 ","2,812 ","3,128 ","3,462 ","3,758 ","4,171 "
C,C0901,LC1,"8,642 ",88 ,350 ,632 ,"1,035 ","1,427 ","1,750 ","2,090 ","2,425 ","2,805 ","3,154 ","3,480 ","3,919 ","4,323 ","4,731 ","5,212 "
C,C1001,LC1,"10,068 ",122 ,360 ,689 ,"1,010 ","1,377 ","1,700 ","2,018 ","2,374 ","2,722 ","3,121 ","3,470 ","3,846 ","4,178 ","4,675 ","5,082 "
