 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
A01,"中環
Chung Wan","男
Male",43,93,89,108,136,170,195,230,238,198,200,345,2045.0,"4 ,163"
A01,,"女
Female",41,73,103,136,125,179,211,237,246,218,202,347,2118.0,
A02,"半山東
Mid Levels East","男
Male",73,172,142,184,220,266,289,368,403,390,273,440,3220.0,"6 ,614"
A02,,"女
Female",59,146,167,183,215,325,333,435,450,347,274,460,3394.0,
A03,"衛城
Castle Road","男
Male",76,174,145,166,203,281,286,448,456,397,284,446,3362.0,"6 ,897"
A03,,"女
Female",69,169,173,187,260,361,396,478,406,335,290,411,3535.0,
A04,"山頂
Peak","男
Male",55,135,130,137,131,179,205,314,348,312,309,396,2651.0,"5 ,327"
A04,,"女
Female",55,118,131,135,152,227,277,330,353,307,257,334,2676.0,
A05,"大學
University","男
Male",77,218,211,202,285,314,352,430,470,433,410,628,4030.0,"8 ,281"
A05,,"女
Female",92,207,246,245,286,374,396,505,520,437,378,565,4251.0,
A06,"堅摩
Kennedy Town & Mount Davis","男
Male",63,182,181,241,277,381,328,369,368,305,261,447,3403.0,"7 ,060"
A06,,"女
Female",74,195,205,247,314,391,375,427,366,332,269,462,3657.0,
A07,"觀龍
Kwun Lung","男
Male",80,209,273,301,301,327,338,434,426,359,323,647,4018.0,"8 ,404"
A07,,"女
Female",84,217,230,300,332,376,379,482,420,398,364,804,4386.0,
A08,"西環
Sai Wan","男
Male",85,200,247,253,305,341,323,346,389,342,296,519,3646.0,"7 ,526"
A08,,"女
Female",82,161,203,314,307,371,342,363,437,422,324,554,3880.0,
A09,"寶翠
Belcher","男
Male",123,248,274,265,343,419,467,570,565,444,411,547,4676.0,"9 ,728"
A09,,"女
Female",127,265,287,320,389,479,578,601,536,462,381,627,5052.0,
A10,"石塘咀
Shek Tong Tsui","男
Male",90,222,247,292,290,319,306,315,383,381,355,591,3791.0,"7 ,776"
A10,,"女
Female",73,188,251,281,297,335,301,403,400,423,370,663,3985.0,
A11,"西營盤
Sai Ying Pun","男
Male",53,177,235,261,269,284,240,285,359,350,370,590,3473.0,"7 ,100"
A11,,"女
Female",70,190,209,233,249,285,282,362,378,424,315,630,3627.0,
A12,"上環
Sheung Wan","男
Male",70,161,208,214,236,272,267,255,341,319,303,478,3124.0,"6 ,541"
A12,,"女
Female",64,169,215,233,279,332,300,344,389,335,281,476,3417.0,
A13,"東華
Tung Wah","男
Male",50,152,122,171,193,233,239,286,281,197,223,342,2489.0,"5 ,084"
A13,,"女
Female",37,106,147,160,224,304,238,281,311,222,201,364,2595.0,
A14,"正街
Centre Street","男
Male",53,176,207,220,215,240,268,300,405,330,279,414,3107.0,"6 ,504"
A14,,"女
Female",49,160,219,230,283,284,294,389,420,350,252,467,3397.0,
A15,"水街
Water Street","男
Male",71,214,204,251,269,289,267,346,409,339,305,454,3418.0,"7 ,081"
A15,,"女
Female",64,172,205,251,279,330,310,427,398,392,302,533,3663.0,
總計,,"總計
Total",2102,5269,5906,6721,7664,9268,9382,11360,11871,10500,9062,14981,,104086
