 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
C01,"太古城西
Tai Koo Shing West","男
Male",89,217,254,243,307,326,352,448,502,517,467,561,4283.0,"8 ,922"
C01,,"女
Female",91,230,241,267,325,392,457,509,569,542,425,591,4639.0,
C02,"太古城東
Tai Koo Shing East","男
Male",93,265,254,248,318,383,425,446,554,551,520,707,4764.0,"1 0,017"
C02,,"女
Female",89,226,253,251,417,460,495,577,611,565,524,785,5253.0,
C03,"鯉景灣
Lei King Wan","男
Male",110,247,264,265,338,369,412,474,526,458,382,662,4507.0,"9 ,436"
C03,,"女
Female",97,255,252,308,358,439,441,579,588,425,397,790,4929.0,
C04,"愛秩序灣
Aldrich Bay","男
Male",106,308,325,366,376,471,445,458,527,490,458,1008,5338.0,"1 1,0419"
C04,,"女
Female",116,272,282,334,414,530,485,562,602,568,504,1412,6081.0,
C05,"筲箕灣
Shaukeiwan","男
Male",88,194,220,237,224,243,227,359,367,327,272,401,3159.0,"6 ,459"
C05,,"女
Female",73,192,224,238,248,285,271,349,396,310,269,445,3300.0,
C06,"阿公岩
A Kung Ngam","男
Male",100,251,267,300,423,594,543,523,501,410,440,933,5285.0,"1 0,967"
C06,,"女
Female",105,227,256,267,458,621,560,474,498,503,574,1139,5682.0,
C07,"杏花邨
Heng Fa Chuen","男
Male",173,381,290,267,296,376,502,733,864,592,360,444,5278.0,"1 0,863"
C07,,"女
Female",156,363,277,311,371,460,623,910,815,525,295,479,5585.0,
C08,"翠灣
Tsui Wan","男
Male",94,218,247,308,360,348,329,473,465,378,322,597,4139.0,"8 ,512"
C08,,"女
Female",76,196,265,316,351,326,347,475,557,399,342,723,4373.0,
C09,"欣藍
Yan Lam","男
Male",147,317,239,222,300,406,555,700,591,378,269,418,4542.0,"9 ,337"
C09,,"女
Female",119,288,207,253,278,524,666,738,555,343,287,537,4795.0,
C10,"小西灣
Siu Sai Wan","男
Male",85,236,353,359,271,245,200,349,500,464,396,569,4027.0,"8 ,339"
C10,,"女
Female",80,240,359,327,223,217,256,433,576,550,379,672,4312.0,
C11,"景怡
King Yee","男
Male",164,382,286,260,299,406,533,826,676,469,400,696,5397.0,"1 1,0283"
C11,,"女
Female",165,343,269,272,365,390,686,856,663,483,441,953,5886.0,
C12,"環翠
Wan Tsui","男
Male",105,241,243,329,314,282,252,355,466,449,388,703,4127.0,"8 ,578"
C12,,"女
Female",93,236,285,272,254,270,313,389,564,541,442,792,4451.0,
C13,"翡翠
Fei Tsui","男
Male",91,255,281,273,285,312,271,417,479,436,392,853,4345.0,"9 ,083"
C13,,"女
Female",99,241,245,233,254,348,357,459,541,481,468,1012,4738.0,
C14,"柏架山
Mount Parker","男
Male",62,178,184,213,273,299,245,306,304,294,344,647,3349.0,"7 ,090"
C14,,"女
Female",57,163,188,227,279,320,318,361,344,316,407,761,3741.0,
C15,"寶馬山
Braemar Hill","男
Male",81,201,172,157,206,275,334,363,458,464,383,503,3597.0,"7 ,336"
C15,,"女
Female",84,218,175,165,237,319,395,454,456,383,348,505,3739.0,
C16,"炮台山
Fortress Hill","男
Male",70,213,229,227,310,370,350,403,427,393,416,700,4108.0,"8 ,686"
C16,,"女
Female",79,217,213,248,364,473,439,432,480,436,447,750,4578.0,
C17,"城市花園
City Garden","男
Male",75,195,235,250,264,336,347,373,368,370,445,652,3910.0,"8 ,160"
C17,,"女
Female",83,200,242,245,289,369,365,419,451,397,436,754,4250.0,
C18,"和富
Provident","男
Male",87,227,250,291,345,383,315,380,410,452,487,771,4398.0,"9 ,178"
C18,,"女
Female",76,182,282,305,370,386,390,415,492,498,525,859,4780.0,
C19,"堡壘
Fort Street","男
Male",90,143,180,219,276,305,319,314,288,280,313,534,3261.0,"6 ,779"
C19,,"女
Female",84,135,178,228,271,376,321,337,326,331,361,570,3518.0,
C20,"錦屏
Kam Ping","男
Male",90,196,251,270,358,442,380,349,380,342,413,752,4223.0,"8 ,756"
C20,,"女
Female",90,177,203,274,359,382,373,441,411,426,513,884,4533.0,
C21,"丹拿
Tanner","男
Male",70,233,224,253,314,347,361,354,410,388,382,597,3933.0,"8 ,220"
C21,,"女
Female",60,189,230,249,339,398,406,483,458,428,415,632,4287.0,
C22,"健康村
Healthy Village","男
Male",66,190,199,195,222,249,308,364,409,329,291,755,3577.0,"7 ,636"
C22,,"女
Female",80,205,219,183,226,327,325,439,417,330,343,965,4059.0,
C23,"鰂魚涌
Quarry Bay","男
Male",55,142,187,204,254,299,260,285,308,258,320,519,3091.0,"6 ,456"
C23,,"女
Female",67,160,196,210,272,283,262,333,341,381,311,549,3365.0,
C24,"南豐
Nam Fung","男
Male",76,230,202,246,303,367,311,396,452,381,392,604,3960.0,"8 ,393"
C24,,"女
Female",81,195,204,301,368,392,392,489,504,422,421,664,4433.0,
C25,"康怡
Kornhill","男
Male",118,247,222,248,266,358,367,482,519,459,351,438,4075.0,"8 ,397"
C25,,"女
Female",86,215,210,228,308,417,469,565,577,474,322,451,4322.0,
C26,"康山
Kornhill Garden","男
Male",79,207,217,203,266,280,305,410,529,386,295,474,3651.0,"7 ,794"
C26,,"女
Female",66,216,216,229,309,337,358,482,581,396,328,625,4143.0,
C27,"興東
Hing Tung","男
Male",144,410,363,343,364,408,447,681,726,578,600,891,5955.0,"1 2,0524"
C27,,"女
Female",147,366,359,333,356,429,630,785,798,724,591,1051,6569.0,
C28,"西灣河
Sai Wan Ho","男
Male",93,223,235,281,337,349,344,435,473,419,378,575,4142.0,"8 ,665"
C28,,"女
Female",100,215,272,304,363,393,402,514,509,470,369,612,4523.0,
C29,"下耀東
Lower Yiu Tung","男
Male",120,326,344,298,298,295,263,377,521,404,371,586,4203.0,"8 ,635"
C29,,"女
Female",88,365,310,253,272,304,332,548,492,448,400,620,4432.0,
C30,"上耀東
Upper Yiu Tung","男
Male",102,333,330,313,201,204,196,354,509,431,395,588,3956.0,"8 ,207"
C30,,"女
Female",85,302,336,289,166,197,286,486,581,465,391,667,4251.0,
C31,"興民
Hing Man","男
Male",110,305,334,322,255,216,237,344,484,415,405,659,4086.0,"8 ,594"
C31,,"女
Female",124,311,335,283,218,225,322,478,522,487,394,809,4508.0,
C32,"樂康
Lok Hong","男
Male",107,249,261,261,288,242,260,377,580,461,330,490,3906.0,"8 ,018"
C32,,"女
Female",84,242,230,217,253,262,308,516,654,427,338,581,4112.0,
C33,"翠德
Tsui Tak","男
Male",92,259,219,238,304,258,250,410,491,347,276,351,3495.0,"7 ,194"
C33,,"女
Female",105,236,216,272,298,299,332,496,475,359,246,365,3699.0,
C34,"漁灣
Yue Wan","男
Male",117,259,242,212,254,316,330,445,480,380,348,751,4134.0,"8 ,570"
C34,,"女
Female",119,271,258,204,244,308,370,515,476,395,426,850,4436.0,
C35,"佳曉
Kai Hiu","男
Male",94,253,336,322,288,266,302,443,547,475,313,587,4226.0,"8 ,728"
C35,,"女
Female",102,272,316,303,226,276,321,511,666,472,365,672,4502.0,
"總計
Total",6749,17092,17742,18442,21060,24359,25950,33015,35637,30325,27358,47502,"每區總計
Grand Total",305231,,
