 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
C01,"太古城西
Tai Koo Shing West","男
Male",89,217,254,243,307,326,352,448,502,517,467,561,4283,"8 ,922"
C01,,"女
Female",91,230,241,267,325,392,457,509,569,542,425,591,4639,
C02,"太古城東
Tai Koo Shing East","男
Male",93,265,254,248,318,383,425,446,554,551,520,707,4764,"1 0,017"
C02,,"女
Female",89,226,253,251,417,460,495,577,611,565,524,785,5253,
C03,"鯉景灣
Lei King Wan","男
Male",110,247,264,265,338,369,412,474,526,458,382,662,4507,"9 ,436"
C03,,"女
Female",97,255,252,308,358,439,441,579,588,425,397,790,4929,
C04,"愛秩序灣
Aldrich Bay","男
Male",106,308,325,366,376,471,445,458,527,490,458,1008,5338,"1 1,0419"
C04,,"女
Female",116,272,282,334,414,530,485,562,602,568,504,1412,6081,
C05,"筲箕灣
Shaukeiwan","男
Male",88,194,220,237,224,243,227,359,367,327,272,401,3159,"6 ,459"
C05,,"女
Female",73,192,224,238,248,285,271,349,396,310,269,445,3300,
C06,"阿公岩
A Kung Ngam","男
Male",100,251,267,300,423,594,543,523,501,410,440,933,5285,"1 0,967"
C06,,"女
Female",105,227,256,267,458,621,560,474,498,503,574,1139,5682,
C07,"杏花邨
Heng Fa Chuen","男
Male",173,381,290,267,296,376,502,733,864,592,360,444,5278,"1 0,863"
C07,,"女
Female",156,363,277,311,371,460,623,910,815,525,295,479,5585,
C08,"翠灣
Tsui Wan","男
Male",94,218,247,308,360,348,329,473,465,378,322,597,4139,"8 ,512"
C08,,"女
Female",76,196,265,316,351,326,347,475,557,399,342,723,4373,
C09,"欣藍
Yan Lam","男
Male",147,317,239,222,300,406,555,700,591,378,269,418,4542,"9 ,337"
C09,,"女
Female",119,288,207,253,278,524,666,738,555,343,287,537,4795,
C10,"小西灣
Siu Sai Wan","男
Male",85,236,353,359,271,245,200,349,500,464,396,569,4027,"8 ,339"
C10,,"女
Female",80,240,359,327,223,217,256,433,576,550,379,672,4312,
