 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
E01,"尖沙咀西
Tsim Sha Tsui West","男
Male",59,119,121,123,206,245,319,334,288,229,178,195,2416,4773.0
E01,,"女
Female",68,136,144,154,198,308,322,333,205,206,148,135,2357,
E02,"佐敦南
Jordan South","男
Male",66,150,164,178,244,277,300,300,308,279,278,562,3106,6192.0
E02,,"女
Female",45,158,135,156,251,312,307,308,314,271,284,545,3086,
E03,"佐敦西
Jordan West","男
Male",59,186,199,245,278,354,277,280,290,298,301,628,3395,6792.0
E03,,"女
Female",69,156,178,214,283,318,271,265,331,320,319,673,3397,
E04,"油麻地南
Yau Ma Tei South","男
Male",97,257,240,253,315,356,369,394,425,331,299,596,3932,7804.0
E04,,"女
Female",74,199,217,270,316,365,360,440,400,314,299,618,3872,
E05,"富榮
Charming","男
Male",144,261,240,266,348,577,493,561,460,363,298,718,4729,9920.0
E05,,"女
Female",124,233,195,271,393,639,625,631,484,388,401,807,5191,
E06,"旺角西
Mong Kok West","男
Male",74,189,187,197,199,213,228,238,273,308,294,498,2898,5787.0
E06,,"女
Female",79,171,178,167,202,231,220,258,285,308,267,523,2889,
E07,"富柏
Fu Pak","男
Male",170,405,319,265,280,437,470,480,466,388,311,644,4635,9512.0
E07,,"女
Female",184,377,330,249,324,512,530,552,448,399,289,683,4877,
E08,"奧運
Olympic","男
Male",75,120,132,211,369,433,384,335,263,169,158,178,2827,5723.0
E08,,"女
Female",60,127,147,230,418,449,408,337,235,181,136,168,2896,
E09,"櫻桃
Cherry","男
Male",73,185,195,222,227,236,200,218,258,272,225,391,2702,5468.0
E09,,"女
Female",73,166,180,210,189,257,223,267,284,284,231,402,2766,
E10,"大角咀南
Tai Kok Tsui South","男
Male",87,197,262,265,256,260,184,220,298,289,259,534,3111,6408.0
E10,,"女
Female",61,208,247,254,237,259,225,290,359,305,308,544,3297,
E11,"大角咀北
Tai Kok Tsui North","男
Male",97,185,202,299,411,487,496,410,288,246,219,417,3757,7636.0
E11,,"女
Female",89,189,228,313,416,537,451,361,312,259,254,470,3879,
E12,"大南
Tai Nan","男
Male",107,241,250,263,296,289,265,338,371,344,342,605,3711,7425.0
E12,,"女
Female",94,234,274,258,270,304,279,377,365,340,315,604,3714,
E13,"旺角北
Mong Kok North","男
Male",85,198,215,219,223,250,238,265,311,295,277,528,3104,6286.0
E13,,"女
Female",70,174,205,205,233,271,234,278,327,328,284,573,3182,
E14,"旺角東
Mong Kok East","男
Male",69,155,165,210,204,241,226,251,265,266,256,557,2865,6062.0
E14,,"女
Female",78,159,173,175,233,277,286,290,311,288,279,648,3197,
E15,"旺角南
Mong Kok South","男
Male",49,149,165,201,225,218,209,223,258,240,252,535,2724,5482.0
E15,,"女
Female",47,140,166,164,181,253,201,247,287,267,246,559,2758,
E16,"油麻地北
Yau Ma Tei North","男
Male",45,161,143,187,210,219,221,215,263,238,227,426,2555,5260.0
E16,,"女
Female",68,134,151,168,190,235,225,283,266,268,239,478,2705,
E17,"尖東及京士柏
East Tsim Sha Tsui & King's Park","男
Male",52,113,92,104,136,167,211,272,204,172,127,185,1835,3622.0
E17,,"女
Female",54,121,90,111,147,197,207,243,201,144,113,159,1787,
E18,"尖沙咀中
Tsim Sha Tsui Central","男
Male",42,90,108,179,234,307,249,250,261,214,267,616,2817,5508.0
E18,,"女
Female",38,95,97,159,243,241,262,235,233,263,283,542,2691,
E19,"佐敦北
Jordan North","男
Male",41,78,90,127,213,227,216,206,187,151,173,310,2019,3855.0
E19,,"女
Female",39,89,93,112,204,224,175,165,127,144,168,296,1836,
,,"總計
Total",2905,6705,6917,7854,9802,11982,11366,11950,11511,10369,9604,18550,119515,
