 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
F01,"寶麗
Po Lai","男
Male",116,246,262,266,267,266,304,374,473,357,254,500,3685,"7 ,463"
F01,,"女
Female",76,261,261,281,233,279,339,475,420,340,238,575,3778,
F02,"長沙灣
Cheung Sha Wan","男
Male",109,220,243,304,245,238,272,343,370,348,242,406,3340,"6 ,830"
F02,,"女
Female",103,214,231,277,264,282,313,404,439,332,234,397,3490,
F03,"南昌北
Nam Cheong North","男
Male",96,226,236,249,218,195,206,261,275,272,248,428,2910,"5 ,736"
F03,,"女
Female",83,198,249,222,222,200,184,295,322,269,219,363,2826,
F04,"石硤尾
Shek Kip Mei","男
Male",178,330,331,277,281,286,320,483,558,587,476,919,5026,"1 0,669"
F04,,"女
Female",159,388,341,254,295,362,435,548,632,642,520,1067,5643,
F05,"南昌東
Nam Cheong East","男
Male",102,212,261,238,253,221,219,322,314,322,285,495,3244,"6 ,345"
F05,,"女
Female",74,216,218,242,231,225,233,324,336,333,258,411,3101,
F06,"南昌南
Nam Cheong South","男
Male",79,216,253,265,230,266,245,261,336,309,293,493,3246,"6 ,320"
F06,,"女
Female",87,201,217,237,206,212,229,294,343,321,275,452,3074,
F07,"南昌中
Nam Cheong Central","男
Male",72,155,171,152,190,197,182,225,271,254,189,399,2457,"4 ,767"
F07,,"女
Female",54,155,189,145,151,207,182,209,244,211,182,381,2310,
F08,"南昌西
Nam Cheong West","男
Male",82,238,299,319,281,254,284,344,461,363,283,600,3808,"7 ,603"
F08,,"女
Female",105,220,315,292,256,237,267,350,495,381,296,581,3795,
F09,"富昌
Fu Cheong","男
Male",240,664,535,433,221,188,234,384,615,582,475,1069,5640,"1 1,0428"
F09,,"女
Female",222,578,517,332,245,274,473,661,652,663,395,776,5788,
F10,"麗閣
Lai Kok","男
Male",93,254,243,212,209,289,307,434,480,422,346,962,4251,"9 ,078"
F10,,"女
Female",105,239,194,189,261,282,350,500,538,443,431,1295,4827,
F11,"幸福
Fortune","男
Male",99,266,179,222,291,322,341,382,420,308,318,608,3756,"7 ,753"
F11,,"女
Female",97,218,206,225,328,389,408,407,368,348,302,701,3997,
F12,"荔枝角南
Lai Chi Kok South","男
Male",259,474,411,353,287,273,272,410,540,546,323,419,4567,"9 ,335"
F12,,"女
Female",244,414,433,320,314,420,415,503,589,477,253,386,4768,
F13,"美孚南
Mei Foo South","男
Male",95,197,201,280,341,420,357,371,401,342,388,712,4105,"8 ,687"
F13,,"女
Female",85,205,215,292,402,432,445,414,448,432,426,786,4582,
F14,"美孚中
Mei Foo Central","男
Male",71,155,212,245,292,356,307,263,328,333,309,659,3530,"7 ,434"
F14,,"女
Female",77,170,180,212,362,412,320,341,366,381,373,710,3904,
F15,"美孚北
Mei Foo North","男
Male",71,198,166,237,334,433,387,339,339,332,350,627,3813,"8 ,139"
F15,,"女
Female",95,177,178,278,386,503,419,391,423,408,416,652,4326,
F16,"荔枝角中
Lai Chi Kok Central","男
Male",103,181,158,238,496,720,634,463,310,187,172,190,3852,"7 ,735"
F16,,"女
Female",90,143,173,283,560,832,576,446,277,186,152,165,3883,
F17,"荔枝角北
Lai Chi Kok North","男
Male",55,143,189,185,202,197,212,224,273,221,161,270,2332,"4 ,675"
F17,,"女
Female",71,152,156,201,189,213,245,266,271,216,135,228,2343,
F18,"元州及蘇屋
Un Chau & So Uk","男
Male",179,374,350,332,318,371,483,502,687,509,487,1460,6052,"1 2,0571"
F18,,"女
Female",127,353,296,317,327,389,491,610,658,587,512,1852,6519,
F19,"李鄭屋
Lei Cheng Uk","男
Male",70,218,273,340,276,264,326,433,546,463,301,825,4335,"9 ,140"
F19,,"女
Female",78,190,282,301,282,302,377,465,611,457,335,1125,4805,
F20,"下白田
Ha Pak Tin","男
Male",136,300,311,249,202,174,186,351,448,432,318,773,3880,"7 ,896"
F20,,"女
Female",124,321,254,216,176,205,288,410,468,432,280,842,4016,
F21,"又一村
Yau Yat Tsuen","男
Male",109,199,149,148,207,274,291,375,421,330,221,251,2975,"5 ,987"
F21,,"女
Female",100,233,193,159,218,283,330,419,402,251,162,262,3012,
F22,"南山、大坑東及大坑西
Nam Shan, Tai Hang Tung &
Tai Hang Sai","男
Male",95,238,219,229,215,265,274,475,478,408,363,965,4224,"8 ,996"
F22,,"女
Female",90,223,225,236,227,288,302,449,500,493,423,1316,4772,
F23,"龍坪及上白田
Lung Ping & Sheung Pak Tin","男
Male",130,283,287,277,263,244,233,285,468,492,418,641,4021,"8 ,432"
F23,,"女
Female",123,268,251,227,221,288,360,441,553,529,411,739,4411,
,,"總計
Total",5108,11724,11713,11788,12475,14229,14857,17926,20167,17851,14448,30733,183019,
