 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
G01,"馬頭圍
Ma Tau Wai","男
Male",145.0,318.0,272.0,272.0,297.0,354.0,323.0,466.0,523.0,439.0,401.0,882.0,4692,"1 0,114"
G01,,"女
Female",121.0,277.0,267.0,287.0,319.0,398.0,436.0,582.0,592.0,545.0,466.0,1132.0,5422,
G02,"馬坑涌
Ma Hang Chung","男
Male",111.0,267.0,301.0,282.0,347.0,404.0,335.0,433.0,398.0,327.0,265.0,432.0,3902,"7 ,851"
G02,,"女
Female",111.0,278.0,239.0,250.0,350.0,397.0,375.0,463.0,404.0,310.0,294.0,478.0,3949,
G03,"馬頭角
Ma Tau Kok","男
Male",81.0,207.0,179.0,169.0,227.0,249.0,264.0,289.0,358.0,258.0,276.0,556.0,3113,"6 ,401"
G03,,"女
Female",68.0,165.0,189.0,217.0,227.0,273.0,259.0,325.0,324.0,302.0,287.0,652.0,3288,
G04,"樂民
Lok Man","男
Male",83.0,223.0,200.0,221.0,219.0,293.0,339.0,376.0,351.0,323.0,331.0,910.0,3869,"8 ,084"
G04,,"女
Female",72.0,184.0,221.0,214.0,205.0,287.0,329.0,402.0,360.0,373.0,379.0,1189.0,4215,
G05,"常樂
Sheung Lok","男
Male",123.0,284.0,286.0,223.0,223.0,367.0,441.0,481.0,482.0,369.0,298.0,1024.0,4601,"1 0,112"
G05,,"女
Female",132.0,299.0,306.0,243.0,254.0,398.0,508.0,568.0,512.0,453.0,440.0,1398.0,5511,
G06,"何文田
Ho Man Tin","男
Male",112.0,254.0,231.0,230.0,255.0,410.0,441.0,482.0,523.0,408.0,399.0,840.0,4585,"9 ,359"
G06,,"女
Female",109.0,255.0,211.0,220.0,286.0,466.0,499.0,531.0,483.0,424.0,415.0,875.0,4774,
G07,"嘉道理
Kadoorie","男
Male",93.0,187.0,178.0,206.0,299.0,366.0,407.0,405.0,390.0,336.0,372.0,691.0,3930,"8 ,223"
G07,,"女
Female",82.0,190.0,174.0,210.0,344.0,411.0,447.0,421.0,437.0,406.0,397.0,774.0,4293,
G08,"太子
Prince","男
Male",96.0,202.0,182.0,179.0,198.0,283.0,302.0,342.0,379.0,328.0,265.0,507.0,3263,"6 ,558"
G08,,"女
Female",91.0,178.0,133.0,178.0,251.0,323.0,319.0,392.0,364.0,325.0,246.0,495.0,3295,
G09,"九龍塘
Kowloon Tong","男
Male",89.0,218.0,161.0,160.0,245.0,348.0,378.0,422.0,400.0,321.0,280.0,618.0,3640,"7 ,437"
G09,,"女
Female",82.0,222.0,192.0,180.0,294.0,417.0,435.0,419.0,395.0,310.0,283.0,568.0,3797,
G10,"龍城
Lung Shing","男
Male",83.0,124.0,172.0,169.0,240.0,269.0,284.0,294.0,310.0,267.0,230.0,441.0,2883,"5 ,803"
G10,,"女
Female",56.0,151.0,140.0,195.0,248.0,278.0,263.0,274.0,325.0,256.0,241.0,493.0,2920,
G11,"宋皇臺
Sung Wong Toi","男
Male",106.0,184.0,215.0,268.0,379.0,423.0,394.0,393.0,350.0,261.0,284.0,457.0,3714,"7 ,389"
G11,,"女
Female",104.0,182.0,199.0,247.0,396.0,458.0,367.0,367.0,315.0,292.0,248.0,500.0,3675,
G12,"啟德北
Kai Tak North","男
Male",138.0,252.0,233.0,179.0,206.0,308.0,316.0,372.0,482.0,348.0,314.0,414.0,3562,"7 ,343"
G12,,"女
Female",99.0,249.0,248.0,222.0,276.0,412.0,425.0,403.0,380.0,309.0,292.0,466.0,3781,
G13,"啟德南
Kai Tak South","男
Male",109.0,239.0,233.0,175.0,180.0,281.0,226.0,315.0,366.0,286.0,309.0,393.0,3112,"6 ,393"
G13,,"女
Female",91.0,243.0,206.0,184.0,235.0,307.0,284.0,339.0,317.0,317.0,314.0,444.0,3281,
G14,"海心
Hoi Sham","男
Male",92.0,172.0,221.0,282.0,306.0,348.0,304.0,270.0,284.0,297.0,398.0,725.0,3699,"7 ,619"
G14,,"女
Female",100.0,201.0,209.0,259.0,327.0,335.0,270.0,298.0,340.0,404.0,427.0,750.0,3920,
G15,"土瓜灣北
To Kwa Wan North","男
Male",67.0,145.0,164.0,196.0,212.0,249.0,216.0,205.0,209.0,206.0,243.0,476.0,2588,"5 ,223"
G15,,"女
Female",67.0,142.0,138.0,155.0,189.0,250.0,208.0,227.0,215.0,245.0,278.0,521.0,2635,
G16,"土瓜灣南
To Kwa Wan South","男
Male",63.0,162.0,176.0,194.0,196.0,260.0,275.0,257.0,264.0,250.0,225.0,381.0,2703,"5 ,531"
G16,,"女
Female",61.0,138.0,174.0,198.0,232.0,239.0,262.0,307.0,321.0,274.0,206.0,416.0,2828,
G17,"鶴園海逸
Hok Yuen Laguna Verde","男
Male",118.0,247.0,243.0,229.0,259.0,351.0,338.0,424.0,430.0,313.0,266.0,410.0,3628,"7 ,314"
G17,,"女
Female",114.0,233.0,240.0,207.0,272.0,362.0,408.0,503.0,386.0,317.0,242.0,402.0,3686,
G18,"黃埔東
Whampoa East","男
Male",144.0,355.0,292.0,238.0,292.0,378.0,411.0,527.0,577.0,478.0,374.0,450.0,4516,"9 ,406"
G18,,"女
Female",133.0,325.0,305.0,314.0,349.0,481.0,455.0,607.0,636.0,455.0,357.0,473.0,4890,
G19,"黃埔西
Whampoa West","男
Male",139.0,234.0,285.0,341.0,442.0,480.0,386.0,455.0,479.0,346.0,319.0,423.0,4329,"8 ,965"
G19,,"女
Female",116.0,252.0,253.0,349.0,491.0,559.0,441.0,494.0,505.0,399.0,324.0,453.0,4636,
G20,"紅磡灣
Hung Hom Bay","男
Male",115.0,201.0,212.0,270.0,330.0,365.0,351.0,392.0,357.0,344.0,323.0,613.0,3873,"8 ,183"
G20,,"女
Female",106.0,223.0,235.0,286.0,356.0,389.0,436.0,395.0,396.0,387.0,391.0,710.0,4310,
G21,"紅磡
Hung Hom","男
Male",46.0,125.0,161.0,181.0,193.0,187.0,235.0,194.0,241.0,203.0,193.0,388.0,2347,"4 ,862"
G21,,"女
Female",49.0,129.0,130.0,181.0,194.0,212.0,190.0,240.0,241.0,246.0,220.0,483.0,2515,
