 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
H01,"龍趣
Lung Tsui","男
Male",147,311,264,188,188,285,380,514,497,315,229,546,3864.0,"7 ,888"
H01,,"女
Female",134,299,241,170,200,295,339,494,427,312,264,849,4024.0,
H02,"龍下
Lung Ha","男
Male",80,222,265,250,238,229,296,460,550,401,289,663,3943.0,"8 ,452"
H02,,"女
Female",92,243,263,235,232,250,312,518,559,434,307,1064,4509.0,
H03,"龍上
Lung Sheung","男
Male",202,428,414,324,257,291,367,613,660,516,447,1101,5620.0,"1 1,0811"
H03,,"女
Female",174,426,344,285,254,343,430,671,672,576,451,1565,6191.0,
H04,"鳳凰
Fung Wong","男
Male",99,248,219,217,216,231,234,389,359,245,178,313,2948.0,"6 ,103"
H04,,"女
Female",102,225,203,253,266,254,324,380,353,236,182,377,3155.0,
H05,"鳳德
Fung Tak","男
Male",134,311,310,260,301,370,443,753,643,463,362,961,5311.0,"1 1,0188"
H05,,"女
Female",125,329,261,241,293,393,497,722,700,473,374,1469,5877.0,
H06,"龍星
Lung Sing","男
Male",154,402,423,338,361,440,496,742,941,535,319,480,5631.0,"1 1,0738"
H06,,"女
Female",155,363,394,376,386,537,659,947,932,434,294,630,6107.0,
H07,"新蒲崗
San Po Kong","男
Male",153,305,309,333,404,548,521,556,522,443,362,682,5138.0,"1 0,529"
H07,,"女
Female",142,315,282,346,396,610,572,574,464,448,408,834,5391.0,
H08,"東頭
Tung Tau","男
Male",123,307,315,324,307,383,379,490,533,433,376,915,4885.0,"1 0,143"
H08,,"女
Female",127,282,302,333,309,378,419,522,568,474,445,1099,5258.0,
H09,"東美
Tung Mei","男
Male",152,312,308,276,322,374,391,537,506,401,326,846,4751.0,"9 ,980"
H09,,"女
Female",116,280,275,253,325,400,477,587,545,425,394,1152,5229.0,
H10,"樂富
Lok Fu","男
Male",116,275,252,225,221,302,354,545,551,394,280,725,4240.0,"8 ,809"
H10,,"女
Female",117,274,197,202,218,318,372,534,526,402,299,1110,4569.0,
H11,"橫頭磡
Wang Tau Hom","男
Male",140,368,384,349,298,309,368,569,630,466,394,891,5166.0,"1 0,925"
H11,,"女
Female",134,367,365,300,251,341,397,570,674,564,445,1351,5759.0,
H12,"天強
Tin Keung","男
Male",134,318,336,304,314,296,325,515,749,499,364,556,4710.0,"9 ,720"
H12,,"女
Female",108,277,268,297,295,322,383,681,786,510,338,745,5010.0,
H13,"翠竹及鵬程
Tsui Chuk & Pang Ching","男
Male",124,343,422,405,444,467,406,589,748,574,402,910,5834.0,1957-02-01 00:00:00
H13,,"女
Female",115,381,405,409,405,425,432,695,770,544,508,1134,6223.0,
H14,"竹園南
Chuk Yuen South","男
Male",123,276,267,301,240,192,234,309,407,432,415,863,4059.0,"8 ,679"
H14,,"女
Female",120,249,258,233,236,241,265,411,562,567,414,1064,4620.0,
H15,"竹園北
Chuk Yuen North","男
Male",100,245,277,360,405,420,506,523,579,464,346,961,5186.0,"1 0,993"
H15,,"女
Female",120,210,304,371,391,419,466,548,692,524,461,1301,5807.0,
H16,"慈雲西
Tsz Wan West","男
Male",205,592,543,343,232,268,328,477,695,542,478,894,5597.0,"1 1,0652"
H16,,"女
Female",201,605,497,321,245,293,477,710,715,568,420,1003,6055.0,
H17,"正愛
Ching Oi","男
Male",235,538,337,279,344,473,596,800,726,413,347,614,5702.0,"1 1,0785"
H17,,"女
Female",223,474,346,293,355,627,781,843,615,422,394,710,6083.0,
H18,"正安
Ching On","男
Male",246,690,537,324,228,217,352,507,727,522,408,962,5720.0,"1 1,0430"
H18,,"女
Female",198,627,495,264,208,291,485,739,597,501,362,943,5710.0,
H19,"慈雲東
Tsz Wan East","男
Male",273,530,496,399,279,251,318,507,611,509,406,660,5239.0,"1 0,880"
H19,,"女
Female",223,536,478,344,296,353,450,664,686,509,355,747,5641.0,
H20,"瓊富
King Fu","男
Male",157,328,333,371,400,479,489,666,682,586,479,1009,5979.0,"1 2,0444"
H20,,"女
Female",158,357,275,359,400,529,562,741,679,630,547,1228,6465.0,
H21,"彩雲東
Choi Wan East","男
Male",141,310,268,205,194,281,362,467,436,272,204,362,3502.0,"7 ,185"
H21,,"女
Female",132,331,276,177,227,366,434,471,375,300,236,358,3683.0,
H22,"彩雲南
Choi Wan South","男
Male",113,291,286,225,245,285,218,279,356,294,329,682,3603.0,"7 ,556"
H22,,"女
Female",96,281,265,179,243,251,234,368,395,443,388,810,3953.0,
H23,"彩雲西
Choi Wan West","男
Male",113,348,334,265,300,275,245,372,454,367,319,764,4156.0,"8 ,708"
H23,,"女
Female",92,368,305,214,281,295,322,440,506,470,431,828,4552.0,
H24,"池彩
Chi Choi","男
Male",121,278,248,338,383,385,316,471,497,333,263,563,4196.0,"8 ,780"
H24,,"女
Female",100,260,248,343,424,401,358,511,501,362,293,783,4584.0,
H25,"彩虹
Choi Hung","男
Male",145,321,362,242,193,184,223,369,489,383,342,968,4221.0,"9 ,271"
H25,,"女
Female",115,329,327,203,210,249,346,473,559,451,430,1358,5050.0,
,,"總計
Total",7149,17585,16383,14446,14660,17416,19940,27833,29406,22381,18104,43403,,
