 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
J01,"觀塘中心
Kwun Tong Central","男
Male",89.0,230.0,270.0,289.0,265.0,285.0,275.0,342.0,372.0,331.0,293.0,557.0,3598,"7 ,313"
J01,,"女
Female",71.0,239.0,282.0,255.0,270.0,254.0,293.0,370.0,406.0,366.0,306.0,603.0,3715,
J02,"九龍灣
Kowloon Bay","男
Male",100.0,207.0,175.0,220.0,340.0,448.0,375.0,396.0,380.0,277.0,216.0,306.0,3440,"6 ,959"
J02,,"女
Female",108.0,223.0,191.0,226.0,378.0,433.0,378.0,459.0,349.0,275.0,208.0,291.0,3519,
J03,"啟業
Kai Yip","男
Male",82.0,201.0,228.0,277.0,313.0,257.0,193.0,297.0,367.0,365.0,402.0,949.0,3931,"8 ,342"
J03,,"女
Female",92.0,201.0,201.0,234.0,271.0,265.0,248.0,374.0,466.0,505.0,495.0,1059.0,4411,
J04,"麗晶
Lai Ching","男
Male",90.0,264.0,398.0,433.0,312.0,296.0,297.0,403.0,679.0,687.0,440.0,592.0,4891,"1 0,197"
J04,,"女
Female",96.0,231.0,371.0,426.0,326.0,320.0,342.0,543.0,892.0,647.0,389.0,723.0,5306,
J05,"坪石
Ping Shek","男
Male",100.0,280.0,218.0,220.0,194.0,191.0,267.0,311.0,323.0,303.0,269.0,946.0,3622,"7 ,755"
J05,,"女
Female",81.0,273.0,206.0,176.0,176.0,214.0,255.0,358.0,391.0,342.0,369.0,1292.0,4133,
J06,"雙彩
Sheung Choi","男
Male",190.0,358.0,294.0,165.0,209.0,304.0,348.0,421.0,447.0,375.0,418.0,783.0,4312,"9 ,003"
J06,,"女
Female",184.0,340.0,256.0,219.0,289.0,444.0,474.0,499.0,420.0,356.0,468.0,742.0,4691,
J07,"佐敦谷
Jordan Valley","男
Male",211.0,375.0,311.0,243.0,277.0,358.0,458.0,538.0,536.0,382.0,347.0,770.0,4806,"9 ,738"
J07,,"女
Female",192.0,333.0,295.0,208.0,323.0,475.0,538.0,512.0,488.0,352.0,364.0,852.0,4932,
J08,"順天
Shun Tin","男
Male",147.0,372.0,347.0,367.0,411.0,387.0,344.0,436.0,510.0,520.0,553.0,1232.0,5626,"1 1,0581"
J08,,"女
Female",157.0,347.0,308.0,301.0,331.0,315.0,332.0,469.0,580.0,745.0,725.0,1345.0,5955,
J09,"雙順
Sheung Shun","男
Male",165.0,343.0,251.0,217.0,446.0,631.0,724.0,637.0,377.0,284.0,255.0,693.0,5023,"1 0,124"
J09,,"女
Female",181.0,310.0,222.0,236.0,444.0,659.0,591.0,512.0,335.0,374.0,400.0,837.0,5101,
J10,"安利
On Lee","男
Male",80.0,233.0,214.0,228.0,283.0,232.0,202.0,242.0,301.0,345.0,372.0,948.0,3680,"7 ,667"
J10,,"女
Female",71.0,189.0,166.0,174.0,213.0,190.0,226.0,315.0,388.0,503.0,558.0,994.0,3987,
J11,"寶達
Po Tat","男
Male",465.0,976.0,752.0,619.0,499.0,542.0,626.0,711.0,990.0,864.0,770.0,1421.0,9235,"1 8,0277"
J11,,"女
Female",397.0,883.0,683.0,518.0,476.0,634.0,831.0,948.0,952.0,960.0,723.0,1037.0,9042,
J12,"秀茂坪北
Sau Mau Ping North","男
Male",230.0,522.0,482.0,426.0,308.0,367.0,454.0,460.0,505.0,475.0,435.0,1209.0,5873,"1 1,0811"
J12,,"女
Female",215.0,457.0,404.0,312.0,288.0,359.0,454.0,518.0,591.0,553.0,527.0,1260.0,5938,
J13,"曉麗
Hiu Lai","男
Male",174.0,433.0,319.0,410.0,399.0,419.0,537.0,801.0,663.0,522.0,405.0,690.0,5772,"1 1,0780"
J13,,"女
Female",186.0,395.0,324.0,348.0,374.0,453.0,700.0,801.0,702.0,520.0,434.0,771.0,6008,
J14,"秀茂坪南
Sau Mau Ping South","男
Male",200.0,383.0,285.0,217.0,193.0,289.0,287.0,337.0,393.0,314.0,278.0,580.0,3756,"7 ,699"
J14,,"女
Female",148.0,308.0,263.0,188.0,264.0,421.0,409.0,442.0,388.0,320.0,310.0,482.0,3943,
J15,"秀茂坪中
Sau Mau Ping Central","男
Male",187.0,429.0,438.0,345.0,213.0,226.0,279.0,373.0,467.0,383.0,326.0,844.0,4510,"9 ,323"
J15,,"女
Female",174.0,455.0,410.0,268.0,193.0,303.0,405.0,529.0,475.0,452.0,359.0,790.0,4813,
J16,"興田
Hing Tin","男
Male",105.0,289.0,369.0,451.0,393.0,449.0,411.0,501.0,581.0,467.0,383.0,929.0,5328,"1 0,879"
J16,,"女
Female",98.0,303.0,338.0,369.0,402.0,387.0,430.0,544.0,644.0,512.0,509.0,1015.0,5551,
J17,"藍田
Lam Tin","男
Male",235.0,420.0,329.0,290.0,336.0,511.0,553.0,568.0,600.0,440.0,312.0,872.0,5466,"1 1,0153"
J17,,"女
Female",170.0,405.0,322.0,286.0,385.0,645.0,566.0,596.0,504.0,401.0,377.0,1030.0,5687,
J18,"廣德
Kwong Tak","男
Male",109.0,365.0,356.0,378.0,437.0,590.0,550.0,576.0,507.0,422.0,425.0,1277.0,5992,"1 2,0466"
J18,,"女
Female",146.0,357.0,319.0,305.0,412.0,528.0,510.0,599.0,571.0,563.0,665.0,1499.0,6474,
J19,"平田
Ping Tin","男
Male",190.0,480.0,454.0,285.0,260.0,371.0,394.0,484.0,557.0,426.0,369.0,979.0,5249,"1 0,757"
J19,,"女
Female",186.0,477.0,406.0,266.0,287.0,380.0,419.0,558.0,544.0,474.0,390.0,1121.0,5508,
J20,"栢雅
Pak Nga","男
Male",138.0,279.0,256.0,254.0,274.0,286.0,361.0,581.0,517.0,403.0,345.0,571.0,4265,"8 ,943"
J20,,"女
Female",122.0,276.0,214.0,248.0,308.0,335.0,471.0,650.0,551.0,427.0,353.0,723.0,4678,
J21,"油塘東
Yau Tong East","男
Male",224.0,457.0,439.0,324.0,324.0,462.0,504.0,631.0,646.0,465.0,418.0,944.0,5838,"1 1,0912"
J21,,"女
Female",253.0,453.0,381.0,272.0,358.0,538.0,653.0,670.0,611.0,519.0,449.0,917.0,6074,
J22,"油麗
Yau Lai","男
Male",218.0,419.0,367.0,276.0,205.0,332.0,320.0,379.0,496.0,350.0,401.0,618.0,4381,"8 ,926"
J22,,"女
Female",226.0,372.0,351.0,249.0,307.0,422.0,400.0,466.0,445.0,387.0,358.0,562.0,4545,
J23,"翠翔
Chui Cheung","男
Male",214.0,350.0,288.0,336.0,658.0,896.0,653.0,555.0,354.0,280.0,259.0,503.0,5346,"1 0,698"
J23,,"女
Female",172.0,364.0,345.0,381.0,662.0,822.0,584.0,470.0,367.0,332.0,309.0,544.0,5352,
J24,"油塘西
Yau Tong West","男
Male",178.0,401.0,422.0,316.0,231.0,282.0,310.0,443.0,510.0,428.0,431.0,936.0,4888,"9 ,842"
J24,,"女
Female",176.0,347.0,340.0,219.0,226.0,382.0,423.0,503.0,500.0,408.0,447.0,983.0,4954,
J25,"麗港城
Laguna City","男
Male",235.0,501.0,335.0,294.0,344.0,421.0,647.0,970.0,919.0,555.0,315.0,350.0,5886,1980-02-01 00:00:00
J25,,"女
Female",259.0,451.0,333.0,326.0,411.0,601.0,814.0,1063.0,829.0,447.0,286.0,374.0,6194,
J26,"景田
King Tin","男
Male",198.0,400.0,324.0,330.0,449.0,505.0,530.0,716.0,662.0,450.0,332.0,438.0,5334,2024-01-01 00:00:00
J26,,"女
Female",182.0,361.0,345.0,350.0,533.0,553.0,634.0,829.0,610.0,467.0,301.0,525.0,5690,
J27,"翠屏
Tsui Ping","男
Male",170.0,417.0,415.0,339.0,346.0,342.0,422.0,587.0,621.0,468.0,431.0,1156.0,5714,"1 1,0951"
J27,,"女
Female",147.0,384.0,372.0,296.0,321.0,374.0,480.0,661.0,681.0,562.0,473.0,1486.0,6237,
J28,"寶樂
Po Lok","男
Male",106.0,286.0,303.0,282.0,289.0,284.0,327.0,527.0,494.0,369.0,330.0,790.0,4387,"9 ,147"
J28,,"女
Female",143.0,269.0,279.0,282.0,273.0,279.0,378.0,544.0,506.0,470.0,373.0,964.0,4760,
J29,"月華
Yuet Wah","男
Male",92.0,215.0,216.0,260.0,296.0,311.0,267.0,300.0,292.0,281.0,293.0,718.0,3541,"7 ,360"
J29,,"女
Female",77.0,181.0,219.0,234.0,310.0,334.0,320.0,329.0,336.0,338.0,356.0,785.0,3819,
J30,"協康
Hip Hong","男
Male",94.0,213.0,246.0,265.0,259.0,218.0,245.0,268.0,331.0,352.0,322.0,745.0,3558,"7 ,152"
J30,,"女
Female",74.0,194.0,222.0,220.0,204.0,231.0,220.0,350.0,373.0,361.0,281.0,864.0,3594,
J31,"康樂
Hong Lok","男
Male",112.0,226.0,251.0,245.0,277.0,326.0,308.0,352.0,406.0,333.0,263.0,608.0,3707,"7 ,590"
J31,,"女
Female",78.0,219.0,250.0,278.0,276.0,317.0,342.0,402.0,433.0,356.0,289.0,643.0,3883,
J32,"定安
Ting On","男
Male",103.0,254.0,310.0,280.0,254.0,267.0,243.0,370.0,449.0,376.0,411.0,950.0,4267,"8 ,893"
J32,,"女
Female",88.0,257.0,282.0,242.0,217.0,259.0,287.0,424.0,510.0,483.0,433.0,1144.0,4626,
J33,"牛頭角上邨
Upper Ngau Tau Kok Estate","男
Male",119.0,304.0,291.0,177.0,175.0,237.0,326.0,431.0,486.0,418.0,366.0,1093.0,4423,"9 ,044"
J33,,"女
Female",113.0,289.0,235.0,175.0,170.0,251.0,320.0,405.0,392.0,423.0,386.0,1462.0,4621,
J34,"牛頭角下邨
Lower Ngau Tau Kok Estate","男
Male",122.0,269.0,327.0,341.0,318.0,325.0,294.0,436.0,576.0,514.0,428.0,726.0,4676,"9 ,588"
J34,,"女
Female",127.0,276.0,309.0,343.0,341.0,334.0,386.0,454.0,576.0,576.0,444.0,746.0,4912,
J35,"淘大
To Tai","男
Male",93.0,258.0,274.0,356.0,360.0,282.0,326.0,366.0,445.0,344.0,254.0,487.0,3845,"7 ,919"
J35,,"女
Female",89.0,241.0,297.0,369.0,375.0,310.0,368.0,457.0,501.0,361.0,268.0,438.0,4074,
J36,"樂華北
Lok Wah North","男
Male",81.0,211.0,210.0,329.0,315.0,257.0,182.0,192.0,293.0,313.0,430.0,872.0,3685,"7 ,653"
J36,,"女
Female",82.0,194.0,217.0,280.0,248.0,214.0,189.0,246.0,381.0,537.0,537.0,843.0,3968,
J37,"樂華南
Lok Wah South","男
Male",72.0,164.0,179.0,210.0,215.0,247.0,233.0,314.0,286.0,304.0,347.0,883.0,3454,"7 ,406"
