 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
K01,"德華
Tak Wah","男
Male",113.0,248.0,251.0,301.0,341.0,396.0,379.0,416.0,371.0,298.0,284.0,495.0,3893,"7 ,689"
K01,,"女
Female",99.0,282.0,240.0,264.0,330.0,407.0,377.0,422.0,342.0,321.0,257.0,455.0,3796,
K02,"楊屋道
Yeung Uk Road","男
Male",106.0,215.0,261.0,364.0,480.0,505.0,389.0,399.0,367.0,290.0,256.0,434.0,4066,"8 ,072"
K02,,"女
Female",98.0,208.0,235.0,400.0,481.0,475.0,409.0,385.0,365.0,278.0,239.0,433.0,4006,
K03,"海濱
Hoi Bun","男
Male",211.0,470.0,330.0,295.0,368.0,503.0,473.0,679.0,744.0,429.0,268.0,462.0,5232,"1 0,535"
K03,,"女
Female",169.0,457.0,347.0,331.0,417.0,518.0,567.0,870.0,629.0,338.0,277.0,383.0,5303,
K04,"祈德尊
Clague Garden","男
Male",105.0,230.0,210.0,213.0,282.0,294.0,285.0,365.0,351.0,296.0,266.0,676.0,3573,"7 ,300"
K04,,"女
Female",76.0,201.0,213.0,187.0,264.0,291.0,270.0,365.0,395.0,331.0,306.0,828.0,3727,
K05,"福來
Fuk Loi","男
Male",82.0,203.0,230.0,194.0,213.0,233.0,255.0,328.0,333.0,299.0,264.0,797.0,3431,"7 ,351"
K05,,"女
Female",90.0,220.0,186.0,187.0,225.0,264.0,271.0,353.0,382.0,363.0,297.0,1082.0,3920,
K06,"愉景
Discovery Park","男
Male",143.0,364.0,328.0,322.0,365.0,425.0,529.0,691.0,636.0,427.0,261.0,302.0,4793,"9 ,809"
K06,,"女
Female",155.0,371.0,313.0,328.0,385.0,526.0,602.0,775.0,637.0,367.0,234.0,323.0,5016,
K07,"荃灣中心
Tsuen Wan Centre","男
Male",94.0,263.0,283.0,359.0,383.0,346.0,300.0,381.0,422.0,316.0,310.0,408.0,3865,"7 ,886"
K07,,"女
Female",104.0,208.0,277.0,375.0,373.0,363.0,350.0,452.0,460.0,378.0,286.0,395.0,4021,
K08,"荃威
Allway","男
Male",140.0,339.0,300.0,306.0,414.0,491.0,441.0,483.0,521.0,402.0,329.0,499.0,4665,"9 ,420"
K08,,"女
Female",112.0,297.0,260.0,326.0,467.0,522.0,521.0,541.0,479.0,424.0,318.0,488.0,4755,
K09,"麗濤
Lai To","男
Male",159.0,404.0,396.0,309.0,424.0,420.0,419.0,586.0,678.0,508.0,377.0,423.0,5103,"1 0,295"
K09,,"女
Female",160.0,373.0,319.0,349.0,462.0,490.0,527.0,674.0,688.0,449.0,329.0,372.0,5192,
K10,"汀深
Ting Sham","男
Male",104.0,251.0,203.0,224.0,409.0,437.0,433.0,473.0,426.0,337.0,252.0,259.0,3808,"7 ,535"
K10,,"女
Female",106.0,218.0,175.0,281.0,415.0,493.0,450.0,433.0,391.0,315.0,217.0,233.0,3727,
K11,"荃灣西
Tsuen Wan West","男
Male",177.0,419.0,368.0,353.0,441.0,473.0,419.0,553.0,616.0,482.0,350.0,358.0,5009,"1 0,109"
K11,,"女
Female",163.0,371.0,363.0,396.0,475.0,507.0,520.0,661.0,622.0,416.0,315.0,291.0,5100,
K12,"荃灣郊區
Tsuen Wan Rural","男
Male",123.0,291.0,278.0,309.0,369.0,416.0,389.0,573.0,574.0,425.0,307.0,388.0,4442,"8 ,913"
K12,,"女
Female",110.0,290.0,242.0,331.0,408.0,464.0,503.0,620.0,540.0,378.0,279.0,306.0,4471,
K13,"馬灣
Ma Wan","男
Male",44.0,114.0,129.0,258.0,374.0,491.0,381.0,313.0,274.0,226.0,186.0,185.0,2975,"6 ,208"
K13,,"女
Female",50.0,96.0,130.0,293.0,488.0,543.0,406.0,329.0,301.0,258.0,171.0,168.0,3233,
K14,"綠楊
Luk Yeung","男
Male",108.0,260.0,262.0,275.0,347.0,407.0,382.0,458.0,454.0,394.0,279.0,441.0,4067,"8 ,378"
K14,,"女
Female",98.0,256.0,250.0,268.0,397.0,458.0,434.0,510.0,500.0,402.0,277.0,461.0,4311,
K15,"梨木樹東
Lei Muk Shue East","男
Male",214.0,416.0,358.0,322.0,342.0,390.0,386.0,470.0,515.0,442.0,367.0,473.0,4695,"9 ,571"
K15,,"女
Female",190.0,457.0,324.0,291.0,372.0,458.0,471.0,586.0,525.0,443.0,318.0,441.0,4876,
K16,"梨木樹西
Lei Muk Shue West","男
Male",142.0,332.0,359.0,233.0,273.0,368.0,402.0,358.0,427.0,299.0,292.0,983.0,4468,"9 ,210"
K16,,"女
Female",139.0,334.0,281.0,234.0,222.0,368.0,402.0,428.0,400.0,371.0,478.0,1085.0,4742,
K17,"石圍角
Shek Wai Kok","男
Male",92.0,257.0,202.0,181.0,227.0,260.0,245.0,310.0,324.0,325.0,347.0,824.0,3594,"7 ,459"
K17,,"女
Female",68.0,199.0,154.0,156.0,205.0,266.0,273.0,339.0,383.0,466.0,469.0,887.0,3865,
K18,"象石
Cheung Shek","男
Male",108.0,243.0,223.0,211.0,262.0,313.0,257.0,300.0,348.0,297.0,313.0,691.0,3566,"7 ,392"
K18,,"女
Female",99.0,293.0,223.0,183.0,250.0,290.0,292.0,349.0,358.0,409.0,365.0,715.0,3826,
,,,,,,,,,,,,,,,153132,
