 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
L01,"屯門市中心
Tuen Mun Town Centre","男
Male",123.0,318.0,331.0,403.0,464.0,379.0,345.0,471.0,511.0,367.0,228.0,285.0,4225,"8 ,323"
L01,,"女
Female",121.0,261.0,320.0,397.0,410.0,407.0,392.0,517.0,452.0,345.0,190.0,286.0,4098,
L02,"兆置
Siu Chi","男
Male",176.0,423.0,455.0,415.0,473.0,388.0,316.0,543.0,711.0,607.0,476.0,513.0,5496,"1 1,0130"
L02,,"女
Female",149.0,438.0,437.0,473.0,458.0,362.0,403.0,666.0,726.0,625.0,373.0,524.0,5634,
L03,"兆翠
Siu Tsui","男
Male",161.0,380.0,362.0,458.0,737.0,572.0,444.0,628.0,648.0,585.0,645.0,611.0,6231,"1 2,0607"
L03,,"女
Female",162.0,343.0,325.0,439.0,715.0,519.0,554.0,677.0,741.0,804.0,588.0,509.0,6376,
L04,"安定
On Ting","男
Male",117.0,348.0,313.0,290.0,517.0,314.0,225.0,354.0,438.0,592.0,602.0,776.0,4886,"1 0,172"
L04,,"女
Female",99.0,333.0,295.0,286.0,470.0,266.0,334.0,422.0,624.0,898.0,635.0,624.0,5286,
L05,"友愛南
Yau Oi South","男
Male",130.0,381.0,311.0,256.0,449.0,283.0,221.0,265.0,373.0,433.0,519.0,609.0,4230,"8 ,576"
L05,,"女
Female",132.0,351.0,255.0,230.0,301.0,283.0,270.0,356.0,463.0,680.0,519.0,506.0,4346,
L06,"友愛北
Yau Oi North","男
Male",121.0,366.0,286.0,265.0,427.0,360.0,181.0,323.0,378.0,362.0,420.0,501.0,3990,"8 ,080"
L06,,"女
Female",117.0,374.0,258.0,270.0,412.0,311.0,264.0,402.0,406.0,560.0,436.0,280.0,4090,
L07,"翠興
Tsui Hing","男
Male",152.0,365.0,311.0,321.0,448.0,472.0,461.0,610.0,536.0,333.0,232.0,253.0,4494,"9 ,034"
L07,,"女
Female",142.0,365.0,277.0,342.0,458.0,501.0,525.0,665.0,488.0,321.0,218.0,238.0,4540,
L08,"山景
Shan King","男
Male",146.0,392.0,359.0,624.0,498.0,274.0,240.0,310.0,537.0,609.0,525.0,690.0,5204,"1 0,569"
L08,,"女
Female",100.0,378.0,311.0,539.0,453.0,288.0,323.0,465.0,795.0,779.0,459.0,475.0,5365,
L09,"景興
King Hing","男
Male",96.0,304.0,248.0,216.0,286.0,263.0,220.0,316.0,411.0,398.0,411.0,844.0,4013,"8 ,093"
L09,,"女
Female",90.0,220.0,195.0,175.0,197.0,272.0,274.0,419.0,455.0,451.0,571.0,761.0,4080,
L10,"興澤
Hing Tsak","男
Male",116.0,407.0,465.0,252.0,273.0,279.0,209.0,501.0,719.0,501.0,455.0,671.0,4848,"9 ,836"
L10,,"女
Female",101.0,352.0,384.0,237.0,230.0,295.0,329.0,697.0,698.0,593.0,485.0,587.0,4988,
