 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
M01,"豐年
Fung Nin","男
Male",147.0,346.0,386.0,374.0,341.0,291.0,348.0,459.0,565.0,395.0,299.0,511.0,4462,"9 ,005"
M01,,"女
Female",134.0,342.0,374.0,358.0,343.0,348.0,413.0,551.0,507.0,408.0,271.0,494.0,4543,
M02,"水邊
Shui Pin","男
Male",150.0,305.0,324.0,351.0,382.0,402.0,390.0,457.0,465.0,396.0,324.0,581.0,4527,"9 ,401"
M02,,"女
Female",136.0,316.0,303.0,345.0,402.0,476.0,452.0,510.0,517.0,429.0,337.0,651.0,4874,
M03,"南屏
Nam Ping","男
Male",121.0,430.0,637.0,545.0,300.0,239.0,208.0,456.0,699.0,556.0,342.0,447.0,4980,"1 0,315"
M03,,"女
Female",125.0,371.0,543.0,541.0,288.0,255.0,352.0,673.0,913.0,540.0,311.0,423.0,5335,
M04,"北朗
Pek Long","男
Male",129.0,363.0,422.0,611.0,467.0,416.0,284.0,402.0,583.0,526.0,340.0,448.0,4991,"1 0,309"
M04,,"女
Female",128.0,328.0,388.0,538.0,454.0,444.0,376.0,558.0,801.0,560.0,321.0,422.0,5318,
M05,"元朗中心
Yuen Long Centre","男
Male",119.0,293.0,304.0,294.0,317.0,341.0,318.0,376.0,420.0,299.0,248.0,491.0,3820,"7 ,569"
M05,,"女
Female",105.0,275.0,318.0,293.0,288.0,314.0,292.0,428.0,392.0,341.0,234.0,469.0,3749,
M06,"元龍
Yuen Lung","男
Male",73.0,197.0,215.0,322.0,402.0,425.0,276.0,346.0,305.0,230.0,174.0,182.0,3147,"6 ,458"
M06,,"女
Female",62.0,181.0,241.0,355.0,477.0,389.0,331.0,367.0,340.0,226.0,166.0,176.0,3311,
M07,"鳳翔
Fung Cheung","男
Male",114.0,275.0,282.0,302.0,307.0,307.0,334.0,461.0,446.0,287.0,208.0,322.0,3645,"7 ,579"
M07,,"女
Female",125.0,290.0,295.0,351.0,307.0,364.0,418.0,501.0,425.0,289.0,191.0,378.0,3934,
M08,"十八鄉東
Shap Pat Heung East","男
Male",114.0,245.0,255.0,313.0,361.0,371.0,353.0,461.0,427.0,328.0,227.0,395.0,3850,"7 ,083"
M08,,"女
Female",95.0,183.0,211.0,288.0,297.0,322.0,307.0,413.0,345.0,234.0,175.0,363.0,3233,
