 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
N01,"聯和墟
Luen Wo Hui","男
Male",225.0,498.0,318.0,344.0,323.0,376.0,488.0,733.0,670.0,472.0,307.0,442.0,5196,"1 0,562"
N01,,"女
Female",220.0,477.0,309.0,328.0,360.0,487.0,608.0,735.0,615.0,406.0,288.0,533.0,5366,
N02,"粉嶺市
Fanling Town","男
Male",127.0,287.0,224.0,209.0,215.0,206.0,228.0,441.0,411.0,294.0,183.0,277.0,3102,"6 ,191"
N02,,"女
Female",134.0,280.0,196.0,186.0,214.0,248.0,349.0,472.0,351.0,244.0,150.0,265.0,3089,
N03,"祥華
Cheung Wah","男
Male",133.0,389.0,424.0,653.0,633.0,335.0,278.0,355.0,493.0,634.0,565.0,716.0,5608,"1 1,0632"
N03,,"女
Female",147.0,342.0,353.0,580.0,587.0,327.0,352.0,493.0,830.0,821.0,463.0,729.0,6024,
N04,"華都
Wah Do","男
Male",246.0,600.0,454.0,407.0,377.0,284.0,500.0,708.0,748.0,544.0,363.0,465.0,5696,"1 1,0560"
N04,,"女
Female",223.0,617.0,464.0,392.0,348.0,378.0,691.0,809.0,671.0,486.0,298.0,487.0,5864,
N05,"華明
Wah Ming","男
Male",128.0,589.0,1172.0,425.0,247.0,148.0,135.0,473.0,982.0,683.0,364.0,456.0,5802,"1 1,0810"
N05,,"女
Female",117.0,514.0,1073.0,420.0,224.0,179.0,336.0,919.0,1043.0,544.0,255.0,384.0,6008,
N06,"欣盛
Yan Shing","男
Male",299.0,811.0,676.0,449.0,359.0,313.0,479.0,764.0,901.0,645.0,432.0,554.0,6682,"1 3,0741"
N06,,"女
Female",296.0,804.0,621.0,491.0,375.0,422.0,729.0,963.0,830.0,582.0,348.0,598.0,7059,
N07,"盛福
Shing Fuk","男
Male",199.0,595.0,436.0,349.0,262.0,203.0,287.0,496.0,665.0,551.0,386.0,438.0,4867,"1 0,063"
N07,,"女
Female",192.0,575.0,434.0,358.0,253.0,236.0,469.0,689.0,654.0,561.0,273.0,502.0,5196,
N08,"粉嶺南
Fanling South","男
Male",149.0,325.0,229.0,305.0,290.0,292.0,389.0,506.0,482.0,297.0,157.0,149.0,3570,"7 ,132"
N08,,"女
Female",143.0,288.0,215.0,324.0,334.0,342.0,440.0,578.0,398.0,211.0,132.0,157.0,3562,
N09,"清河
Ching Ho","男
Male",339.0,630.0,314.0,187.0,207.0,320.0,392.0,516.0,653.0,472.0,314.0,475.0,4819,"9 ,511"
N09,,"女
Female",320.0,568.0,303.0,214.0,352.0,587.0,613.0,523.0,363.0,264.0,190.0,395.0,4692,
N10,"御太
Yu Tai","男
Male",144.0,327.0,467.0,377.0,314.0,312.0,283.0,431.0,584.0,378.0,261.0,297.0,4175,"8 ,325"
N10,,"女
Female",144.0,328.0,483.0,389.0,334.0,331.0,337.0,529.0,529.0,300.0,157.0,289.0,4150,
N11,"上水鄉郊
Sheung Shui Rural","男
Male",159.0,352.0,349.0,349.0,365.0,375.0,479.0,659.0,673.0,459.0,368.0,598.0,5185,"9 ,768"
N11,,"女
Female",118.0,313.0,297.0,309.0,335.0,434.0,488.0,580.0,513.0,378.0,234.0,584.0,4583,
N12,"彩園
Choi Yuen","男
Male",147.0,377.0,438.0,515.0,407.0,216.0,230.0,345.0,592.0,637.0,572.0,876.0,5352,"1 1,0176"
N12,,"女
Female",149.0,348.0,434.0,367.0,324.0,286.0,341.0,523.0,780.0,806.0,507.0,959.0,5824,
N13,"石湖墟
Shek Wu Hui","男
Male",159.0,393.0,349.0,370.0,358.0,270.0,308.0,503.0,571.0,575.0,356.0,499.0,4711,"9 ,445"
N13,,"女
Female",151.0,347.0,336.0,365.0,362.0,318.0,408.0,555.0,611.0,509.0,300.0,472.0,4734,
N14,"天平西
Tin Ping West","男
Male",115.0,347.0,589.0,815.0,374.0,174.0,130.0,291.0,723.0,719.0,415.0,403.0,5095,"1 0,383"
N14,,"女
Female",96.0,357.0,463.0,676.0,336.0,178.0,236.0,558.0,1072.0,683.0,298.0,335.0,5288,
N15,"鳳翠
Fung Tsui","男
Male",170.0,403.0,357.0,296.0,269.0,238.0,263.0,555.0,591.0,450.0,239.0,350.0,4181,"8 ,396"
N15,,"女
Female",140.0,397.0,364.0,315.0,252.0,290.0,357.0,607.0,541.0,333.0,178.0,441.0,4215,
N16,"沙打
Sha Ta","男
Male",125.0,293.0,270.0,288.0,341.0,326.0,410.0,477.0,564.0,462.0,348.0,630.0,4534,"8 ,628"
N16,,"女
Female",137.0,294.0,266.0,273.0,277.0,336.0,386.0,445.0,440.0,348.0,250.0,642.0,4094,
N17,"天平東
Tin Ping East","男
Male",123.0,359.0,616.0,604.0,295.0,239.0,256.0,432.0,759.0,490.0,259.0,293.0,4725,"9 ,660"
N17,,"女
Female",133.0,365.0,553.0,515.0,263.0,285.0,365.0,640.0,879.0,438.0,212.0,287.0,4935,
N18,"皇后山
Queen's Hill","男
Male",134.0,279.0,253.0,274.0,314.0,320.0,437.0,547.0,565.0,422.0,291.0,493.0,4329,"8 ,392"
N18,,"女
Female",179.0,251.0,255.0,244.0,314.0,332.0,413.0,504.0,485.0,310.0,198.0,578.0,4063,
,,,,,,,,,,,,,,,176375,
