 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
P01,"大埔墟
Tai Po Hui","男
Male",114.0,237.0,228.0,216.0,224.0,216.0,254.0,285.0,395.0,339.0,230.0,465.0,3203,"6 ,380"
P01,,"女
Female",92.0,218.0,247.0,216.0,221.0,265.0,256.0,327.0,349.0,286.0,205.0,495.0,3177,
P02,"大埔中
Tai Po Central","男
Male",118.0,312.0,330.0,334.0,297.0,252.0,239.0,440.0,554.0,434.0,219.0,245.0,3774,"7 ,854"
P02,,"女
Female",126.0,327.0,322.0,377.0,329.0,271.0,334.0,546.0,652.0,361.0,156.0,279.0,4080,
P03,"頌汀
Chung Ting","男
Male",138.0,429.0,507.0,342.0,281.0,238.0,234.0,432.0,666.0,426.0,293.0,390.0,4376,"9 ,019"
P03,,"女
Female",113.0,419.0,441.0,350.0,292.0,249.0,300.0,683.0,707.0,388.0,256.0,445.0,4643,
P04,"大元
Tai Yuen","男
Male",121.0,380.0,340.0,296.0,413.0,392.0,236.0,288.0,353.0,385.0,446.0,702.0,4352,"8 ,920"
P04,,"女
Female",156.0,380.0,316.0,277.0,288.0,283.0,263.0,360.0,467.0,656.0,526.0,596.0,4568,
P05,"富亨
Fu Heng","男
Male",111.0,503.0,1054.0,559.0,278.0,212.0,134.0,363.0,921.0,670.0,403.0,478.0,5686,"1 1,0599"
P05,,"女
Female",101.0,477.0,933.0,470.0,267.0,185.0,255.0,790.0,1048.0,592.0,339.0,456.0,5913,
P06,"怡富
Yee Fu","男
Male",119.0,360.0,399.0,826.0,590.0,321.0,282.0,366.0,637.0,696.0,554.0,606.0,5756,"1 1,0836"
P06,,"女
Female",117.0,319.0,380.0,723.0,558.0,327.0,335.0,524.0,934.0,814.0,489.0,560.0,6080,
P07,"富明新
Fu Ming Sun","男
Male",130.0,321.0,352.0,416.0,284.0,214.0,214.0,329.0,686.0,531.0,336.0,501.0,4314,"8 ,985"
P07,,"女
Female",101.0,315.0,335.0,346.0,303.0,263.0,273.0,557.0,775.0,513.0,280.0,610.0,4671,
P08,"廣福及寶湖
Kwong Fuk & Plover Cove","男
Male",121.0,303.0,317.0,474.0,433.0,220.0,182.0,241.0,398.0,555.0,534.0,531.0,4309,"8 ,958"
P08,,"女
Female",92.0,276.0,342.0,413.0,336.0,205.0,244.0,341.0,666.0,795.0,440.0,499.0,4649,
P09,"宏福
Wang Fuk","男
Male",108.0,254.0,290.0,443.0,402.0,214.0,158.0,232.0,385.0,610.0,486.0,546.0,4128,"8 ,576"
P09,,"女
Female",97.0,218.0,278.0,373.0,348.0,199.0,210.0,338.0,665.0,766.0,386.0,570.0,4448,
P10,"大埔滘
Tai Po Kau","男
Male",199.0,396.0,318.0,295.0,321.0,369.0,402.0,665.0,708.0,474.0,303.0,293.0,4743,"9 ,320"
P10,,"女
Female",174.0,347.0,329.0,299.0,353.0,424.0,505.0,733.0,609.0,356.0,216.0,232.0,4577,
P11,"運頭塘
Wan Tau Tong","男
Male",139.0,549.0,668.0,449.0,374.0,313.0,266.0,526.0,845.0,618.0,431.0,545.0,5723,"1 1,0910"
P11,,"女
Female",148.0,524.0,699.0,433.0,351.0,295.0,404.0,797.0,868.0,630.0,394.0,644.0,6187,
P12,"新富
San Fu","男
Male",185.0,445.0,323.0,324.0,359.0,292.0,347.0,612.0,694.0,466.0,319.0,398.0,4764,"9 ,663"
P12,,"女
Female",155.0,385.0,330.0,355.0,338.0,374.0,489.0,727.0,658.0,409.0,255.0,424.0,4899,
P13,"林村谷
Lam Tsuen Valley","男
Male",193.0,449.0,392.0,388.0,414.0,436.0,453.0,686.0,797.0,566.0,320.0,377.0,5471,"1 0,802"
P13,,"女
Female",179.0,406.0,381.0,384.0,403.0,484.0,526.0,794.0,671.0,469.0,235.0,399.0,5331,
P14,"寶雅
Po Nga","男
Male",108.0,442.0,697.0,530.0,301.0,228.0,173.0,381.0,808.0,635.0,381.0,458.0,5142,"1 0,582"
P14,,"女
Female",109.0,375.0,665.0,526.0,292.0,217.0,253.0,633.0,957.0,594.0,314.0,505.0,5440,
P15,"太和
Tai Wo","男
Male",89.0,352.0,742.0,706.0,382.0,233.0,161.0,253.0,824.0,677.0,381.0,534.0,5334,"1 0,877"
P15,,"女
Female",84.0,350.0,670.0,693.0,297.0,219.0,207.0,512.0,1021.0,603.0,340.0,547.0,5543,
P16,"舊墟及太湖
Old Market & Serenity","男
Male",149.0,353.0,292.0,326.0,315.0,307.0,334.0,515.0,534.0,281.0,190.0,251.0,3847,"7 ,840"
P16,,"女
Female",151.0,316.0,314.0,332.0,373.0,317.0,410.0,661.0,462.0,253.0,146.0,258.0,3993,
P17,"康樂園
Hong Lok Yuen","男
Male",186.0,424.0,332.0,349.0,317.0,348.0,375.0,568.0,663.0,446.0,307.0,323.0,4638,"9 ,116"
P17,,"女
Female",159.0,380.0,334.0,353.0,328.0,365.0,468.0,650.0,582.0,347.0,195.0,317.0,4478,
P18,"船灣
Shuen Wan","男
Male",153.0,350.0,280.0,284.0,310.0,356.0,422.0,634.0,684.0,453.0,297.0,348.0,4571,"8 ,982"
P18,,"女
Female",205.0,331.0,217.0,235.0,319.0,461.0,501.0,648.0,566.0,381.0,216.0,331.0,4411,
