 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
Q01,"西貢市中心
Sai Kung Central","男
Male",72.0,186.0,169.0,214.0,232.0,274.0,287.0,358.0,352.0,309.0,248.0,375.0,3076.0,"6 ,248"
Q01,,"女
Female",97.0,190.0,174.0,201.0,239.0,287.0,290.0,369.0,373.0,280.0,206.0,466.0,3172.0,
Q02,"白沙灣
Pak Sha Wan","男
Male",105.0,229.0,187.0,210.0,267.0,317.0,378.0,510.0,529.0,344.0,278.0,338.0,3692.0,"7 ,329"
Q02,,"女
Female",104.0,220.0,207.0,238.0,327.0,362.0,400.0,495.0,428.0,297.0,194.0,365.0,3637.0,
Q03,"西貢離島
Sai Kung Islands","男
Male",72.0,115.0,133.0,123.0,139.0,167.0,204.0,266.0,336.0,256.0,161.0,251.0,2223.0,"4 ,474"
Q03,,"女
Female",47.0,136.0,115.0,146.0,154.0,211.0,220.0,303.0,310.0,203.0,144.0,262.0,2251.0,
Q04,"坑口東
Hang Hau East","男
Male",84.0,157.0,162.0,126.0,170.0,178.0,265.0,375.0,377.0,275.0,200.0,223.0,2592.0,"4 ,979"
Q04,,"女
Female",72.0,140.0,133.0,163.0,179.0,239.0,288.0,346.0,317.0,184.0,142.0,184.0,2387.0,
Q05,"坑口西
Hang Hau West","男
Male",111.0,251.0,201.0,206.0,246.0,309.0,326.0,460.0,466.0,304.0,192.0,272.0,3344.0,"6 ,510"
Q05,,"女
Female",99.0,219.0,180.0,195.0,291.0,346.0,339.0,479.0,375.0,222.0,175.0,246.0,3166.0,
Q06,"寶怡
Po Yee","男
Male",148.0,294.0,310.0,333.0,434.0,626.0,562.0,539.0,477.0,377.0,297.0,448.0,4845.0,"9 ,941"
Q06,,"女
Female",148.0,291.0,301.0,374.0,499.0,699.0,567.0,506.0,440.0,388.0,347.0,536.0,5096.0,
Q07,"維景
Wai King","男
Male",97.0,134.0,125.0,188.0,327.0,638.0,602.0,496.0,352.0,199.0,189.0,196.0,3543.0,"7 ,208"
Q07,,"女
Female",85.0,141.0,113.0,211.0,394.0,735.0,621.0,487.0,290.0,219.0,177.0,192.0,3665.0,
Q08,"都善
Do Shin","男
Male",93.0,204.0,179.0,175.0,278.0,395.0,369.0,391.0,321.0,256.0,194.0,252.0,3107.0,"6 ,305"
Q08,,"女
Female",121.0,195.0,163.0,218.0,282.0,473.0,414.0,408.0,305.0,213.0,177.0,229.0,3198.0,
Q09,"健明
Kin Ming","男
Male",330.0,618.0,453.0,215.0,149.0,248.0,312.0,415.0,588.0,412.0,293.0,263.0,4296.0,"8 ,861"
Q09,,"女
Female",362.0,621.0,410.0,196.0,184.0,442.0,559.0,600.0,456.0,318.0,185.0,232.0,4565.0,
Q10,"彩健
Choi Kin","男
Male",302.0,647.0,616.0,383.0,342.0,445.0,413.0,459.0,650.0,497.0,368.0,426.0,5548.0,"1 1,0248"
Q10,,"女
Female",276.0,695.0,577.0,361.0,344.0,573.0,502.0,657.0,620.0,455.0,297.0,343.0,5700.0,
Q11,"澳唐
O Tong","男
Male",171.0,267.0,225.0,299.0,547.0,710.0,609.0,523.0,405.0,284.0,246.0,324.0,4610.0,"9 ,374"
Q11,,"女
Female",139.0,234.0,222.0,355.0,583.0,831.0,591.0,502.0,383.0,304.0,283.0,337.0,4764.0,
Q12,"富君
Fu Kwan","男
Male",181.0,374.0,267.0,263.0,407.0,557.0,742.0,656.0,515.0,324.0,271.0,375.0,4932.0,"1 0,108"
Q12,,"女
Female",244.0,356.0,237.0,310.0,419.0,717.0,779.0,594.0,431.0,379.0,281.0,429.0,5176.0,
Q13,"軍寶
Kwan Po","男
Male",85.0,152.0,144.0,211.0,391.0,534.0,436.0,366.0,282.0,154.0,134.0,157.0,3046.0,"6 ,122"
Q13,,"女
Female",76.0,140.0,125.0,258.0,436.0,560.0,422.0,406.0,218.0,161.0,134.0,140.0,3076.0,
Q14,"南安
Nam On","男
Male",164.0,326.0,358.0,312.0,363.0,450.0,536.0,746.0,599.0,358.0,282.0,423.0,4917.0,"9 ,835"
Q14,,"女
Female",135.0,362.0,286.0,285.0,388.0,503.0,615.0,758.0,533.0,359.0,268.0,426.0,4918.0,
Q15,"康景
Hong King","男
Male",157.0,395.0,376.0,446.0,530.0,567.0,493.0,732.0,696.0,535.0,330.0,465.0,5722.0,"1 1,0724"
Q15,,"女
Female",191.0,396.0,368.0,418.0,518.0,610.0,594.0,811.0,730.0,456.0,359.0,551.0,6002.0,
Q16,"翠林
Tsui Lam","男
Male",101.0,302.0,571.0,777.0,395.0,227.0,188.0,216.0,633.0,736.0,478.0,561.0,5185.0,"1 0,811"
Q16,,"女
Female",98.0,309.0,590.0,743.0,356.0,247.0,187.0,432.0,1101.0,732.0,394.0,437.0,5626.0,
Q17,"寶林
Po Lam","男
Male",90.0,350.0,659.0,787.0,353.0,237.0,162.0,267.0,748.0,764.0,445.0,634.0,5496.0,"1 1,0237"
Q17,,"女
Female",85.0,287.0,615.0,711.0,257.0,210.0,178.0,505.0,1142.0,754.0,380.0,617.0,5741.0,
Q18,"欣英
Yan Ying","男
Male",135.0,390.0,445.0,433.0,409.0,460.0,499.0,708.0,762.0,474.0,320.0,533.0,5568.0,"1 1,0376"
Q18,,"女
Female",115.0,331.0,430.0,429.0,413.0,569.0,573.0,780.0,788.0,467.0,306.0,607.0,5808.0,
Q19,"運亨
Wan Hang","男
Male",222.0,353.0,265.0,334.0,382.0,518.0,754.0,860.0,595.0,359.0,248.0,393.0,5283.0,"1 0,781"
Q19,,"女
Female",197.0,287.0,279.0,364.0,437.0,666.0,912.0,806.0,489.0,369.0,246.0,446.0,5498.0,
Q20,"景林
King Lam","男
Male",102.0,434.0,800.0,572.0,349.0,297.0,207.0,398.0,825.0,707.0,574.0,739.0,6004.0,"1 2,0247"
Q20,,"女
Female",99.0,399.0,674.0,584.0,317.0,264.0,302.0,718.0,965.0,697.0,471.0,753.0,6243.0,
Q21,"厚德
Hau Tak","男
Male",191.0,612.0,585.0,386.0,324.0,294.0,312.0,538.0,806.0,571.0,474.0,700.0,5793.0,"1 1,0776"
Q21,,"女
Female",164.0,607.0,517.0,313.0,290.0,308.0,464.0,741.0,767.0,606.0,460.0,746.0,5983.0,
Q22,"富藍
Fu Nam","男
Male",153.0,359.0,324.0,292.0,349.0,445.0,461.0,659.0,638.0,395.0,307.0,596.0,4978.0,"1 0,144"
Q22,,"女
Female",138.0,333.0,285.0,306.0,358.0,440.0,540.0,679.0,579.0,411.0,355.0,742.0,5166.0,
Q23,"德明
Tak Ming","男
Male",229.0,560.0,377.0,339.0,381.0,455.0,552.0,800.0,759.0,508.0,381.0,587.0,5928.0,"1 2,0135"
Q23,,"女
Female",232.0,472.0,317.0,318.0,377.0,568.0,787.0,801.0,679.0,534.0,390.0,732.0,6207.0,
Q24,"尚德
Sheung Tak","男
Male",318.0,983.0,718.0,366.0,245.0,182.0,278.0,539.0,792.0,607.0,420.0,521.0,5969.0,"1 2,0680"
Q24,,"女
Female",350.0,1035.0,791.0,320.0,230.0,262.0,586.0,860.0,800.0,555.0,362.0,560.0,6711.0,
Q25,"廣明
Kwong Ming","男
Male",212.0,441.0,313.0,314.0,375.0,477.0,601.0,730.0,637.0,426.0,366.0,664.0,5556.0,"1 1,0610"
Q25,,"女
Female",215.0,439.0,306.0,313.0,354.0,630.0,760.0,725.0,603.0,478.0,463.0,768.0,6054.0,
Q26,"環保北
Wan Po North","男
Male",138.0,257.0,236.0,330.0,347.0,429.0,400.0,452.0,405.0,274.0,176.0,148.0,3592.0,"7 ,233"
Q26,,"女
Female",123.0,212.0,242.0,325.0,384.0,457.0,467.0,525.0,364.0,254.0,160.0,128.0,3641.0,
Q27,"環保南
Wan Po South","男
Male",176.0,278.0,255.0,282.0,295.0,380.0,400.0,475.0,471.0,313.0,158.0,138.0,3621.0,"7 ,366"
Q27,,"女
Female",176.0,301.0,242.0,322.0,321.0,439.0,439.0,548.0,446.0,243.0,126.0,142.0,3745.0,
,,,,,,,,,,,,,,,,249662
