 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
R01,"沙田市中心
Sha Tin Town Centre","男
Male",162.0,367.0,326.0,378.0,449.0,459.0,495.0,693.0,668.0,419.0,295.0,390.0,5101,"9 ,738"
R01,,"女
Female",157.0,373.0,322.0,324.0,367.0,394.0,371.0,531.0,623.0,463.0,319.0,393.0,4637,
R02,"瀝源
Lek Yuen","男
Male",143.0,317.0,280.0,215.0,256.0,324.0,347.0,347.0,391.0,361.0,357.0,734.0,4072,"8 ,093"
R02,,"女
Female",138.0,340.0,341.0,272.0,281.0,330.0,267.0,334.0,421.0,345.0,294.0,658.0,4021,
R03,"禾輋邨
Wo Che Estate","男
Male",197.0,502.0,422.0,302.0,327.0,350.0,365.0,547.0,558.0,644.0,721.0,1100.0,6035,"1 1,0551"
R03,,"女
Female",191.0,490.0,463.0,315.0,376.0,439.0,321.0,453.0,506.0,438.0,506.0,1018.0,5516,
R04,"第一城
City One","男
Male",123.0,318.0,373.0,349.0,357.0,379.0,409.0,635.0,706.0,438.0,254.0,413.0,4754,"9 ,154"
R04,,"女
Female",149.0,372.0,343.0,320.0,339.0,333.0,316.0,479.0,611.0,495.0,318.0,325.0,4400,
R05,"愉城
Yue Shing","男
Male",114.0,232.0,291.0,392.0,382.0,360.0,437.0,559.0,603.0,491.0,259.0,434.0,4554,"8 ,664"
R05,,"女
Female",119.0,284.0,281.0,351.0,360.0,277.0,340.0,442.0,532.0,437.0,317.0,370.0,4110,
R06,"王屋
Wong Uk","男
Male",117.0,281.0,293.0,305.0,396.0,379.0,380.0,505.0,540.0,365.0,288.0,347.0,4196,"8 ,228"
R06,,"女
Female",125.0,272.0,319.0,344.0,345.0,344.0,264.0,389.0,511.0,422.0,310.0,387.0,4032,
R07,"沙角
Sha Kok","男
Male",102.0,331.0,293.0,250.0,341.0,384.0,324.0,428.0,447.0,628.0,773.0,1068.0,5369,"1 0,115"
R07,,"女
Female",121.0,366.0,328.0,265.0,368.0,354.0,226.0,308.0,396.0,369.0,537.0,1108.0,4746,
R08,"博康
Pok Hong","男
Male",85.0,275.0,291.0,558.0,636.0,451.0,293.0,325.0,611.0,875.0,740.0,888.0,6028,"1 1,0583"
R08,,"女
Female",100.0,297.0,272.0,573.0,674.0,521.0,296.0,268.0,389.0,545.0,629.0,991.0,5555,
R09,"乙明
Jat Min","男
Male",202.0,471.0,461.0,606.0,775.0,531.0,439.0,509.0,696.0,960.0,711.0,804.0,7165,"1 4,0516"
R09,,"女
Female",213.0,515.0,444.0,622.0,849.0,612.0,455.0,495.0,643.0,762.0,801.0,940.0,7351,
R10,"秦豐
Chun Fung","男
Male",114.0,260.0,263.0,335.0,400.0,317.0,302.0,394.0,537.0,653.0,471.0,626.0,4672,"9 ,097"
R10,,"女
Female",124.0,264.0,276.0,362.0,454.0,300.0,235.0,313.0,426.0,491.0,490.0,690.0,4425,
R11,"新田圍
Sun Tin Wai","男
Male",129.0,374.0,319.0,270.0,314.0,354.0,326.0,445.0,399.0,467.0,496.0,677.0,4570,"8 ,998"
R11,,"女
Female",150.0,379.0,336.0,277.0,388.0,393.0,248.0,393.0,437.0,334.0,333.0,760.0,4428,
R12,"翠田
Chui Tin","男
Male",112.0,295.0,303.0,322.0,413.0,265.0,280.0,391.0,570.0,577.0,431.0,514.0,4473,"8 ,808"
R12,,"女
Female",120.0,326.0,326.0,364.0,430.0,271.0,218.0,331.0,456.0,471.0,435.0,587.0,4335,
R13,"顯嘉
Hin Ka","男
Male",68.0,239.0,435.0,573.0,347.0,235.0,190.0,412.0,946.0,616.0,314.0,415.0,4790,"9 ,373"
R13,,"女
Female",76.0,299.0,429.0,592.0,380.0,252.0,195.0,262.0,611.0,619.0,413.0,455.0,4583,
R14,"下城門
Lower Shing Mun","男
Male",247.0,432.0,289.0,248.0,361.0,510.0,526.0,460.0,455.0,374.0,283.0,244.0,4429,"8 ,680"
R14,,"女
Female",292.0,414.0,312.0,225.0,272.0,387.0,330.0,434.0,503.0,418.0,357.0,307.0,4251,
R15,"雲城
Wan Shing","男
Male",177.0,343.0,337.0,351.0,464.0,519.0,516.0,635.0,558.0,386.0,289.0,424.0,4999,"9 ,790"
R15,,"女
Female",167.0,360.0,314.0,287.0,439.0,434.0,420.0,632.0,580.0,418.0,306.0,434.0,4791,
R16,"徑口
Keng Hau","男
Male",182.0,347.0,350.0,545.0,575.0,523.0,487.0,527.0,768.0,688.0,504.0,794.0,6290,"1 2,0196"
R16,,"女
Female",169.0,358.0,353.0,564.0,561.0,512.0,422.0,528.0,620.0,581.0,500.0,738.0,5906,
