Unnamed: 0,Unnamed: 1,Unnamed: 2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,Unnamed: 15,Unnamed: 16
S01,"葵興
Kwai Hing","男
Male",125,270,222,283,323,462,519,519,426,416,415,964,4944,"9 ,659"
,,"女
Female",121,252,220,288,357,441,521,518,459,367,336,835,4715,
S02,"葵盛東邨
Kwai Shing East Estate","男
Male",198,570,418,280,220,306,467,610,626,524,463,1061,5743,1975-01-01 00:00:00
,,"女
Female",199,545,483,278,269,311,372,451,641,461,367,955,5332,
S03,"上大窩口
Upper Tai Wo Hau","男
Male",111,231,204,147,237,332,314,342,345,293,309,864,3729,"7 ,200"
,,"女
Female",98,239,192,157,247,353,342,388,336,251,240,628,3471,
S04,"下大窩口
Lower Tai Wo Hau","男
Male",99,254,251,267,271,285,316,428,498,462,375,871,4377,"8 ,468"
,,"女
Female",99,234,295,285,303,292,348,375,450,377,287,746,4091,
S05,"葵涌邨北
Kwai Chung Estate North","男
Male",260,450,276,218,360,540,539,492,441,355,251,294,4476,"8 ,948"
,,"女
Female",270,477,347,227,265,389,387,464,542,423,292,389,4472,
S06,"葵涌邨南
Kwai Chung Estate South","男
Male",229,478,262,216,378,557,512,571,464,324,296,688,4975,"9 ,906"
,,"女
Female",254,471,362,240,297,546,440,552,534,390,309,536,4931,
S07,"石蔭
Shek Yam","男
Male",229,506,445,297,365,494,594,626,535,505,377,1291,6264,1985-02-01 00:00:00
,,"女
Female",195,523,433,312,324,461,575,612,551,478,344,1013,5821,
S08,"安蔭
On Yam","男
Male",139,297,243,182,259,361,447,387,340,308,451,1461,4875,"9 ,471"
,,"女
Female",146,273,259,186,263,426,609,451,371,257,252,1103,4596,
S09,"石籬南
Shek Lei South","男
Male",168,414,343,318,358,411,527,569,574,569,537,1256,6044,"1 1,0441"
,,"女
Female",172,383,363,341,379,425,483,495,477,429,405,1045,5397,
S10,"石籬北
Shek Lei North","男
Male",288,508,422,257,288,418,506,547,452,402,304,612,5004,"1 0,165"
,,"女
Female",298,557,456,278,250,360,420,478,560,445,334,725,5161,
