 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
S01,"葵興
Kwai Hing","男
Male",125.0,270.0,222.0,283.0,323.0,462.0,519.0,519.0,426.0,416.0,415.0,964.0,4944,"9 ,659"
S01,,"女
Female",121.0,252.0,220.0,288.0,357.0,441.0,521.0,518.0,459.0,367.0,336.0,835.0,4715,
S02,"葵盛東邨
Kwai Shing East Estate","男
Male",198.0,570.0,418.0,280.0,220.0,306.0,467.0,610.0,626.0,524.0,463.0,1061.0,5743,1975-01-01 00:00:00
S02,,"女
Female",199.0,545.0,483.0,278.0,269.0,311.0,372.0,451.0,641.0,461.0,367.0,955.0,5332,
S03,"上大窩口
Upper Tai Wo Hau","男
Male",111.0,231.0,204.0,147.0,237.0,332.0,314.0,342.0,345.0,293.0,309.0,864.0,3729,"7 ,200"
S03,,"女
Female",98.0,239.0,192.0,157.0,247.0,353.0,342.0,388.0,336.0,251.0,240.0,628.0,3471,
S04,"下大窩口
Lower Tai Wo Hau","男
Male",99.0,254.0,251.0,267.0,271.0,285.0,316.0,428.0,498.0,462.0,375.0,871.0,4377,"8 ,468"
S04,,"女
Female",99.0,234.0,295.0,285.0,303.0,292.0,348.0,375.0,450.0,377.0,287.0,746.0,4091,
S05,"葵涌邨北
Kwai Chung Estate North","男
Male",260.0,450.0,276.0,218.0,360.0,540.0,539.0,492.0,441.0,355.0,251.0,294.0,4476,"8 ,948"
S05,,"女
Female",270.0,477.0,347.0,227.0,265.0,389.0,387.0,464.0,542.0,423.0,292.0,389.0,4472,
S06,"葵涌邨南
Kwai Chung Estate South","男
Male",229.0,478.0,262.0,216.0,378.0,557.0,512.0,571.0,464.0,324.0,296.0,688.0,4975,"9 ,906"
S06,,"女
Female",254.0,471.0,362.0,240.0,297.0,546.0,440.0,552.0,534.0,390.0,309.0,536.0,4931,
S07,"石蔭
Shek Yam","男
Male",229.0,506.0,445.0,297.0,365.0,494.0,594.0,626.0,535.0,505.0,377.0,1291.0,6264,1985-02-01 00:00:00
S07,,"女
Female",195.0,523.0,433.0,312.0,324.0,461.0,575.0,612.0,551.0,478.0,344.0,1013.0,5821,
S08,"安蔭
On Yam","男
Male",139.0,297.0,243.0,182.0,259.0,361.0,447.0,387.0,340.0,308.0,451.0,1461.0,4875,"9 ,471"
S08,,"女
Female",146.0,273.0,259.0,186.0,263.0,426.0,609.0,451.0,371.0,257.0,252.0,1103.0,4596,
S09,"石籬南
Shek Lei South","男
Male",168.0,414.0,343.0,318.0,358.0,411.0,527.0,569.0,574.0,569.0,537.0,1256.0,6044,"1 1,0441"
S09,,"女
Female",172.0,383.0,363.0,341.0,379.0,425.0,483.0,495.0,477.0,429.0,405.0,1045.0,5397,
S10,"石籬北
Shek Lei North","男
Male",288.0,508.0,422.0,257.0,288.0,418.0,506.0,547.0,452.0,402.0,304.0,612.0,5004,"1 0,165"
S10,,"女
Female",298.0,557.0,456.0,278.0,250.0,360.0,420.0,478.0,560.0,445.0,334.0,725.0,5161,
S11,"大白田
Tai Pak Tin","男
Male",118.0,272.0,308.0,376.0,376.0,397.0,367.0,477.0,509.0,406.0,390.0,563.0,4559,"9 ,220"
S11,,"女
Female",122.0,314.0,355.0,408.0,393.0,422.0,358.0,441.0,476.0,397.0,357.0,618.0,4661,
S12,"葵芳
Kwai Fong","男
Male",142.0,397.0,378.0,249.0,264.0,400.0,417.0,532.0,488.0,409.0,510.0,1248.0,5434,"1 0,576"
