 , .1, .2,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+, .3, .4
T01,"大嶼山
Lantau","男
Male",85,163,160,156,220,300,370,409,390,281,226,639,3399.0,"7 ,113"
T01,,"女
Female",89,147,180,209,260,289,341,505,426,381,313,574,3714.0,
T02,"逸東邨北
Yat Tung Estate North","男
Male",335,489,312,243,386,644,622,593,394,290,208,257,4773.0,"9 ,428"
T02,,"女
Female",348,538,372,211,295,385,418,542,607,382,296,261,4655.0,
T03,"逸東邨南
Yat Tung Estate South","男
Male",353,855,640,348,238,328,605,772,707,466,265,245,5822.0,"1 1,0623"
T03,,"女
Female",324,833,748,390,251,226,293,504,787,611,387,447,5801.0,
T04,"東涌北
Tung Chung North","男
Male",76,152,200,282,385,511,448,412,473,417,297,286,3939.0,"7 ,747"
T04,,"女
Female",71,165,200,231,360,424,369,420,433,405,369,361,3808.0,
T05,"東涌南
Tung Chung South","男
Male",147,419,339,280,324,537,657,715,688,571,396,570,5643.0,"1 1,0215"
T05,,"女
Female",170,454,354,309,378,431,551,677,703,550,459,536,5572.0,
T06,"愉景灣
Discovery Bay","男
Male",32,61,58,78,141,270,351,403,307,221,174,177,2273.0,"4 ,500"
T06,,"女
Female",43,81,67,56,101,198,301,357,326,238,222,237,2227.0,
T07,"坪洲及喜靈洲
Peng Chau & Hei Ling Chau","男
Male",39,106,102,105,125,170,181,239,195,180,134,277,1853.0,"3 ,651"
T07,,"女
Female",42,97,98,104,146,128,163,208,242,168,140,262,1798.0,
T08,"南丫及蒲台
Lamma & Po Toi","男
Male",19,33,48,63,76,123,144,190,155,90,75,163,1179.0,"2 ,370"
T08,,"女
Female",23,54,37,42,84,100,153,190,159,113,66,170,1191.0,
T09,"長洲南
Cheung Chau South","男
Male",92,177,195,218,190,254,301,398,366,308,215,416,3130.0,"6 ,146"
T09,,"女
Female",78,228,202,224,195,199,225,348,368,321,258,370,3016.0,
T10,"長洲北
Cheung Chau North","男
Male",56,169,179,173,189,197,225,291,342,284,199,503,2807.0,"5 ,585"
T10,,"女
Female",74,187,198,204,186,191,210,269,331,293,228,407,2778.0,
"總計
Total",2496,5408,4689,3926,4530,5905,6928,8442,8399,6570,4927,7158,"每區總計
Grand Total",69378,,
