,,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數 TOTAL:
A0101,聖公會基恩小學,52,103,118,158,205,239,269,251,238,127,107,287,2154
A0102,香港公園體育館,8,11,13,24,32,29,52,61,50,31,26,46,383
A0201,高主教書院,77,124,100,265,416,579,640,509,400,211,207,314,3842
A0301,英華女學校,98,126,151,238,360,585,690,534,411,200,144,280,3817
A0401,聖保羅男女中學,36,59,93,120,138,190,298,286,273,123,79,98,1793
A0402,德國瑞士國際學校,17,30,22,26,36,81,119,117,100,48,20,29,645
A0501,聖士提反女子中學,125,183,233,303,376,603,723,610,544,255,215,325,4495
A0601,香港基督教女青年會西環綜合社會服務處,97,140,244,398,382,455,449,394,335,178,168,390,3630
A0701,士美非路體育館,116,174,246,252,350,421,449,412,437,218,248,566,3889
A0801,堅尼地城社區綜合大樓 (綜合用途室),142,219,253,333,362,437,522,530,460,255,212,412,4137
A0901,聖雅各福群會寶翠園幼兒中心,158,235,299,421,617,788,741,644,545,246,216,439,5349
A1001,石塘咀體育館,139,324,427,418,347,519,632,632,690,379,431,600,5538
A1101,義務工作發展局義工服務中心,98,159,151,175,213,236,309,335,292,146,150,319,2583
A1201,上環郵政局,96,219,277,383,329,366,427,464,406,189,182,370,3708
A1301,英皇書院同學會小學,46,59,72,88,213,252,255,171,157,89,59,145,1606
A1302,樂善堂梁銶琚書院,12,35,54,60,69,94,90,109,83,45,51,68,770
A1401,基督教香港崇真會救恩堂及救恩學校,119,171,234,267,338,428,559,472,380,173,175,407,3723
A1501,西營盤郵政局,113,152,211,235,282,381,451,415,382,187,165,279,3253
B0101,軒尼詩道官立小學,72,104,144,185,238,248,322,368,301,202,205,423,2812
B0201,鄧肇堅維多利亞官立中學,68,133,153,177,183,225,288,332,333,169,189,396,2646
B0301,香港基督教服務處時代幼兒學校,43,92,132,165,184,208,216,278,303,159,159,324,2263
B0401,灣仔區文娛康樂體育會,67,99,151,233,236,296,305,329,382,278,289,471,3136
B0501,港灣婦女會,52,95,146,240,324,362,427,322,294,160,208,301,2931
B0601,中華基督教會公理高中書院,135,162,164,224,257,259,346,309,426,204,192,247,2925
B0701,禮頓山社區會堂,57,91,131,152,232,447,490,404,370,168,116,221,2879
B0801,黃泥涌體育館,37,64,171,245,331,345,299,319,331,151,204,383,2880
B0901,聖公會聖雅各小學,25,39,40,60,84,138,186,177,171,53,46,145,1164
B0902,瑪利曼中學,18,40,43,80,100,170,186,216,195,111,122,176,1457
B1001,灣仔郵政局,66,98,136,113,170,224,342,319,354,203,163,294,2482
B1101,循道衛理中心,77,122,148,195,234,278,361,320,356,183,185,404,2863
C0101,東區少年警訊會所,141,179,217,266,334,465,490,558,526,208,201,294,3879
C0201,太古城郵政局,96,93,143,193,249,320,459,409,411,146,124,236,2879
C0202,地利亞修女紀念學校 (太古城),149,198,277,369,318,423,459,474,529,285,333,349,4163
C0301,西灣河健康中心,85,96,181,324,473,630,635,401,292,143,104,276,3640
C0401,筲箕灣郵政局,102,161,149,181,213,328,375,340,299,165,122,264,2699
C0501,中華基督教會基灣小學 (愛蝶灣),186,276,421,728,682,645,679,668,638,460,429,1054,6866
C0601,筲箕灣崇真學校,65,98,119,146,184,395,521,490,313,148,199,478,3156
C0701,嶺南中學,186,236,240,340,608,1053,1277,859,544,346,193,320,6202
C0801,聖公會李福慶中學,157,243,250,206,254,453,581,377,328,188,322,545,3904
C0901,中華基金中學,118,163,229,448,727,883,737,492,357,179,182,296,4811
C1001,東華三院李志雄紀念小學 (柴灣),247,351,286,187,304,478,715,664,523,244,284,595,4878
C1101,福建中學 (小西灣),133,201,277,371,695,889,756,551,518,305,279,524,5499
C1201,港九街坊婦女會環翠幼稚園,126,273,272,248,220,326,473,420,482,280,270,617,4007
C1301,文理書院 (香港),104,134,150,176,197,314,402,397,376,234,244,568,3296
C1401,鰂魚涌體育館,127,207,322,373,453,435,523,517,620,409,461,689,5136
C1501,閩僑中學,80,125,153,217,335,509,635,569,494,218,160,238,3733
C1701,金文泰中學,96,179,240,301,313,443,546,457,460,263,263,342,3903
C1801,皇仁書院,64,143,169,206,214,295,354,325,385,179,209,341,2884
C1901,銅鑼灣社區中心,82,135,238,281,335,357,392,361,477,216,250,394,3518
C2001,保良局余李慕芬紀念學校,207,349,426,385,469,667,786,846,908,402,381,650,6476
C2002,渣華道體育館,98,183,220,249,256,253,346,397,481,262,274,390,3409
C2101,蘇浙小學,55,88,135,141,143,190,195,192,190,89,120,82,1620
C2201,,141,244,375,442,511,558,628,610,729,446,430,616,5730
C2301,北角街坊會陳維周夫人紀念學校,136,165,298,215,293,354,426,429,460,264,292,308,3640
C2401,,78,103,125,183,236,305,333,281,301,195,222,585,2947
C2501,北角官立小學,107,141,223,251,245,352,351,427,378,221,225,415,3336
C2701,佛教中華康山學校,155,204,236,337,604,834,1026,742,603,225,244,325,5535
C2801,鰂魚涌社區會堂,188,311,356,537,646,915,1171,900,762,425,388,725,7324
C2901,青松興東幼稚園,113,148,160,157,187,281,351,345,361,168,158,238,2667
C2902,東熹苑逸熹閣B座地下,79,135,145,192,344,429,432,322,362,148,174,341,3103
C3001,西灣河體育館,194,302,382,427,426,661,773,720,638,335,354,743,5955
C3101,勵志會梁李秀娛紀念小學,83,99,96,94,120,206,253,250,235,131,122,210,1899
C3102,筲箕灣街坊福利事務促進會,66,79,99,135,145,218,264,165,163,103,123,125,1685
C3201,,166,263,181,175,204,431,542,487,406,271,244,379,3749
C3301,粵南信義會腓力堂興民幼兒學園,54,110,151,150,139,203,265,272,281,136,166,335,2262
C3302,路德會聖雅各幼稚園,97,175,127,108,158,268,393,337,302,190,212,553,2920
C3401,天主教明德學校,131,158,170,166,211,414,638,465,314,144,144,365,3320
C3501,柴灣母嬰健康院,144,193,289,200,341,580,555,457,347,124,107,250,3587
C3601,漁灣社區會堂,114,196,208,239,319,474,484,450,286,224,244,547,3785
C3701,香港中華基督教青年會柴灣會所,155,229,150,142,179,271,470,371,298,185,188,326,2964
D0101,香港仔體育館,194,261,363,425,531,752,755,599,517,219,232,395,5243
D0201,鴨脷洲社區會堂,122,176,250,242,238,296,346,364,405,472,378,685,3974
D0301,鴨脷洲體育館,99,85,133,193,472,514,406,256,160,90,69,155,2632
D0302,香港真光書院,130,127,145,176,205,349,467,289,187,69,73,90,2307
D0401,聖伯多祿天主教小學,122,383,300,193,124,157,375,509,487,214,164,188,3216
D0501,利東社區會堂,82,252,174,129,127,210,403,457,302,189,220,610,3155
D0601,海怡寶血小學,45,75,94,164,314,509,405,263,143,61,45,80,2198
D0701,海怡社區中心,230,253,234,382,782,1451,1699,875,520,174,176,304,7080
D0801,華貴社區會堂,204,244,266,285,351,546,732,566,463,296,378,828,5159
D0901,明愛莊月明中學,226,217,175,290,246,234,332,334,271,239,308,612,3484
D1001,東華三院鶴山學校,109,172,162,203,262,284,371,380,399,297,311,579,3529
D1101,沙宣道會堂,18,30,30,27,59,96,150,141,105,37,35,32,760
D1102,上碧瑤遊樂場,29,58,50,65,103,149,216,201,172,72,40,64,1219
D1103,數碼港郵政局,26,25,30,46,115,128,98,95,65,30,20,14,692
D1201,職業訓練局薄扶林技能訓練中心,16,13,12,12,30,45,52,48,43,28,22,61,382
D1202,置富會堂,161,230,276,341,434,589,771,678,671,274,228,401,5054
D1301,明愛賽馬會香港仔服務中心,33,72,100,114,141,153,149,109,93,54,57,103,1178
D1302,聖公會田灣始南小學,106,151,153,200,245,339,343,346,286,182,214,588,3153
D1401,香港仔聖伯多祿天主教小學,180,275,284,299,295,450,538,531,476,335,428,1227,5318
D1501,香港仔網球及壁球中心,27,41,84,131,122,156,178,116,118,84,91,209,1357
D1502,新會商會陳白沙紀念中學,63,116,209,376,355,364,332,246,254,159,129,308,2911
D1601,南島中學,12,19,43,38,50,101,131,129,115,58,35,33,764
D1602,香港國際學校,17,29,28,25,57,94,148,139,103,35,33,30,738
D1701,赤柱社區會堂,90,114,150,255,301,412,453,408,296,132,117,263,2991
D1702,石澳健康院,7,22,27,34,59,77,118,63,58,37,44,95,641
E0101,九龍公園體育館,8,22,33,73,110,94,105,70,64,47,36,62,724
E0102,香港復康力量,29,53,94,178,264,348,231,199,169,69,43,46,1723
E0201,國際婦女會老人中心,66,154,214,266,271,249,306,336,360,264,291,434,3211
E0301,佐敦道官立小學,70,115,246,355,334,319,338,355,410,271,276,475,3564
E0401,梁顯利油麻地社區中心,98,172,241,266,288,348,491,376,340,205,233,428,3486
E0501,油蔴地天主教小學 (海泓道),96,162,292,612,645,653,511,394,415,299,262,497,4838
E0601,旺角社區會堂,81,127,132,172,137,175,244,302,266,154,144,371,2305
E0701,保良局陳守仁小學,141,142,168,466,560,557,487,375,293,198,248,532,4167
E0801,路德會沙崙學校,83,124,100,107,120,149,243,220,214,109,124,257,1850
E0802,香港保護兒童會中銀幼兒學校,26,51,127,277,297,370,237,141,98,60,59,62,1805
E0901,大角嘴天主教小學,170,264,481,669,588,579,586,527,462,315,315,633,5589
E1001,旺角街坊會陳慶社會服務中心,49,54,70,59,62,95,114,103,101,63,58,107,935
E1101,周氏宗親總會學校,119,176,220,253,240,355,385,385,434,241,242,443,3493
E1201,聖公會基榮小學,74,94,133,137,113,157,196,207,221,130,138,274,1874
