票站編號,票站,18-20歲,21-25歲,26-30歲,31-35歲,36-40歲,41-45歲,46-50歲,51-55歲,56-60歲,61-65歲,66-70歲,71歲或以上,總數,18-20歲所佔比例,21-25歲所佔比例,26-30歲所佔比例,31-35歲所佔比例,36-40歲所佔比例,41-45歲所佔比例,46-50歲所佔比例,51-55歲所佔比例,56-60歲所佔比例,61-65歲所佔比例,66-70歲所佔比例,71歲或以上所佔比例,
A0101,專業聯合中心,54,79,111,120,147,259,217,263,216,153,184,229,2032,0.02657480315,0.03887795276,0.05462598425,0.05905511811,0.07234251969,0.1274606299,0.1067913386,0.1294291339,0.1062992126,0.07529527559,0.0905511811,0.1126968504,2016立法會選舉
A0102,香港公園體育館,44,96,135,151,163,228,245,350,419,355,311,337,2834,0.01552575865,0.0338743825,0.04763585039,0.0532815808,0.05751587862,0.08045165843,0.086450247,0.1235003529,0.1478475653,0.1252646436,0.109738885,0.1189131969,2016立法會選舉
A0201,高主教書院,91,230,209,231,333,358,474,642,700,559,411,529,4767,0.01908957416,0.04824837424,0.0438430879,0.04845814978,0.06985525488,0.07509964338,0.09943360604,0.1346758968,0.1468428781,0.117264527,0.08621774701,0.1109712608,2016立法會選舉
A0301,香港真光幼稚園(堅道),52,120,140,147,180,247,297,383,388,327,258,266,2805,0.01853832442,0.04278074866,0.04991087344,0.05240641711,0.06417112299,0.088057041,0.1058823529,0.1365418895,0.1383244207,0.1165775401,0.09197860963,0.09483065954,2016立法會選舉
A0302,食物環境衛生署食物安全中心(醫院道辦事處),16,41,38,60,85,98,109,118,127,124,104,136,1056,0.01515151515,0.03882575758,0.03598484848,0.05681818182,0.08049242424,0.0928030303,0.103219697,0.1117424242,0.1202651515,0.1174242424,0.09848484848,0.1287878788,2016立法會選舉
A0401,德瑞國際學校山頂校舍,10,30,28,34,29,45,56,121,105,96,73,76,703,0.01422475107,0.0426742532,0.03982930299,0.04836415363,0.04125177809,0.0640113798,0.07965860597,0.1721194879,0.1493598862,0.1365576102,0.1038406828,0.1081081081,2016立法會選舉
A0501,西營盤社區綜合大樓社區會堂,116,249,291,260,344,451,499,605,632,567,434,511,4959,0.02339181287,0.05021173624,0.05868118572,0.05242992539,0.06936882436,0.09094575519,0.100625126,0.1220004033,0.1274450494,0.1143375681,0.08751764469,0.1030449687,2016立法會選舉
A0601,香港基督教女青年會西環綜合社會服務處,99,218,247,320,433,501,514,510,497,427,331,458,4555,0.02173435785,0.04785949506,0.05422612514,0.07025246981,0.09506037322,0.1099890231,0.1128430296,0.1119648738,0.1091108672,0.09374313941,0.07266739846,0.1005488474,2016立法會選舉
A0701,士美非路體育館,122,271,358,421,383,453,517,630,673,534,493,786,5641,0.02162737103,0.04804112746,0.06346392484,0.07463215742,0.06789576316,0.08030491048,0.09165041659,0.1116823258,0.1193050878,0.09466406665,0.0873958518,0.139336997,2016立法會選舉
A0801,堅尼地城社區綜合大樓(綜合用途室),124,247,333,387,397,450,417,545,545,494,420,567,4926,0.0251725538,0.05014210313,0.06760048721,0.07856272838,0.08059277304,0.09135200974,0.08465286236,0.110637434,0.110637434,0.1002842063,0.08526187576,0.1151035323,2016立法會選舉
A0901,維多利亞(寶翠園)幼稚園,146,274,326,333,438,574,681,824,689,538,475,594,5892,0.02477936185,0.04650373388,0.05532926001,0.05651731161,0.07433808554,0.09742023082,0.1155804481,0.1398506449,0.1169382213,0.09131025119,0.08061778683,0.100814664,2016立法會選舉
A1001,石塘咀體育館,142,304,371,442,459,461,423,579,675,612,563,739,5770,0.02461005199,0.05268630849,0.06429809359,0.07660311958,0.07954939341,0.07989601386,0.0733102253,0.1003466205,0.1169844021,0.1060658579,0.09757365685,0.1280762565,2016立法會選舉
A1101,中西區及離島區社會保障辦事處,59,135,185,186,199,208,211,265,285,318,282,388,2721,0.0216832047,0.04961411246,0.06798970967,0.06835722161,0.07313487688,0.07644248438,0.07754502021,0.0973906652,0.1047409041,0.1168687982,0.1036383682,0.1425946343,2016立法會選舉
A1102,中山紀念公園體育館,32,84,84,92,74,85,102,125,154,158,108,133,1231,0.02599512591,0.06823720552,0.06823720552,0.074735987,0.06011372868,0.06904955321,0.08285946385,0.1015434606,0.1251015435,0.1283509342,0.08773354996,0.1080422421,2016立法會選舉
A1201,上環郵政局,78,169,199,239,258,294,301,317,382,377,245,360,3219,0.02423112768,0.05250077664,0.06182044113,0.07424666045,0.08014911463,0.09133271202,0.0935073004,0.09847778813,0.1186703945,0.1171171171,0.07611059335,0.1118359739,2016立法會選舉
A1301,新會商會學校,20,52,64,85,109,115,107,151,129,108,92,126,1158,0.01727115717,0.04490500864,0.05526770294,0.07340241796,0.09412780656,0.09930915371,0.09240069085,0.1303972366,0.1113989637,0.0932642487,0.07944732297,0.1088082902,2016立法會選舉
