選區編號,選區,選區推算人口(2015)
A01,中環,"13,850"
A02,半山東,"18,828"
A03,衛城,"18,859"
A04,山頂,"20,324"
A05,大學,"19,010"
A06,堅摩,"16,920"
A07,觀龍,"15,188"
A08,西環,"14,789"
A09,寶翠,"21,195"
A10,石塘咀,"17,176"
A11,西營盤,"14,528"
A12,上環,"17,550"
A13,東華,"13,051"
A14,正街,"16,227"
A15,水街,"15,142"
B01,軒尼詩,"13,207"
B02,愛群,"14,442"
B03,鵝頸,"13,514"
B04,維園,"14,642"
B05,天后,"14,156"
B06,銅鑼灣,"13,655"
B07,大坑,"13,637"
B08,渣甸山,"15,200"
B09,樂活,"14,677"
B10,跑馬地,"14,090"
B11,司徒拔道,"14,203"
B12,修頓,"14,597"
B13,大佛口,"13,346"
C01,太古城西,"18,269"
C02,太古城東,"19,530"
C03,鯉景灣,"20,803"
C04,愛秩序灣,"19,119"
C05,筲箕灣,"13,250"
C06,阿公岩,"19,188"
C07,杏花邨,"19,267"
C08,翠灣,"13,031"
C09,欣藍,"16,981"
C10,小西灣,"13,176"
C11,景怡,"15,934"
C12,環翠,"14,542"
C13,翡翠,"15,427"
C14,柏架山,"14,048"
C15,寶馬山,"16,991"
C16,炮台山,"15,917"
C17,城市花園,"15,679"
C18,和富,"21,058"
C19,堡壘,"15,583"
C20,錦屏,"16,793"
C21,丹拿,"15,345"
C22,健康村,"14,480"
C23,鰂魚涌,"13,764"
C24,南豐,"14,081"
C25,康怡,"14,724"
C26,康山,"14,958"
C27,興東,"18,899"
C28,西灣河,"19,482"
C29,下耀東,"16,389"
C30,上耀東,"12,732"
C31,興民,"14,432"
C32,樂康,"12,391"
C33,翠德,"13,349"
C34,漁灣,"14,804"
C35,佳曉,"13,343"
D01,香港仔,"19,698"
D02,鴨脷洲邨,"12,478"
D03,鴨脷洲北,"13,025"
D04,利東一,"16,828"
D05,利東二,"13,307"
D06,海怡東,"15,340"
D07,海怡西,"16,036"
D08,華貴,"14,737"
D09,華富南,"12,429"
D10,華富北,"14,296"
D11,薄扶林,"19,996"
D12,置富,"16,062"
D13,田灣,"16,716"
D14,石漁,"18,474"
D15,黃竹坑,"17,251"
D16,海灣,"18,417"
D17,赤柱及石澳,"22,008"
E01,尖沙咀西,"20,881"
E02,佐敦南,"18,327"
E03,佐敦西,"14,818"
E04,油麻地南,"19,918"
E05,富榮,"17,628"
E06,旺角西,"15,423"
E07,富柏,"18,820"
E08,奧運,"18,162"
E09,櫻桃,"15,676"
E10,大角咀南,"16,214"
E11,大角咀北,"18,474"
E12,大南,"20,432"
E13,旺角北,"17,859"
E14,旺角東,"15,742"
E15,旺角南,"16,293"
E16,油麻地北,"12,817"
E17,尖東及京士柏,"15,185"
E18,尖沙咀中,"16,871"
E19,佐敦北,"13,558"
F01,寶麗,"19,254"
F02,長沙灣,"16,864"
F03,南昌北,"19,807"
F04,石硤尾,"20,852"
F05,南昌東,"18,487"
F06,南昌南,"20,737"
F07,南昌中,"18,413"
F08,南昌西,"20,523"
F09,富昌,"20,270"
F10,麗閣,"14,379"
F11,幸福,"15,401"
F12,荔枝角南,"17,514"
F13,美孚南,"17,304"
F14,美孚中,"14,675"
F15,美孚北,"16,929"
F16,荔枝角中,"19,882"
